time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,25.8,92,0.243,0.271
1985-06-21T01:00,,25.7,92,0.246,0.271
1985-06-21T02:00,,26.3,90,0.247,0.271
1985-06-21T03:00,,27.2,85,0.248,0.271
1985-06-21T04:00,,28.2,80,0.25,0.271
1985-06-21T05:00,,28.9,77,0.252,0.271
1985-06-21T06:00,,29.4,74,0.253,0.271
1985-06-21T07:00,,30.1,69,0.254,0.271
1985-06-21T08:00,,30.5,67,0.256,0.271
1985-06-21T09:00,,30.5,67,0.258,0.271
1985-06-21T10:00,,30.2,70,0.26,0.271
1985-06-21T11:00,,29.9,72,0.259,0.271
1985-06-21T12:00,,29.4,74,0.259,0.271
1985-06-21T13:00,,28.9,77,0.258,0.271
1985-06-21T14:00,,28.0,82,0.258,0.271
1985-06-21T15:00,,27.5,85,0.258,0.271
1985-06-21T16:00,,27.1,86,0.258,0.271
1985-06-21T17:00,,26.8,88,0.258,0.271
1985-06-21T18:00,,26.6,88,0.259,0.271
1985-06-21T19:00,,26.2,86,0.259,0.271
1985-06-21T20:00,,26.1,86,0.259,0.271
1985-06-21T21:00,,26.0,87,0.26,0.271
1985-06-21T22:00,,25.7,89,0.26,0.271
1985-06-21T23:00,,25.5,89,0.261,0.271
1985-06-22T00:00,,25.6,88,0.262,0.271
1985-06-22T01:00,,25.6,89,0.263,0.271
1985-06-22T02:00,,25.9,87,0.264,0.271
1985-06-22T03:00,,26.8,82,0.266,0.271
1985-06-22T04:00,,27.5,78,0.267,0.271
1985-06-22T05:00,,28.1,76,0.269,0.271
1985-06-22T06:00,,28.6,76,0.27,0.271
1985-06-22T07:00,,29.6,72,0.268,0.271
1985-06-22T08:00,,30.3,70,0.266,0.271
1985-06-22T09:00,,30.4,69,0.265,0.271
1985-06-22T10:00,,30.1,69,0.264,0.271
1985-06-22T11:00,,29.9,70,0.263,0.271
1985-06-22T12:00,,29.3,73,0.262,0.271
1985-06-22T13:00,,28.7,76,0.262,0.271
1985-06-22T14:00,,27.9,81,0.261,0.271
1985-06-22T15:00,,27.3,84,0.261,0.271
1985-06-22T16:00,,26.9,86,0.261,0.271
1985-06-22T17:00,,26.5,88,0.261,0.271
1985-06-22T18:00,,26.3,89,0.261,0.271
1985-06-22T19:00,,26.3,89,0.262,0.271
1985-06-22T20:00,,26.2,89,0.262,0.271
1985-06-22T21:00,,26.1,89,0.262,0.271
1985-06-22T22:00,,25.9,90,0.263,0.271
1985-06-22T23:00,,25.8,90,0.264,0.271
1985-06-23T00:00,,25.8,90,0.265,0.271
1985-06-23T01:00,,25.8,89,0.266,0.271
1985-06-23T02:00,,26.3,86,0.267,0.271
1985-06-23T03:00,,27.2,80,0.268,0.271
1985-06-23T04:00,,28.3,75,0.268,0.271
1985-06-23T05:00,,29.2,70,0.269,0.271
1985-06-23T06:00,,29.9,68,0.27,0.271
1985-06-23T07:00,,30.4,66,0.269,0.271
1985-06-23T08:00,,30.9,65,0.267,0.271
1985-06-23T09:00,,31.0,65,0.266,0.271
1985-06-23T10:00,,30.9,64,0.264,0.271
1985-06-23T11:00,,30.6,66,0.263,0.271
1985-06-23T12:00,,30.1,68,0.261,0.271
1985-06-23T13:00,,29.4,71,0.261,0.271
1985-06-23T14:00,,28.6,76,0.26,0.271
1985-06-23T15:00,,28.2,79,0.26,0.271
1985-06-23T16:00,,28.0,81,0.26,0.271
1985-06-23T17:00,,27.8,82,0.259,0.271
1985-06-23T18:00,,27.6,83,0.259,0.271
1985-06-23T19:00,,27.7,82,0.259,0.271
1985-06-23T20:00,,27.6,82,0.259,0.271
1985-06-23T21:00,,27.4,83,0.259,0.271
1985-06-23T22:00,,27.3,84,0.259,0.271
1985-06-23T23:00,,27.3,84,0.259,0.271
