time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-01-01T00:00,,16.3,54,0.253,0.287
1985-01-01T01:00,,15.9,55,0.253,0.287
1985-01-01T02:00,,15.6,58,0.253,0.288
1985-01-01T03:00,,16.8,55,0.253,0.287
1985-01-01T04:00,,19.4,44,0.253,0.287
1985-01-01T05:00,,21.6,37,0.253,0.287
1985-01-01T06:00,,23.5,32,0.253,0.287
1985-01-01T07:00,,25.0,28,0.253,0.287
1985-01-01T08:00,,25.9,27,0.253,0.287
1985-01-01T09:00,,26.3,26,0.253,0.287
1985-01-01T10:00,,26.1,26,0.253,0.287
1985-01-01T11:00,,25.3,28,0.253,0.287
1985-01-01T12:00,,24.0,32,0.253,0.287
1985-01-01T13:00,,22.2,39,0.253,0.287
1985-01-01T14:00,,20.8,44,0.253,0.287
1985-01-01T15:00,,19.9,48,0.253,0.287
1985-01-01T16:00,,19.1,49,0.253,0.287
1985-01-01T17:00,,18.4,47,0.253,0.287
1985-01-01T18:00,,17.8,45,0.253,0.287
1985-01-01T19:00,,17.3,43,0.253,0.287
1985-01-01T20:00,,16.7,44,0.253,0.287
1985-01-01T21:00,,16.3,45,0.253,0.287
1985-01-01T22:00,,15.9,45,0.253,0.287
1985-01-01T23:00,,15.4,47,0.253,0.287
1985-01-02T00:00,,15.0,49,0.253,0.287
1985-01-02T01:00,,14.5,51,0.253,0.287
1985-01-02T02:00,,14.0,55,0.253,0.287
1985-01-02T03:00,,15.3,53,0.253,0.287
1985-01-02T04:00,,18.1,43,0.253,0.287
1985-01-02T05:00,,20.8,37,0.253,0.287
1985-01-02T06:00,,23.2,33,0.253,0.287
1985-01-02T07:00,,24.8,31,0.253,0.287
1985-01-02T08:00,,25.8,30,0.253,0.287
1985-01-02T09:00,,26.5,29,0.253,0.287
1985-01-02T10:00,,26.7,30,0.253,0.287
1985-01-02T11:00,,26.3,31,0.253,0.287
1985-01-02T12:00,,25.1,34,0.253,0.287
1985-01-02T13:00,,23.2,40,0.253,0.287
1985-01-02T14:00,,21.9,44,0.253,0.287
1985-01-02T15:00,,21.0,46,0.253,0.287
1985-01-02T16:00,,20.3,46,0.253,0.287
1985-01-02T17:00,,19.7,47,0.253,0.287
1985-01-02T18:00,,19.1,48,0.253,0.287
1985-01-02T19:00,,18.4,51,0.253,0.287
1985-01-02T20:00,,17.8,53,0.253,0.287
1985-01-02T21:00,,17.3,55,0.253,0.287
1985-01-02T22:00,,16.9,57,0.253,0.287
1985-01-02T23:00,,16.7,58,0.253,0.287
1985-01-03T00:00,,16.6,60,0.253,0.287
