time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,24.7,94,0.352,0.283
1985-06-21T01:00,,24.6,94,0.353,0.283
1985-06-21T02:00,,25.1,91,0.353,0.283
1985-06-21T03:00,,26.1,86,0.354,0.283
1985-06-21T04:00,,26.8,83,0.355,0.283
1985-06-21T05:00,,27.6,81,0.357,0.283
1985-06-21T06:00,,28.7,78,0.358,0.283
1985-06-21T07:00,,29.5,68,0.358,0.283
1985-06-21T08:00,,29.8,70,0.365,0.283
1985-06-21T09:00,,30.3,71,0.365,0.283
1985-06-21T10:00,,29.5,74,0.366,0.283
1985-06-21T11:00,,28.4,76,0.37,0.283
1985-06-21T12:00,,28.4,76,0.371,0.283
1985-06-21T13:00,,27.9,78,0.371,0.284
1985-06-21T14:00,,26.8,83,0.371,0.284
1985-06-21T15:00,,26.2,86,0.371,0.284
1985-06-21T16:00,,25.8,88,0.372,0.284
1985-06-21T17:00,,25.7,89,0.372,0.284
1985-06-21T18:00,,25.5,89,0.372,0.284
1985-06-21T19:00,,25.3,88,0.372,0.284
1985-06-21T20:00,,25.2,89,0.372,0.284
1985-06-21T21:00,,25.1,89,0.372,0.284
1985-06-21T22:00,,24.8,91,0.372,0.284
1985-06-21T23:00,,24.7,92,0.372,0.284
1985-06-22T00:00,,24.6,92,0.372,0.284
1985-06-22T01:00,,24.7,92,0.372,0.284
1985-06-22T02:00,,24.9,91,0.373,0.284
1985-06-22T03:00,,26.0,84,0.373,0.285
1985-06-22T04:00,,26.8,79,0.374,0.285
1985-06-22T05:00,,27.8,74,0.374,0.285
1985-06-22T06:00,,28.2,74,0.374,0.285
1985-06-22T07:00,,29.8,69,0.373,0.285
1985-06-22T08:00,,30.7,68,0.371,0.285
1985-06-22T09:00,,30.3,69,0.37,0.285
1985-06-22T10:00,,29.1,71,0.377,0.285
1985-06-22T11:00,,29.1,70,0.379,0.285
1985-06-22T12:00,,29.0,70,0.379,0.285
1985-06-22T13:00,,28.3,73,0.379,0.285
1985-06-22T14:00,,27.1,79,0.379,0.285
1985-06-22T15:00,,26.4,83,0.378,0.285
1985-06-22T16:00,,26.0,85,0.378,0.285
1985-06-22T17:00,,25.8,87,0.378,0.285
1985-06-22T18:00,,25.6,88,0.377,0.286
1985-06-22T19:00,,25.6,88,0.377,0.286
1985-06-22T20:00,,25.4,89,0.377,0.286
1985-06-22T21:00,,25.2,91,0.377,0.286
1985-06-22T22:00,,25.0,91,0.377,0.286
1985-06-22T23:00,,25.0,91,0.377,0.286
1985-06-23T00:00,,24.8,92,0.377,0.286
1985-06-23T01:00,,24.9,92,0.377,0.286
1985-06-23T02:00,,25.5,88,0.377,0.286
1985-06-23T03:00,,26.5,82,0.376,0.286
1985-06-23T04:00,,27.8,74,0.376,0.286
1985-06-23T05:00,,29.0,69,0.375,0.286
1985-06-23T06:00,,29.9,65,0.376,0.286
1985-06-23T07:00,,30.9,60,0.375,0.286
1985-06-23T08:00,,31.2,59,0.375,0.286
1985-06-23T09:00,,30.9,61,0.376,0.287
1985-06-23T10:00,,31.0,61,0.377,0.287
1985-06-23T11:00,,30.6,63,0.376,0.287
1985-06-23T12:00,,30.0,66,0.376,0.287
1985-06-23T13:00,,28.9,72,0.375,0.287
1985-06-23T14:00,,28.1,77,0.375,0.287
1985-06-23T15:00,,27.6,80,0.374,0.287
1985-06-23T16:00,,27.1,83,0.374,0.287
1985-06-23T17:00,,26.7,85,0.374,0.287
1985-06-23T18:00,,26.3,87,0.373,0.287
1985-06-23T19:00,,26.6,87,0.373,0.287
1985-06-23T20:00,,26.4,89,0.373,0.287
1985-06-23T21:00,,26.2,90,0.373,0.287
1985-06-23T22:00,,26.1,90,0.372,0.287
1985-06-23T23:00,,25.9,91,0.372,0.287
