time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,23.4,95,0.417,0.403
1985-07-16T01:00,,23.5,95,0.415,0.403
1985-07-16T02:00,,23.8,93,0.413,0.402
1985-07-16T03:00,,24.9,86,0.411,0.402
1985-07-16T04:00,,25.5,84,0.41,0.401
1985-07-16T05:00,,26.1,83,0.413,0.4
1985-07-16T06:00,,26.4,84,0.427,0.4
1985-07-16T07:00,,26.6,82,0.415,0.404
1985-07-16T08:00,,26.3,83,0.436,0.404
1985-07-16T09:00,,26.6,83,0.425,0.409
1985-07-16T10:00,,26.4,84,0.423,0.408
1985-07-16T11:00,,26.4,84,0.422,0.408
1985-07-16T12:00,,26.0,84,0.421,0.408
1985-07-16T13:00,,25.9,84,0.417,0.407
1985-07-16T14:00,,25.5,87,0.415,0.407
1985-07-16T15:00,,24.5,95,0.412,0.406
1985-07-16T16:00,,24.1,96,0.41,0.405
1985-07-16T17:00,,24.0,96,0.409,0.404
1985-07-16T18:00,,23.9,95,0.407,0.403
1985-07-16T19:00,,23.6,96,0.406,0.402
1985-07-16T20:00,,23.4,96,0.407,0.401
1985-07-16T21:00,,23.5,96,0.417,0.401
1985-07-16T22:00,,23.0,97,0.436,0.402
1985-07-16T23:00,,23.1,97,0.422,0.409
1985-07-17T00:00,,23.2,96,0.424,0.408
1985-07-17T01:00,,23.5,96,0.423,0.408
1985-07-17T02:00,,24.7,89,0.425,0.408
1985-07-17T03:00,,25.4,84,0.425,0.409
1985-07-17T04:00,,25.5,82,0.428,0.41
1985-07-17T05:00,,26.2,81,0.423,0.41
1985-07-17T06:00,,27.2,77,0.423,0.409
1985-07-17T07:00,,27.5,80,0.43,0.41
1985-07-17T08:00,,27.5,81,0.428,0.413
1985-07-17T09:00,,27.8,78,0.43,0.412
1985-07-17T10:00,,27.2,80,0.436,0.413
1985-07-17T11:00,,26.9,81,0.42,0.416
1985-07-17T12:00,,26.1,83,0.422,0.415
1985-07-17T13:00,,25.9,85,0.419,0.414
1985-07-17T14:00,,25.5,87,0.417,0.413
1985-07-17T15:00,,24.8,94,0.415,0.411
1985-07-17T16:00,,24.9,92,0.413,0.41
1985-07-17T17:00,,24.6,94,0.411,0.409
1985-07-17T18:00,,23.8,98,0.41,0.408
1985-07-17T19:00,,23.8,96,0.41,0.407
1985-07-17T20:00,,23.8,96,0.411,0.406
1985-07-17T21:00,,23.5,97,0.432,0.406
1985-07-17T22:00,,23.6,96,0.43,0.411
1985-07-17T23:00,,23.5,96,0.425,0.413
1985-07-18T00:00,,23.4,94,0.421,0.412
1985-07-18T01:00,,23.4,96,0.419,0.412
1985-07-18T02:00,,24.8,88,0.419,0.411
1985-07-18T03:00,,25.6,84,0.423,0.41
1985-07-18T04:00,,26.7,80,0.42,0.41
1985-07-18T05:00,,27.1,79,0.434,0.41
1985-07-18T06:00,,27.1,79,0.437,0.416
1985-07-18T07:00,,27.5,80,0.419,0.426
1985-07-18T08:00,,27.2,82,0.439,0.426
1985-07-18T09:00,,26.8,81,0.436,0.435
1985-07-18T10:00,,24.7,89,0.439,0.43
1985-07-18T11:00,,24.2,91,0.422,0.438
1985-07-18T12:00,,24.6,88,0.41,0.422
1985-07-18T13:00,,24.6,89,0.41,0.42
1985-07-18T14:00,,24.3,91,0.409,0.418
1985-07-18T15:00,,23.9,94,0.407,0.416
1985-07-18T16:00,,24.0,92,0.406,0.415
1985-07-18T17:00,,23.6,94,0.405,0.413
1985-07-18T18:00,,23.2,96,0.406,0.412
1985-07-18T19:00,,23.0,94,0.407,0.411
1985-07-18T20:00,,22.8,95,0.409,0.41
1985-07-18T21:00,,22.9,95,0.411,0.409
1985-07-18T22:00,,22.8,95,0.413,0.408
1985-07-18T23:00,,22.8,96,0.419,0.408
