time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,14.2,99,0.478,0.467
1985-07-16T01:00,,14.6,99,0.487,0.469
1985-07-16T02:00,,14.9,98,0.451,0.483
1985-07-16T03:00,,15.2,97,0.425,0.467
1985-07-16T04:00,,15.8,95,0.45,0.468
1985-07-16T05:00,,16.7,95,0.475,0.469
1985-07-16T06:00,,16.5,97,0.472,0.477
1985-07-16T07:00,,16.3,94,0.469,0.475
1985-07-16T08:00,,16.5,90,0.474,0.482
1985-07-16T09:00,,16.4,94,0.436,0.478
1985-07-16T10:00,,16.7,92,0.416,0.467
1985-07-16T11:00,,16.6,90,0.419,0.465
1985-07-16T12:00,,16.8,90,0.421,0.464
1985-07-16T13:00,,16.2,94,0.422,0.463
1985-07-16T14:00,,15.8,97,0.423,0.462
1985-07-16T15:00,,15.5,97,0.424,0.461
1985-07-16T16:00,,15.4,95,0.425,0.46
1985-07-16T17:00,,15.3,94,0.426,0.459
1985-07-16T18:00,,14.8,96,0.428,0.458
1985-07-16T19:00,,14.6,94,0.432,0.458
1985-07-16T20:00,,14.2,94,0.434,0.457
1985-07-16T21:00,,13.8,95,0.435,0.457
1985-07-16T22:00,,13.8,93,0.437,0.456
1985-07-16T23:00,,13.8,92,0.44,0.456
1985-07-17T00:00,,13.9,92,0.445,0.455
1985-07-17T01:00,,13.6,93,0.453,0.455
1985-07-17T02:00,,14.4,95,0.455,0.455
1985-07-17T03:00,,15.1,92,0.456,0.455
1985-07-17T04:00,,16.0,93,0.456,0.455
1985-07-17T05:00,,17.6,94,0.458,0.455
1985-07-17T06:00,,17.2,93,0.477,0.455
1985-07-17T07:00,,17.0,93,0.487,0.459
1985-07-17T08:00,,17.1,85,0.444,0.479
1985-07-17T09:00,,17.8,83,0.449,0.477
1985-07-17T10:00,,18.8,78,0.451,0.475
1985-07-17T11:00,,18.0,82,0.452,0.474
1985-07-17T12:00,,17.7,84,0.453,0.473
1985-07-17T13:00,,16.1,92,0.457,0.472
1985-07-17T14:00,,15.1,97,0.458,0.471
1985-07-17T15:00,,14.8,98,0.458,0.47
1985-07-17T16:00,,14.5,98,0.458,0.47
1985-07-17T17:00,,14.5,97,0.458,0.469
1985-07-17T18:00,,14.2,94,0.461,0.469
1985-07-17T19:00,,14.3,93,0.468,0.468
1985-07-17T20:00,,14.0,94,0.478,0.469
1985-07-17T21:00,,14.1,90,0.483,0.47
1985-07-17T22:00,,13.9,90,0.48,0.472
1985-07-17T23:00,,13.8,90,0.477,0.472
1985-07-18T00:00,,13.7,90,0.476,0.472
1985-07-18T01:00,,13.9,92,0.475,0.472
1985-07-18T02:00,,14.9,93,0.474,0.472
1985-07-18T03:00,,15.2,92,0.475,0.472
1985-07-18T04:00,,16.1,91,0.475,0.472
1985-07-18T05:00,,15.8,93,0.484,0.472
1985-07-18T06:00,,16.3,94,0.464,0.478
1985-07-18T07:00,,16.7,98,0.445,0.471
1985-07-18T08:00,,16.3,98,0.449,0.471
1985-07-18T09:00,,16.9,97,0.452,0.471
1985-07-18T10:00,,16.8,97,0.455,0.47
1985-07-18T11:00,,17.2,97,0.459,0.47
1985-07-18T12:00,,16.3,97,0.469,0.47
1985-07-18T13:00,,15.6,96,0.471,0.471
1985-07-18T14:00,,15.1,97,0.47,0.471
1985-07-18T15:00,,14.7,97,0.47,0.47
1985-07-18T16:00,,14.5,96,0.47,0.47
1985-07-18T17:00,,14.3,96,0.471,0.469
1985-07-18T18:00,,14.1,94,0.477,0.469
1985-07-18T19:00,,14.1,93,0.48,0.47
1985-07-18T20:00,,14.1,92,0.479,0.471
1985-07-18T21:00,,13.9,91,0.48,0.472
1985-07-18T22:00,,13.8,91,0.48,0.472
1985-07-18T23:00,,13.7,90,0.48,0.472
