time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,22.1,97,0.414,0.412
1985-07-16T01:00,,22.2,97,0.416,0.41
1985-07-16T02:00,,22.4,96,0.416,0.409
1985-07-16T03:00,,23.5,89,0.415,0.408
1985-07-16T04:00,,24.3,88,0.416,0.407
1985-07-16T05:00,,24.7,86,0.416,0.406
1985-07-16T06:00,,25.0,87,0.415,0.405
1985-07-16T07:00,,25.0,84,0.415,0.404
1985-07-16T08:00,,25.4,82,0.414,0.403
1985-07-16T09:00,,25.9,80,0.417,0.402
1985-07-16T10:00,,25.7,83,0.425,0.401
1985-07-16T11:00,,25.5,84,0.425,0.402
1985-07-16T12:00,,24.6,87,0.426,0.403
1985-07-16T13:00,,24.4,89,0.42,0.404
1985-07-16T14:00,,24.0,91,0.416,0.403
1985-07-16T15:00,,23.4,96,0.414,0.403
1985-07-16T16:00,,23.0,97,0.411,0.402
1985-07-16T17:00,,22.8,98,0.409,0.401
1985-07-16T18:00,,22.5,97,0.411,0.4
1985-07-16T19:00,,22.4,96,0.411,0.4
1985-07-16T20:00,,22.3,96,0.417,0.399
1985-07-16T21:00,,22.1,97,0.428,0.4
1985-07-16T22:00,,21.9,96,0.43,0.401
1985-07-16T23:00,,22.2,94,0.429,0.403
1985-07-17T00:00,,21.8,96,0.434,0.405
1985-07-17T01:00,,22.1,94,0.428,0.408
1985-07-17T02:00,,22.9,94,0.428,0.409
1985-07-17T03:00,,23.5,91,0.429,0.409
1985-07-17T04:00,,23.8,86,0.439,0.411
1985-07-17T05:00,,24.7,85,0.403,0.421
1985-07-17T06:00,,25.8,81,0.407,0.418
1985-07-17T07:00,,25.9,85,0.412,0.415
1985-07-17T08:00,,26.5,79,0.416,0.413
1985-07-17T09:00,,26.5,78,0.431,0.412
1985-07-17T10:00,,26.0,83,0.439,0.414
1985-07-17T11:00,,25.6,82,0.413,0.422
1985-07-17T12:00,,25.0,84,0.414,0.419
1985-07-17T13:00,,24.3,89,0.416,0.417
1985-07-17T14:00,,23.9,91,0.415,0.415
1985-07-17T15:00,,23.6,93,0.413,0.413
1985-07-17T16:00,,23.3,95,0.411,0.412
1985-07-17T17:00,,23.1,96,0.41,0.41
1985-07-17T18:00,,22.8,96,0.409,0.409
1985-07-17T19:00,,22.7,97,0.41,0.408
1985-07-17T20:00,,22.5,97,0.414,0.406
1985-07-17T21:00,,22.5,96,0.425,0.406
1985-07-17T22:00,,22.4,94,0.435,0.407
1985-07-17T23:00,,22.0,95,0.431,0.411
1985-07-18T00:00,,21.7,93,0.427,0.412
1985-07-18T01:00,,21.8,96,0.423,0.412
1985-07-18T02:00,,22.9,91,0.421,0.411
1985-07-18T03:00,,24.0,85,0.421,0.41
1985-07-18T04:00,,25.1,81,0.421,0.409
1985-07-18T05:00,,26.2,76,0.42,0.409
1985-07-18T06:00,,26.4,76,0.421,0.408
1985-07-18T07:00,,26.5,77,0.432,0.407
1985-07-18T08:00,,26.5,78,0.439,0.412
1985-07-18T09:00,,26.5,78,0.416,0.426
1985-07-18T10:00,,24.6,83,0.439,0.429
1985-07-18T11:00,,23.3,89,0.439,0.439
1985-07-18T12:00,,23.0,92,0.402,0.416
1985-07-18T13:00,,23.0,94,0.404,0.414
1985-07-18T14:00,,22.6,95,0.403,0.412
1985-07-18T15:00,,22.3,95,0.402,0.411
1985-07-18T16:00,,22.2,95,0.401,0.409
1985-07-18T17:00,,22.0,95,0.401,0.408
1985-07-18T18:00,,21.8,96,0.401,0.407
1985-07-18T19:00,,22.2,92,0.403,0.405
1985-07-18T20:00,,22.1,93,0.404,0.404
1985-07-18T21:00,,22.1,93,0.407,0.404
1985-07-18T22:00,,21.9,93,0.409,0.403
1985-07-18T23:00,,21.9,94,0.41,0.402
