time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,20.9,98,0.435,0.439
1985-07-16T01:00,,21.1,98,0.423,0.426
1985-07-16T02:00,,21.4,97,0.439,0.426
1985-07-16T03:00,,22.2,95,0.42,0.436
1985-07-16T04:00,,22.6,95,0.43,0.43
1985-07-16T05:00,,23.2,90,0.437,0.429
1985-07-16T06:00,,23.2,87,0.422,0.436
1985-07-16T07:00,,23.0,93,0.412,0.425
1985-07-16T08:00,,23.7,88,0.418,0.423
1985-07-16T09:00,,24.0,86,0.426,0.422
1985-07-16T10:00,,23.9,88,0.434,0.422
1985-07-16T11:00,,24.1,88,0.431,0.423
1985-07-16T12:00,,23.5,86,0.432,0.423
1985-07-16T13:00,,23.6,87,0.426,0.423
1985-07-16T14:00,,23.4,88,0.423,0.422
1985-07-16T15:00,,23.0,90,0.42,0.421
1985-07-16T16:00,,22.8,92,0.418,0.42
1985-07-16T17:00,,22.6,93,0.416,0.419
1985-07-16T18:00,,22.3,92,0.42,0.418
1985-07-16T19:00,,21.2,95,0.433,0.418
1985-07-16T20:00,,21.6,91,0.436,0.421
1985-07-16T21:00,,22.0,88,0.415,0.431
1985-07-16T22:00,,21.6,88,0.436,0.429
1985-07-16T23:00,,22.0,85,0.437,0.432
1985-07-17T00:00,,21.2,88,0.415,0.437
1985-07-17T01:00,,21.7,87,0.396,0.421
1985-07-17T02:00,,22.6,89,0.397,0.419
1985-07-17T03:00,,23.1,86,0.399,0.418
1985-07-17T04:00,,23.2,86,0.404,0.417
1985-07-17T05:00,,23.9,85,0.418,0.416
1985-07-17T06:00,,24.1,83,0.434,0.416
1985-07-17T07:00,,23.7,87,0.437,0.42
1985-07-17T08:00,,24.2,84,0.414,0.43
1985-07-17T09:00,,25.1,79,0.414,0.428
1985-07-17T10:00,,25.2,79,0.412,0.425
1985-07-17T11:00,,24.8,81,0.41,0.423
1985-07-17T12:00,,23.7,84,0.417,0.422
1985-07-17T13:00,,23.7,85,0.416,0.421
1985-07-17T14:00,,23.5,85,0.414,0.42
1985-07-17T15:00,,23.4,86,0.413,0.419
1985-07-17T16:00,,23.3,87,0.411,0.418
1985-07-17T17:00,,23.1,88,0.41,0.417
1985-07-17T18:00,,22.9,89,0.409,0.416
1985-07-17T19:00,,22.6,89,0.411,0.416
1985-07-17T20:00,,21.6,92,0.418,0.415
1985-07-17T21:00,,22.4,88,0.425,0.415
1985-07-17T22:00,,22.2,88,0.429,0.416
1985-07-17T23:00,,21.9,89,0.433,0.417
1985-07-18T00:00,,21.8,89,0.434,0.419
1985-07-18T01:00,,22.2,87,0.435,0.422
1985-07-18T02:00,,22.5,86,0.432,0.423
1985-07-18T03:00,,23.2,82,0.429,0.424
1985-07-18T04:00,,24.0,82,0.435,0.424
1985-07-18T05:00,,23.8,83,0.436,0.426
1985-07-18T06:00,,24.1,81,0.433,0.427
1985-07-18T07:00,,24.3,85,0.439,0.428
1985-07-18T08:00,,24.3,85,0.422,0.438
1985-07-18T09:00,,24.3,85,0.424,0.431
1985-07-18T10:00,,23.8,87,0.433,0.429
1985-07-18T11:00,,23.4,87,0.433,0.43
1985-07-18T12:00,,23.0,89,0.432,0.43
1985-07-18T13:00,,23.1,89,0.43,0.429
1985-07-18T14:00,,22.7,94,0.427,0.428
1985-07-18T15:00,,22.2,94,0.424,0.427
1985-07-18T16:00,,22.7,91,0.422,0.426
1985-07-18T17:00,,22.8,89,0.42,0.424
1985-07-18T18:00,,22.7,87,0.419,0.424
1985-07-18T19:00,,23.1,85,0.419,0.423
1985-07-18T20:00,,23.0,85,0.419,0.422
1985-07-18T21:00,,22.2,87,0.419,0.421
1985-07-18T22:00,,21.6,89,0.42,0.421
1985-07-18T23:00,,21.4,89,0.424,0.42
