time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,9.1,89,0.483,0.489
1985-07-16T01:00,,9.4,91,0.483,0.488
1985-07-16T02:00,,10.2,93,0.484,0.488
1985-07-16T03:00,,11.0,90,0.485,0.487
1985-07-16T04:00,,11.7,94,0.485,0.487
1985-07-16T05:00,,13.2,95,0.49,0.487
1985-07-16T06:00,,13.8,92,0.503,0.487
1985-07-16T07:00,,12.6,93,0.513,0.489
1985-07-16T08:00,,11.7,91,0.52,0.497
1985-07-16T09:00,,12.3,88,0.515,0.502
1985-07-16T10:00,,12.6,84,0.516,0.504
1985-07-16T11:00,,12.2,88,0.512,0.504
1985-07-16T12:00,,11.9,90,0.51,0.503
1985-07-16T13:00,,10.9,95,0.507,0.503
1985-07-16T14:00,,10.8,94,0.503,0.502
1985-07-16T15:00,,10.8,91,0.501,0.501
1985-07-16T16:00,,10.4,92,0.498,0.5
1985-07-16T17:00,,10.2,89,0.496,0.499
1985-07-16T18:00,,9.8,89,0.494,0.499
1985-07-16T19:00,,9.6,89,0.493,0.498
1985-07-16T20:00,,9.5,89,0.492,0.497
1985-07-16T21:00,,9.3,88,0.491,0.496
1985-07-16T22:00,,9.2,88,0.49,0.495
1985-07-16T23:00,,9.1,87,0.489,0.494
1985-07-17T00:00,,9.2,87,0.489,0.494
1985-07-17T01:00,,8.9,91,0.488,0.493
1985-07-17T02:00,,10.2,93,0.488,0.492
1985-07-17T03:00,,10.9,87,0.487,0.492
1985-07-17T04:00,,10.9,86,0.488,0.491
1985-07-17T05:00,,12.2,86,0.488,0.491
1985-07-17T06:00,,13.7,93,0.488,0.49
1985-07-17T07:00,,12.8,89,0.501,0.49
1985-07-17T08:00,,13.7,93,0.505,0.491
1985-07-17T09:00,,12.9,91,0.513,0.492
1985-07-17T10:00,,12.6,90,0.501,0.497
1985-07-17T11:00,,12.9,83,0.497,0.497
1985-07-17T12:00,,11.6,88,0.495,0.496
1985-07-17T13:00,,10.6,92,0.494,0.496
1985-07-17T14:00,,10.4,91,0.492,0.495
1985-07-17T15:00,,10.1,91,0.49,0.495
1985-07-17T16:00,,9.9,91,0.488,0.494
1985-07-17T17:00,,9.8,90,0.487,0.493
1985-07-17T18:00,,9.6,91,0.486,0.492
1985-07-17T19:00,,9.5,92,0.485,0.492
1985-07-17T20:00,,9.1,93,0.485,0.491
1985-07-17T21:00,,9.2,91,0.484,0.491
1985-07-17T22:00,,8.9,96,0.488,0.49
1985-07-17T23:00,,8.8,94,0.489,0.49
1985-07-18T00:00,,8.8,93,0.488,0.489
1985-07-18T01:00,,9.2,96,0.487,0.489
1985-07-18T02:00,,10.1,87,0.486,0.489
1985-07-18T03:00,,10.8,85,0.485,0.488
1985-07-18T04:00,,11.6,91,0.485,0.488
1985-07-18T05:00,,12.4,96,0.487,0.488
1985-07-18T06:00,,12.7,94,0.495,0.487
1985-07-18T07:00,,12.6,92,0.505,0.488
1985-07-18T08:00,,13.5,95,0.504,0.489
1985-07-18T09:00,,12.9,83,0.511,0.491
1985-07-18T10:00,,12.5,87,0.496,0.495
1985-07-18T11:00,,11.2,89,0.499,0.495
1985-07-18T12:00,,10.9,89,0.503,0.495
1985-07-18T13:00,,9.9,94,0.5,0.495
1985-07-18T14:00,,9.6,95,0.498,0.495
1985-07-18T15:00,,9.4,92,0.495,0.495
1985-07-18T16:00,,9.4,89,0.493,0.494
1985-07-18T17:00,,9.3,86,0.491,0.494
1985-07-18T18:00,,9.0,88,0.489,0.493
1985-07-18T19:00,,8.3,91,0.49,0.493
1985-07-18T20:00,,8.3,90,0.493,0.493
1985-07-18T21:00,,8.1,92,0.498,0.492
1985-07-18T22:00,,8.0,95,0.501,0.493
1985-07-18T23:00,,8.0,94,0.501,0.493
