time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,2.0,97,0.31,0.192
1985-07-16T01:00,,2.2,96,0.31,0.192
1985-07-16T02:00,,3.4,96,0.309,0.192
1985-07-16T03:00,,5.3,89,0.31,0.192
1985-07-16T04:00,,5.7,86,0.317,0.192
1985-07-16T05:00,,6.2,90,0.329,0.193
1985-07-16T06:00,,6.4,91,0.34,0.193
1985-07-16T07:00,,5.3,96,0.347,0.193
1985-07-16T08:00,,4.9,97,0.352,0.194
1985-07-16T09:00,,5.2,95,0.357,0.194
1985-07-16T10:00,,5.7,94,0.364,0.195
1985-07-16T11:00,,6.2,90,0.367,0.196
1985-07-16T12:00,,6.4,89,0.368,0.197
1985-07-16T13:00,,6.3,90,0.365,0.199
1985-07-16T14:00,,5.7,94,0.363,0.2
1985-07-16T15:00,,5.5,96,0.361,0.2
1985-07-16T16:00,,5.3,97,0.359,0.201
1985-07-16T17:00,,5.0,98,0.357,0.202
1985-07-16T18:00,,4.8,99,0.356,0.202
1985-07-16T19:00,,4.6,98,0.355,0.202
1985-07-16T20:00,,4.4,98,0.353,0.203
1985-07-16T21:00,,4.2,98,0.352,0.203
1985-07-16T22:00,,3.6,98,0.351,0.203
1985-07-16T23:00,,3.4,98,0.351,0.204
1985-07-17T00:00,,3.7,97,0.35,0.204
1985-07-17T01:00,,4.0,96,0.349,0.204
1985-07-17T02:00,,4.4,96,0.349,0.204
1985-07-17T03:00,,5.3,92,0.349,0.205
1985-07-17T04:00,,5.8,89,0.357,0.205
1985-07-17T05:00,,6.5,90,0.365,0.205
1985-07-17T06:00,,7.4,91,0.373,0.206
1985-07-17T07:00,,8.2,88,0.379,0.207
1985-07-17T08:00,,7.9,91,0.381,0.209
1985-07-17T09:00,,8.0,90,0.381,0.212
1985-07-17T10:00,,8.1,89,0.384,0.214
1985-07-17T11:00,,7.8,90,0.382,0.217
1985-07-17T12:00,,7.1,90,0.381,0.218
1985-07-17T13:00,,7.0,91,0.365,0.225
1985-07-17T14:00,,6.5,93,0.359,0.227
1985-07-17T15:00,,6.0,96,0.355,0.228
1985-07-17T16:00,,5.6,97,0.353,0.229
1985-07-17T17:00,,5.3,98,0.351,0.23
1985-07-17T18:00,,5.0,98,0.35,0.23
1985-07-17T19:00,,5.0,98,0.348,0.23
1985-07-17T20:00,,4.6,98,0.347,0.231
1985-07-17T21:00,,4.4,98,0.346,0.231
1985-07-17T22:00,,4.3,98,0.345,0.231
1985-07-17T23:00,,4.3,97,0.344,0.232
1985-07-18T00:00,,4.2,98,0.344,0.232
1985-07-18T01:00,,4.4,96,0.343,0.232
1985-07-18T02:00,,4.8,95,0.342,0.232
1985-07-18T03:00,,5.8,87,0.344,0.233
1985-07-18T04:00,,5.9,89,0.355,0.233
1985-07-18T05:00,,6.3,91,0.367,0.235
1985-07-18T06:00,,6.6,93,0.375,0.237
1985-07-18T07:00,,7.3,90,0.384,0.242
1985-07-18T08:00,,7.4,91,0.385,0.248
1985-07-18T09:00,,7.2,93,0.383,0.254
1985-07-18T10:00,,6.6,96,0.383,0.258
1985-07-18T11:00,,6.3,95,0.381,0.262
1985-07-18T12:00,,5.6,95,0.379,0.265
1985-07-18T13:00,,5.3,94,0.376,0.267
1985-07-18T14:00,,5.3,94,0.371,0.269
1985-07-18T15:00,,5.0,96,0.367,0.271
1985-07-18T16:00,,4.7,98,0.364,0.272
1985-07-18T17:00,,4.5,98,0.361,0.273
1985-07-18T18:00,,4.4,98,0.358,0.274
1985-07-18T19:00,,3.9,97,0.356,0.274
1985-07-18T20:00,,3.6,97,0.354,0.275
1985-07-18T21:00,,3.6,97,0.352,0.275
1985-07-18T22:00,,3.6,98,0.351,0.276
1985-07-18T23:00,,3.4,98,0.349,0.276
