time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,17.9,96,0.458,0.463
1985-07-16T01:00,,18.0,97,0.478,0.464
1985-07-16T02:00,,18.3,97,0.468,0.473
1985-07-16T03:00,,19.2,93,0.442,0.479
1985-07-16T04:00,,19.5,91,0.431,0.468
1985-07-16T05:00,,20.0,93,0.446,0.471
1985-07-16T06:00,,20.9,93,0.448,0.464
1985-07-16T07:00,,20.3,93,0.475,0.464
1985-07-16T08:00,,20.3,93,0.486,0.465
1985-07-16T09:00,,20.6,95,0.451,0.48
1985-07-16T10:00,,21.2,95,0.425,0.472
1985-07-16T11:00,,20.3,95,0.447,0.47
1985-07-16T12:00,,19.8,93,0.448,0.473
1985-07-16T13:00,,19.6,94,0.438,0.465
1985-07-16T14:00,,19.3,96,0.439,0.464
1985-07-16T15:00,,19.1,95,0.44,0.463
1985-07-16T16:00,,18.9,95,0.44,0.462
1985-07-16T17:00,,18.8,95,0.441,0.461
1985-07-16T18:00,,18.4,94,0.449,0.461
1985-07-16T19:00,,17.6,91,0.458,0.46
1985-07-16T20:00,,17.6,90,0.465,0.46
1985-07-16T21:00,,18.3,85,0.478,0.46
1985-07-16T22:00,,18.3,84,0.486,0.464
1985-07-16T23:00,,17.9,86,0.465,0.473
1985-07-17T00:00,,17.8,87,0.466,0.469
1985-07-17T01:00,,18.0,86,0.444,0.478
1985-07-17T02:00,,18.8,89,0.418,0.47
1985-07-17T03:00,,19.4,89,0.424,0.465
1985-07-17T04:00,,19.5,90,0.433,0.464
1985-07-17T05:00,,20.2,91,0.437,0.463
1985-07-17T06:00,,21.5,86,0.452,0.463
1985-07-17T07:00,,21.9,90,0.459,0.467
1985-07-17T08:00,,21.4,91,0.464,0.463
1985-07-17T09:00,,21.4,89,0.471,0.468
1985-07-17T10:00,,21.1,91,0.474,0.467
1985-07-17T11:00,,20.8,94,0.474,0.468
1985-07-17T12:00,,19.8,94,0.483,0.469
1985-07-17T13:00,,19.1,97,0.469,0.474
1985-07-17T14:00,,18.9,95,0.47,0.472
1985-07-17T15:00,,18.4,97,0.468,0.471
1985-07-17T16:00,,18.5,94,0.466,0.471
1985-07-17T17:00,,18.6,92,0.465,0.47
1985-07-17T18:00,,18.6,91,0.466,0.469
1985-07-17T19:00,,18.8,90,0.478,0.469
1985-07-17T20:00,,18.4,90,0.487,0.471
1985-07-17T21:00,,18.3,87,0.464,0.486
1985-07-17T22:00,,18.4,86,0.426,0.474
1985-07-17T23:00,,18.2,86,0.429,0.45
1985-07-18T00:00,,17.9,87,0.434,0.45
1985-07-18T01:00,,18.4,86,0.435,0.45
1985-07-18T02:00,,18.8,89,0.441,0.449
1985-07-18T03:00,,19.4,87,0.448,0.449
1985-07-18T04:00,,20.4,87,0.447,0.45
1985-07-18T05:00,,20.7,86,0.464,0.45
1985-07-18T06:00,,21.2,88,0.467,0.453
1985-07-18T07:00,,21.2,86,0.475,0.451
1985-07-18T08:00,,21.6,89,0.483,0.455
1985-07-18T09:00,,21.5,92,0.473,0.464
1985-07-18T10:00,,20.8,93,0.453,0.476
1985-07-18T11:00,,19.3,92,0.483,0.478
1985-07-18T12:00,,19.0,92,0.472,0.477
1985-07-18T13:00,,18.8,93,0.435,0.48
1985-07-18T14:00,,18.5,94,0.412,0.468
1985-07-18T15:00,,18.4,93,0.412,0.448
1985-07-18T16:00,,18.5,90,0.412,0.448
1985-07-18T17:00,,18.4,89,0.414,0.447
1985-07-18T18:00,,18.2,88,0.425,0.447
1985-07-18T19:00,,17.6,89,0.443,0.447
1985-07-18T20:00,,17.2,89,0.45,0.451
1985-07-18T21:00,,17.0,90,0.458,0.448
1985-07-18T22:00,,16.8,90,0.475,0.449
1985-07-18T23:00,,17.0,88,0.47,0.454
