time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,22.0,91,0.341,0.324
1985-07-16T01:00,,22.0,94,0.34,0.324
1985-07-16T02:00,,22.6,91,0.338,0.323
1985-07-16T03:00,,23.8,84,0.337,0.323
1985-07-16T04:00,,24.6,79,0.336,0.322
1985-07-16T05:00,,25.4,77,0.335,0.322
1985-07-16T06:00,,26.1,74,0.341,0.321
1985-07-16T07:00,,26.3,70,0.338,0.32
1985-07-16T08:00,,25.8,72,0.348,0.32
1985-07-16T09:00,,25.6,74,0.356,0.321
1985-07-16T10:00,,24.7,79,0.354,0.323
1985-07-16T11:00,,24.8,79,0.349,0.324
1985-07-16T12:00,,24.7,79,0.346,0.324
1985-07-16T13:00,,24.6,80,0.343,0.324
1985-07-16T14:00,,23.9,84,0.341,0.324
1985-07-16T15:00,,23.1,92,0.339,0.323
1985-07-16T16:00,,22.7,93,0.337,0.323
1985-07-16T17:00,,22.4,93,0.335,0.323
1985-07-16T18:00,,22.3,93,0.334,0.322
1985-07-16T19:00,,22.9,88,0.332,0.322
1985-07-16T20:00,,23.1,86,0.331,0.321
1985-07-16T21:00,,22.7,88,0.332,0.32
1985-07-16T22:00,,22.5,88,0.344,0.32
1985-07-16T23:00,,22.5,88,0.343,0.321
1985-07-17T00:00,,21.8,93,0.342,0.321
1985-07-17T01:00,,22.2,92,0.339,0.321
1985-07-17T02:00,,23.5,85,0.337,0.321
1985-07-17T03:00,,24.5,79,0.335,0.32
1985-07-17T04:00,,24.4,77,0.344,0.32
1985-07-17T05:00,,24.9,76,0.344,0.32
1985-07-17T06:00,,26.2,72,0.339,0.32
1985-07-17T07:00,,26.9,72,0.339,0.319
1985-07-17T08:00,,26.6,73,0.348,0.319
1985-07-17T09:00,,25.8,76,0.361,0.321
1985-07-17T10:00,,25.3,77,0.343,0.328
1985-07-17T11:00,,25.3,77,0.341,0.328
1985-07-17T12:00,,24.8,78,0.34,0.327
1985-07-17T13:00,,24.7,79,0.338,0.326
1985-07-17T14:00,,24.1,85,0.336,0.326
1985-07-17T15:00,,23.3,90,0.334,0.325
1985-07-17T16:00,,23.6,85,0.333,0.325
1985-07-17T17:00,,22.9,89,0.332,0.324
1985-07-17T18:00,,22.3,92,0.332,0.323
1985-07-17T19:00,,22.2,93,0.331,0.323
1985-07-17T20:00,,22.3,92,0.331,0.322
1985-07-17T21:00,,21.8,93,0.344,0.322
1985-07-17T22:00,,21.8,92,0.365,0.322
1985-07-17T23:00,,21.6,93,0.347,0.33
1985-07-18T00:00,,21.3,94,0.344,0.33
1985-07-18T01:00,,21.6,95,0.342,0.329
1985-07-18T02:00,,23.0,88,0.341,0.329
1985-07-18T03:00,,24.1,81,0.34,0.328
1985-07-18T04:00,,25.2,76,0.339,0.327
1985-07-18T05:00,,25.9,74,0.343,0.326
1985-07-18T06:00,,26.4,71,0.352,0.326
1985-07-18T07:00,,26.8,74,0.354,0.326
1985-07-18T08:00,,26.5,75,0.371,0.327
1985-07-18T09:00,,25.1,78,0.394,0.34
1985-07-18T10:00,,24.0,82,0.382,0.347
1985-07-18T11:00,,23.7,83,0.361,0.352
1985-07-18T12:00,,24.0,81,0.357,0.349
1985-07-18T13:00,,24.0,81,0.355,0.347
1985-07-18T14:00,,23.7,82,0.353,0.346
1985-07-18T15:00,,23.2,87,0.35,0.345
1985-07-18T16:00,,22.6,90,0.348,0.343
1985-07-18T17:00,,22.6,87,0.346,0.342
1985-07-18T18:00,,22.7,86,0.344,0.341
1985-07-18T19:00,,22.0,89,0.343,0.34
1985-07-18T20:00,,21.6,90,0.341,0.339
1985-07-18T21:00,,21.2,93,0.341,0.338
1985-07-18T22:00,,21.3,92,0.34,0.337
1985-07-18T23:00,,21.3,93,0.339,0.336
