time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,24.2,94,0.327,0.276
1985-07-16T01:00,,24.6,94,0.316,0.279
1985-07-16T02:00,,25.0,91,0.309,0.281
1985-07-16T03:00,,26.1,86,0.304,0.281
1985-07-16T04:00,,26.9,84,0.301,0.281
1985-07-16T05:00,,27.4,84,0.298,0.281
1985-07-16T06:00,,27.9,83,0.295,0.281
1985-07-16T07:00,,27.6,82,0.291,0.28
1985-07-16T08:00,,28.1,79,0.288,0.279
1985-07-16T09:00,,28.4,78,0.285,0.278
1985-07-16T10:00,,28.4,78,0.283,0.277
1985-07-16T11:00,,28.4,78,0.281,0.276
1985-07-16T12:00,,27.1,81,0.32,0.276
1985-07-16T13:00,,27.0,81,0.311,0.279
1985-07-16T14:00,,26.7,85,0.305,0.28
1985-07-16T15:00,,26.0,90,0.3,0.28
1985-07-16T16:00,,25.6,93,0.296,0.28
1985-07-16T17:00,,25.4,94,0.293,0.28
1985-07-16T18:00,,25.2,94,0.29,0.279
1985-07-16T19:00,,25.4,91,0.288,0.279
1985-07-16T20:00,,25.1,93,0.289,0.278
1985-07-16T21:00,,24.8,95,0.291,0.278
1985-07-16T22:00,,24.6,97,0.29,0.278
1985-07-16T23:00,,24.5,98,0.289,0.277
1985-07-17T00:00,,24.3,98,0.288,0.277
1985-07-17T01:00,,24.6,97,0.286,0.276
1985-07-17T02:00,,25.5,92,0.285,0.276
1985-07-17T03:00,,26.5,86,0.284,0.275
1985-07-17T04:00,,26.6,83,0.304,0.275
1985-07-17T05:00,,27.5,81,0.3,0.276
1985-07-17T06:00,,28.4,79,0.295,0.276
1985-07-17T07:00,,28.7,80,0.292,0.276
1985-07-17T08:00,,29.4,73,0.289,0.275
1985-07-17T09:00,,29.5,72,0.288,0.275
1985-07-17T10:00,,29.4,72,0.29,0.274
1985-07-17T11:00,,27.8,78,0.321,0.275
1985-07-17T12:00,,27.5,81,0.318,0.278
1985-07-17T13:00,,27.4,81,0.31,0.279
1985-07-17T14:00,,26.8,86,0.304,0.28
1985-07-17T15:00,,26.2,91,0.299,0.281
1985-07-17T16:00,,25.9,93,0.295,0.28
1985-07-17T17:00,,25.5,96,0.292,0.28
1985-07-17T18:00,,25.2,97,0.29,0.28
1985-07-17T19:00,,25.3,96,0.288,0.279
1985-07-17T20:00,,25.2,96,0.286,0.279
1985-07-17T21:00,,25.1,96,0.285,0.278
1985-07-17T22:00,,24.9,95,0.323,0.279
1985-07-17T23:00,,24.6,95,0.331,0.282
1985-07-18T00:00,,24.2,95,0.319,0.285
1985-07-18T01:00,,24.4,95,0.311,0.287
1985-07-18T02:00,,25.4,91,0.306,0.287
1985-07-18T03:00,,26.8,84,0.305,0.287
1985-07-18T04:00,,28.1,77,0.302,0.287
1985-07-18T05:00,,29.0,71,0.297,0.286
1985-07-18T06:00,,29.2,71,0.293,0.285
1985-07-18T07:00,,29.2,72,0.292,0.284
1985-07-18T08:00,,29.1,72,0.32,0.284
1985-07-18T09:00,,29.1,72,0.317,0.286
1985-07-18T10:00,,26.2,81,0.403,0.294
1985-07-18T11:00,,25.5,87,0.316,0.333
1985-07-18T12:00,,25.6,86,0.315,0.328
1985-07-18T13:00,,25.5,89,0.313,0.324
1985-07-18T14:00,,25.3,90,0.31,0.32
1985-07-18T15:00,,24.9,91,0.307,0.317
1985-07-18T16:00,,24.7,92,0.304,0.314
1985-07-18T17:00,,24.5,94,0.302,0.311
1985-07-18T18:00,,24.3,95,0.3,0.309
1985-07-18T19:00,,25.1,88,0.298,0.307
1985-07-18T20:00,,25.1,87,0.297,0.305
1985-07-18T21:00,,25.0,87,0.296,0.303
1985-07-18T22:00,,24.8,88,0.298,0.301
1985-07-18T23:00,,24.6,90,0.313,0.3
