time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,24.0,98,0.442,0.437
1985-07-16T01:00,,24.2,99,0.448,0.437
1985-07-16T02:00,,24.3,99,0.454,0.438
1985-07-16T03:00,,24.5,99,0.458,0.439
1985-07-16T04:00,,24.2,99,0.461,0.443
1985-07-16T05:00,,25.2,97,0.438,0.456
1985-07-16T06:00,,25.0,97,0.424,0.447
1985-07-16T07:00,,26.5,97,0.427,0.447
1985-07-16T08:00,,26.4,96,0.436,0.446
1985-07-16T09:00,,26.6,94,0.44,0.448
1985-07-16T10:00,,27.5,92,0.444,0.447
1985-07-16T11:00,,27.3,90,0.445,0.447
1985-07-16T12:00,,26.8,92,0.451,0.447
1985-07-16T13:00,,25.8,95,0.454,0.447
1985-07-16T14:00,,25.1,96,0.452,0.446
1985-07-16T15:00,,24.7,97,0.451,0.446
1985-07-16T16:00,,24.4,98,0.449,0.445
1985-07-16T17:00,,24.3,98,0.448,0.444
1985-07-16T18:00,,24.0,98,0.447,0.444
1985-07-16T19:00,,23.8,96,0.448,0.443
1985-07-16T20:00,,23.5,96,0.45,0.443
1985-07-16T21:00,,23.3,97,0.451,0.443
1985-07-16T22:00,,23.3,97,0.451,0.443
1985-07-16T23:00,,23.3,97,0.45,0.443
1985-07-17T00:00,,23.3,97,0.453,0.443
1985-07-17T01:00,,23.2,97,0.458,0.444
1985-07-17T02:00,,23.8,96,0.46,0.447
1985-07-17T03:00,,24.3,97,0.458,0.449
1985-07-17T04:00,,25.0,96,0.459,0.451
1985-07-17T05:00,,25.5,96,0.46,0.452
1985-07-17T06:00,,25.9,96,0.46,0.454
1985-07-17T07:00,,26.2,94,0.461,0.456
1985-07-17T08:00,,26.6,96,0.44,0.46
1985-07-17T09:00,,26.7,93,0.424,0.45
1985-07-17T10:00,,27.3,93,0.421,0.448
1985-07-17T11:00,,27.1,93,0.426,0.447
1985-07-17T12:00,,26.9,93,0.427,0.446
1985-07-17T13:00,,25.9,92,0.432,0.445
1985-07-17T14:00,,24.9,95,0.434,0.445
1985-07-17T15:00,,24.4,97,0.433,0.445
1985-07-17T16:00,,24.2,97,0.433,0.444
1985-07-17T17:00,,24.1,97,0.433,0.443
1985-07-17T18:00,,23.9,96,0.433,0.442
1985-07-17T19:00,,23.9,97,0.433,0.442
1985-07-17T20:00,,23.6,92,0.438,0.441
1985-07-17T21:00,,23.2,91,0.448,0.442
1985-07-17T22:00,,22.7,94,0.45,0.445
1985-07-17T23:00,,22.6,96,0.455,0.445
1985-07-18T00:00,,22.6,96,0.454,0.445
1985-07-18T01:00,,23.1,95,0.453,0.445
1985-07-18T02:00,,23.7,95,0.452,0.445
1985-07-18T03:00,,24.8,92,0.452,0.445
1985-07-18T04:00,,25.3,94,0.452,0.445
1985-07-18T05:00,,25.6,96,0.46,0.446
1985-07-18T06:00,,26.1,95,0.461,0.451
1985-07-18T07:00,,25.0,94,0.442,0.46
1985-07-18T08:00,,25.4,93,0.425,0.451
1985-07-18T09:00,,25.6,91,0.432,0.451
1985-07-18T10:00,,25.7,92,0.437,0.45
1985-07-18T11:00,,26.0,91,0.438,0.45
1985-07-18T12:00,,25.6,92,0.443,0.449
1985-07-18T13:00,,25.3,91,0.445,0.448
1985-07-18T14:00,,24.8,94,0.448,0.448
1985-07-18T15:00,,24.4,96,0.45,0.448
1985-07-18T16:00,,24.3,96,0.453,0.449
1985-07-18T17:00,,24.1,96,0.457,0.449
1985-07-18T18:00,,23.8,96,0.46,0.451
1985-07-18T19:00,,22.8,96,0.46,0.453
1985-07-18T20:00,,22.8,96,0.461,0.455
1985-07-18T21:00,,22.6,96,0.44,0.46
1985-07-18T22:00,,22.7,96,0.423,0.451
1985-07-18T23:00,,22.7,96,0.424,0.45
