time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,23.2,94,0.352,0.337
1985-07-16T01:00,,23.5,93,0.349,0.339
1985-07-16T02:00,,23.7,92,0.349,0.34
1985-07-16T03:00,,24.1,91,0.35,0.341
1985-07-16T04:00,,24.4,90,0.354,0.343
1985-07-16T05:00,,25.3,88,0.353,0.345
1985-07-16T06:00,,25.2,90,0.359,0.346
1985-07-16T07:00,,26.2,89,0.374,0.352
1985-07-16T08:00,,26.3,90,0.36,0.358
1985-07-16T09:00,,26.1,88,0.36,0.356
1985-07-16T10:00,,26.5,87,0.35,0.354
1985-07-16T11:00,,26.4,86,0.355,0.353
1985-07-16T12:00,,26.2,85,0.35,0.352
1985-07-16T13:00,,26.0,86,0.342,0.35
1985-07-16T14:00,,25.7,86,0.336,0.347
1985-07-16T15:00,,25.3,88,0.329,0.345
1985-07-16T16:00,,25.0,89,0.324,0.342
1985-07-16T17:00,,24.6,91,0.32,0.339
1985-07-16T18:00,,23.9,92,0.32,0.337
1985-07-16T19:00,,24.3,88,0.317,0.335
1985-07-16T20:00,,24.1,88,0.315,0.334
1985-07-16T21:00,,24.2,87,0.313,0.332
1985-07-16T22:00,,23.6,91,0.32,0.331
1985-07-16T23:00,,23.5,92,0.326,0.33
1985-07-17T00:00,,23.1,92,0.337,0.33
1985-07-17T01:00,,23.4,92,0.341,0.332
1985-07-17T02:00,,24.5,87,0.337,0.333
1985-07-17T03:00,,25.1,83,0.332,0.333
1985-07-17T04:00,,25.9,80,0.328,0.332
1985-07-17T05:00,,26.5,79,0.326,0.331
1985-07-17T06:00,,26.8,80,0.33,0.331
1985-07-17T07:00,,24.8,89,0.344,0.332
1985-07-17T08:00,,25.7,86,0.339,0.333
1985-07-17T09:00,,26.5,82,0.335,0.334
1985-07-17T10:00,,27.4,79,0.329,0.333
1985-07-17T11:00,,27.3,81,0.326,0.332
1985-07-17T12:00,,26.8,81,0.325,0.331
1985-07-17T13:00,,26.2,80,0.324,0.331
1985-07-17T14:00,,25.6,83,0.321,0.33
1985-07-17T15:00,,25.1,90,0.318,0.329
1985-07-17T16:00,,25.1,86,0.315,0.328
1985-07-17T17:00,,25.0,87,0.312,0.327
1985-07-17T18:00,,24.8,87,0.31,0.326
1985-07-17T19:00,,24.5,88,0.309,0.325
1985-07-17T20:00,,24.0,91,0.309,0.323
1985-07-17T21:00,,23.8,92,0.309,0.323
1985-07-17T22:00,,23.5,93,0.32,0.322
1985-07-17T23:00,,23.2,93,0.329,0.323
1985-07-18T00:00,,22.9,93,0.329,0.323
1985-07-18T01:00,,23.1,95,0.331,0.324
1985-07-18T02:00,,24.6,87,0.326,0.325
1985-07-18T03:00,,25.1,84,0.325,0.325
1985-07-18T04:00,,25.6,85,0.332,0.325
1985-07-18T05:00,,25.4,86,0.347,0.327
1985-07-18T06:00,,25.7,85,0.345,0.33
1985-07-18T07:00,,25.1,89,0.356,0.334
1985-07-18T08:00,,25.6,88,0.348,0.338
1985-07-18T09:00,,25.9,86,0.346,0.339
1985-07-18T10:00,,26.2,85,0.34,0.34
1985-07-18T11:00,,26.3,84,0.337,0.339
1985-07-18T12:00,,26.1,84,0.333,0.338
1985-07-18T13:00,,25.6,87,0.331,0.337
1985-07-18T14:00,,24.9,88,0.332,0.336
1985-07-18T15:00,,24.4,91,0.329,0.335
1985-07-18T16:00,,24.1,93,0.328,0.335
1985-07-18T17:00,,23.7,95,0.328,0.334
1985-07-18T18:00,,23.2,96,0.341,0.334
1985-07-18T19:00,,23.7,91,0.337,0.335
1985-07-18T20:00,,23.7,91,0.334,0.334
1985-07-18T21:00,,23.3,93,0.332,0.334
1985-07-18T22:00,,23.1,93,0.331,0.334
1985-07-18T23:00,,22.7,92,0.334,0.333
