time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,2.4,98,0.344,0.341
1985-07-16T01:00,,2.6,98,0.347,0.341
1985-07-16T02:00,,2.9,97,0.349,0.342
1985-07-16T03:00,,3.5,96,0.351,0.343
1985-07-16T04:00,,3.9,95,0.356,0.344
1985-07-16T05:00,,4.5,96,0.361,0.346
1985-07-16T06:00,,3.9,99,0.367,0.349
1985-07-16T07:00,,4.1,97,0.374,0.352
1985-07-16T08:00,,4.0,98,0.378,0.354
1985-07-16T09:00,,4.1,97,0.38,0.357
1985-07-16T10:00,,4.5,97,0.379,0.358
1985-07-16T11:00,,4.3,93,0.376,0.361
1985-07-16T12:00,,3.9,90,0.37,0.361
1985-07-16T13:00,,3.7,91,0.367,0.361
1985-07-16T14:00,,3.3,95,0.365,0.361
1985-07-16T15:00,,2.8,96,0.363,0.361
1985-07-16T16:00,,2.5,98,0.361,0.36
1985-07-16T17:00,,2.3,97,0.361,0.36
1985-07-16T18:00,,2.1,97,0.363,0.36
1985-07-16T19:00,,2.4,98,0.367,0.36
1985-07-16T20:00,,2.0,99,0.366,0.361
1985-07-16T21:00,,1.9,99,0.369,0.362
1985-07-16T22:00,,1.8,99,0.369,0.362
1985-07-16T23:00,,1.8,99,0.369,0.362
1985-07-17T00:00,,1.6,99,0.368,0.363
1985-07-17T01:00,,1.5,99,0.368,0.363
1985-07-17T02:00,,2.0,98,0.368,0.363
1985-07-17T03:00,,2.5,92,0.369,0.363
1985-07-17T04:00,,2.8,91,0.369,0.363
1985-07-17T05:00,,2.8,92,0.369,0.364
1985-07-17T06:00,,3.1,91,0.369,0.364
1985-07-17T07:00,,4.7,97,0.37,0.364
1985-07-17T08:00,,4.8,99,0.369,0.365
1985-07-17T09:00,,5.3,98,0.369,0.365
1985-07-17T10:00,,4.8,98,0.37,0.365
1985-07-17T11:00,,4.6,99,0.368,0.365
1985-07-17T12:00,,4.4,99,0.366,0.364
1985-07-17T13:00,,3.8,100,0.366,0.364
1985-07-17T14:00,,3.0,99,0.366,0.364
1985-07-17T15:00,,2.2,99,0.365,0.364
1985-07-17T16:00,,1.7,99,0.363,0.363
1985-07-17T17:00,,1.6,99,0.361,0.363
1985-07-17T18:00,,1.4,99,0.362,0.362
1985-07-17T19:00,,1.7,99,0.363,0.362
1985-07-17T20:00,,1.3,99,0.363,0.362
1985-07-17T21:00,,1.1,99,0.363,0.362
1985-07-17T22:00,,1.1,99,0.364,0.362
1985-07-17T23:00,,1.0,100,0.364,0.362
1985-07-18T00:00,,1.0,99,0.365,0.362
1985-07-18T01:00,,1.2,99,0.365,0.362
1985-07-18T02:00,,1.9,95,0.364,0.362
1985-07-18T03:00,,2.5,91,0.363,0.362
1985-07-18T04:00,,2.7,90,0.364,0.362
1985-07-18T05:00,,2.6,92,0.364,0.362
1985-07-18T06:00,,2.9,91,0.366,0.362
1985-07-18T07:00,,3.2,100,0.37,0.363
1985-07-18T08:00,,3.1,100,0.373,0.364
1985-07-18T09:00,,3.1,99,0.376,0.365
1985-07-18T10:00,,2.7,99,0.376,0.366
1985-07-18T11:00,,2.9,98,0.373,0.366
1985-07-18T12:00,,2.7,96,0.373,0.367
1985-07-18T13:00,,2.4,92,0.373,0.367
1985-07-18T14:00,,2.0,96,0.372,0.368
1985-07-18T15:00,,1.6,97,0.372,0.368
1985-07-18T16:00,,1.4,98,0.374,0.368
1985-07-18T17:00,,1.3,99,0.374,0.369
1985-07-18T18:00,,1.2,99,0.373,0.369
1985-07-18T19:00,,1.0,96,0.376,0.369
1985-07-18T20:00,,0.8,96,0.374,0.37
1985-07-18T21:00,,0.5,97,0.373,0.37
1985-07-18T22:00,,0.4,97,0.374,0.369
1985-07-18T23:00,,0.2,96,0.373,0.369
