time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,24.3,92,0.328,0.299
1985-07-16T01:00,,24.4,93,0.328,0.301
1985-07-16T02:00,,24.3,94,0.333,0.302
1985-07-16T03:00,,24.8,92,0.333,0.304
1985-07-16T04:00,,25.1,92,0.331,0.306
1985-07-16T05:00,,25.7,90,0.332,0.307
1985-07-16T06:00,,26.3,87,0.33,0.308
1985-07-16T07:00,,28.6,77,0.319,0.307
1985-07-16T08:00,,27.3,81,0.365,0.308
1985-07-16T09:00,,27.4,83,0.337,0.316
1985-07-16T10:00,,28.1,80,0.328,0.316
1985-07-16T11:00,,28.2,79,0.328,0.314
1985-07-16T12:00,,27.9,79,0.325,0.313
1985-07-16T13:00,,27.7,80,0.318,0.312
1985-07-16T14:00,,27.2,82,0.313,0.31
1985-07-16T15:00,,26.4,86,0.31,0.308
1985-07-16T16:00,,25.7,91,0.306,0.306
1985-07-16T17:00,,25.5,91,0.303,0.304
1985-07-16T18:00,,25.2,91,0.301,0.302
1985-07-16T19:00,,25.1,88,0.299,0.3
1985-07-16T20:00,,25.1,87,0.297,0.299
1985-07-16T21:00,,24.9,88,0.295,0.297
1985-07-16T22:00,,24.8,89,0.293,0.295
1985-07-16T23:00,,24.8,88,0.293,0.294
1985-07-17T00:00,,24.6,88,0.298,0.293
1985-07-17T01:00,,24.5,90,0.306,0.292
1985-07-17T02:00,,25.1,89,0.305,0.292
1985-07-17T03:00,,26.0,85,0.302,0.291
1985-07-17T04:00,,27.3,77,0.299,0.291
1985-07-17T05:00,,27.7,74,0.297,0.29
1985-07-17T06:00,,28.4,72,0.294,0.289
1985-07-17T07:00,,26.3,84,0.32,0.288
1985-07-17T08:00,,26.5,86,0.321,0.29
1985-07-17T09:00,,26.9,83,0.315,0.291
1985-07-17T10:00,,27.8,78,0.31,0.292
1985-07-17T11:00,,28.1,76,0.305,0.292
1985-07-17T12:00,,28.0,77,0.301,0.291
1985-07-17T13:00,,27.8,78,0.297,0.29
1985-07-17T14:00,,27.2,80,0.294,0.289
1985-07-17T15:00,,26.5,84,0.292,0.288
1985-07-17T16:00,,25.7,90,0.29,0.287
1985-07-17T17:00,,25.4,90,0.288,0.286
1985-07-17T18:00,,25.0,91,0.287,0.285
1985-07-17T19:00,,25.0,90,0.285,0.285
1985-07-17T20:00,,24.9,89,0.284,0.284
1985-07-17T21:00,,24.8,89,0.284,0.283
1985-07-17T22:00,,24.9,88,0.283,0.282
1985-07-17T23:00,,24.8,87,0.284,0.281
1985-07-18T00:00,,24.6,87,0.284,0.28
1985-07-18T01:00,,24.6,88,0.283,0.28
1985-07-18T02:00,,25.6,86,0.282,0.279
1985-07-18T03:00,,26.5,80,0.283,0.278
1985-07-18T04:00,,26.8,79,0.285,0.278
1985-07-18T05:00,,26.9,80,0.287,0.277
1985-07-18T06:00,,27.3,78,0.286,0.277
1985-07-18T07:00,,25.5,89,0.308,0.277
1985-07-18T08:00,,26.4,84,0.309,0.278
1985-07-18T09:00,,26.7,83,0.307,0.28
1985-07-18T10:00,,27.1,80,0.304,0.28
1985-07-18T11:00,,27.3,80,0.302,0.281
1985-07-18T12:00,,27.4,80,0.299,0.281
1985-07-18T13:00,,27.1,82,0.297,0.281
1985-07-18T14:00,,25.9,91,0.297,0.281
1985-07-18T15:00,,25.7,89,0.298,0.281
1985-07-18T16:00,,25.3,91,0.301,0.281
1985-07-18T17:00,,24.7,94,0.312,0.282
1985-07-18T18:00,,24.7,93,0.317,0.283
1985-07-18T19:00,,24.9,91,0.312,0.285
1985-07-18T20:00,,24.8,90,0.309,0.286
1985-07-18T21:00,,24.6,90,0.311,0.287
1985-07-18T22:00,,24.2,90,0.321,0.288
1985-07-18T23:00,,23.7,91,0.338,0.291
