time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,18.7,94,0.503,0.491
1985-07-16T01:00,,18.8,94,0.506,0.492
1985-07-16T02:00,,18.7,95,0.518,0.494
1985-07-16T03:00,,18.9,95,0.518,0.499
1985-07-16T04:00,,18.7,96,0.517,0.505
1985-07-16T05:00,,19.5,96,0.49,0.511
1985-07-16T06:00,,19.6,95,0.438,0.506
1985-07-16T07:00,,21.8,90,0.42,0.493
1985-07-16T08:00,,21.3,91,0.445,0.492
1985-07-16T09:00,,21.3,92,0.461,0.492
1985-07-16T10:00,,22.0,91,0.469,0.49
1985-07-16T11:00,,21.6,90,0.5,0.49
1985-07-16T12:00,,20.9,93,0.517,0.491
1985-07-16T13:00,,20.3,94,0.484,0.506
1985-07-16T14:00,,19.9,95,0.49,0.503
1985-07-16T15:00,,19.4,96,0.49,0.503
1985-07-16T16:00,,19.1,97,0.49,0.502
1985-07-16T17:00,,19.0,97,0.49,0.502
1985-07-16T18:00,,18.6,96,0.496,0.501
1985-07-16T19:00,,18.8,93,0.501,0.501
1985-07-16T20:00,,18.5,94,0.504,0.502
1985-07-16T21:00,,18.4,95,0.503,0.502
1985-07-16T22:00,,18.3,95,0.504,0.502
1985-07-16T23:00,,18.2,95,0.511,0.502
1985-07-17T00:00,,18.1,93,0.519,0.504
1985-07-17T01:00,,18.1,96,0.49,0.513
1985-07-17T02:00,,19.0,92,0.467,0.502
1985-07-17T03:00,,19.5,91,0.47,0.502
1985-07-17T04:00,,20.1,90,0.475,0.502
1985-07-17T05:00,,20.5,90,0.484,0.502
1985-07-17T06:00,,21.2,89,0.488,0.503
1985-07-17T07:00,,20.0,91,0.512,0.504
1985-07-17T08:00,,20.5,95,0.484,0.505
1985-07-17T09:00,,20.9,93,0.456,0.492
1985-07-17T10:00,,21.6,89,0.457,0.491
1985-07-17T11:00,,21.6,90,0.462,0.49
1985-07-17T12:00,,21.4,90,0.467,0.489
1985-07-17T13:00,,20.5,89,0.476,0.489
1985-07-17T14:00,,19.7,93,0.477,0.49
1985-07-17T15:00,,19.3,95,0.476,0.489
1985-07-17T16:00,,19.0,96,0.476,0.489
1985-07-17T17:00,,18.8,96,0.476,0.488
1985-07-17T18:00,,18.7,96,0.477,0.488
1985-07-17T19:00,,19.0,94,0.477,0.487
1985-07-17T20:00,,18.9,90,0.479,0.487
1985-07-17T21:00,,18.4,92,0.488,0.486
1985-07-17T22:00,,18.1,92,0.503,0.487
1985-07-17T23:00,,17.9,94,0.478,0.496
1985-07-18T00:00,,17.7,94,0.457,0.484
1985-07-18T01:00,,17.8,95,0.463,0.465
1985-07-18T02:00,,18.7,92,0.464,0.466
1985-07-18T03:00,,19.4,89,0.466,0.466
1985-07-18T04:00,,19.8,92,0.475,0.466
1985-07-18T05:00,,19.8,94,0.498,0.468
1985-07-18T06:00,,20.2,93,0.471,0.484
1985-07-18T07:00,,19.3,94,0.504,0.484
1985-07-18T08:00,,20.1,93,0.475,0.499
1985-07-18T09:00,,20.1,93,0.493,0.499
1985-07-18T10:00,,20.2,92,0.492,0.5
1985-07-18T11:00,,20.3,92,0.493,0.499
1985-07-18T12:00,,20.2,92,0.496,0.497
1985-07-18T13:00,,20.0,92,0.5,0.497
1985-07-18T14:00,,19.4,92,0.504,0.497
1985-07-18T15:00,,18.8,96,0.506,0.497
1985-07-18T16:00,,18.7,97,0.509,0.498
1985-07-18T17:00,,18.5,96,0.512,0.499
1985-07-18T18:00,,18.2,95,0.518,0.501
1985-07-18T19:00,,18.0,93,0.456,0.515
1985-07-18T20:00,,17.9,93,0.441,0.5
1985-07-18T21:00,,17.8,93,0.455,0.478
1985-07-18T22:00,,17.7,94,0.465,0.478
1985-07-18T23:00,,17.4,94,0.473,0.478
