time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,28.0,88,0.163,0.151
1986-06-13T01:00,,28.9,83,0.163,0.151
1986-06-13T02:00,,30.3,75,0.163,0.151
1986-06-13T03:00,,31.4,69,0.163,0.151
1986-06-13T04:00,,32.3,64,0.163,0.151
1986-06-13T05:00,,32.6,62,0.166,0.151
1986-06-13T06:00,,31.0,70,0.214,0.151
1986-06-13T07:00,,35.0,51,0.211,0.151
1986-06-13T08:00,,33.6,58,0.216,0.151
1986-06-13T09:00,,33.2,61,0.23,0.151
1986-06-13T10:00,,32.9,62,0.232,0.151
1986-06-13T11:00,,32.9,62,0.232,0.151
1986-06-13T12:00,,32.1,65,0.231,0.151
1986-06-13T13:00,,31.0,69,0.23,0.151
1986-06-13T14:00,,29.8,74,0.23,0.151
1986-06-13T15:00,,28.7,78,0.23,0.152
1986-06-13T16:00,,28.2,80,0.229,0.152
1986-06-13T17:00,,27.9,81,0.229,0.152
1986-06-13T18:00,,27.7,82,0.229,0.152
1986-06-13T19:00,,27.2,85,0.228,0.152
1986-06-13T20:00,,27.0,86,0.228,0.152
1986-06-13T21:00,,26.9,87,0.228,0.152
1986-06-13T22:00,,26.8,88,0.228,0.152
1986-06-13T23:00,,26.5,90,0.233,0.152
1986-06-14T00:00,,26.0,93,0.249,0.152
1986-06-14T01:00,,26.6,90,0.257,0.152
1986-06-14T02:00,,27.6,86,0.257,0.152
1986-06-14T03:00,,28.9,80,0.257,0.153
1986-06-14T04:00,,29.6,78,0.256,0.153
1986-06-14T05:00,,30.2,77,0.258,0.153
1986-06-14T06:00,,30.7,75,0.26,0.153
1986-06-14T07:00,,32.2,67,0.257,0.153
1986-06-14T08:00,,32.7,63,0.254,0.153
1986-06-14T09:00,,33.0,59,0.252,0.153
1986-06-14T10:00,,32.7,60,0.251,0.153
1986-06-14T11:00,,31.0,66,0.251,0.154
1986-06-14T12:00,,30.5,68,0.25,0.154
1986-06-14T13:00,,29.9,72,0.249,0.154
1986-06-14T14:00,,29.3,75,0.249,0.154
1986-06-14T15:00,,28.9,78,0.248,0.154
1986-06-14T16:00,,28.6,79,0.248,0.154
1986-06-14T17:00,,28.4,81,0.247,0.154
1986-06-14T18:00,,28.1,82,0.247,0.154
1986-06-14T19:00,,27.8,83,0.247,0.154
1986-06-14T20:00,,27.5,84,0.246,0.155
1986-06-14T21:00,,27.0,87,0.246,0.155
1986-06-14T22:00,,26.8,88,0.245,0.155
1986-06-14T23:00,,26.5,90,0.245,0.155
1986-06-15T00:00,,26.4,91,0.245,0.155
1986-06-15T01:00,,27.5,86,0.244,0.155
1986-06-15T02:00,,29.0,78,0.243,0.155
1986-06-15T03:00,,30.3,73,0.242,0.155
1986-06-15T04:00,,31.2,71,0.24,0.155
1986-06-15T05:00,,32.2,67,0.238,0.155
1986-06-15T06:00,,32.7,64,0.237,0.155
1986-06-15T07:00,,33.9,56,0.236,0.155
1986-06-15T08:00,,33.8,55,0.234,0.155
1986-06-15T09:00,,33.8,55,0.232,0.155
1986-06-15T10:00,,31.4,65,0.236,0.155
1986-06-15T11:00,,31.2,67,0.238,0.156
1986-06-15T12:00,,31.1,67,0.238,0.156
1986-06-15T13:00,,29.9,74,0.24,0.156
1986-06-15T14:00,,28.5,81,0.244,0.156
1986-06-15T15:00,,27.9,84,0.244,0.156
1986-06-15T16:00,,27.7,85,0.243,0.156
1986-06-15T17:00,,27.4,87,0.243,0.156
1986-06-15T18:00,,27.1,88,0.243,0.156
1986-06-15T19:00,,26.5,93,0.242,0.156
1986-06-15T20:00,,26.5,94,0.242,0.156
1986-06-15T21:00,,26.4,94,0.242,0.156
1986-06-15T22:00,,26.4,92,0.244,0.157
1986-06-15T23:00,,26.1,93,0.269,0.157
