time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,27.7,78,0.136,0.133
1986-06-13T01:00,,28.8,72,0.136,0.133
1986-06-13T02:00,,30.3,64,0.137,0.133
1986-06-13T03:00,,30.5,65,0.15,0.133
1986-06-13T04:00,,30.4,66,0.178,0.133
1986-06-13T05:00,,31.4,63,0.199,0.133
1986-06-13T06:00,,31.7,63,0.223,0.133
1986-06-13T07:00,,32.4,61,0.231,0.133
1986-06-13T08:00,,34.1,54,0.229,0.133
1986-06-13T09:00,,34.1,53,0.227,0.133
1986-06-13T10:00,,34.1,53,0.224,0.133
1986-06-13T11:00,,33.8,53,0.223,0.133
1986-06-13T12:00,,33.4,55,0.221,0.134
1986-06-13T13:00,,32.7,58,0.221,0.134
1986-06-13T14:00,,31.7,62,0.22,0.134
1986-06-13T15:00,,30.8,67,0.22,0.134
1986-06-13T16:00,,29.8,72,0.222,0.134
1986-06-13T17:00,,29.2,75,0.222,0.134
1986-06-13T18:00,,28.6,76,0.221,0.134
1986-06-13T19:00,,28.1,79,0.221,0.134
1986-06-13T20:00,,27.8,80,0.221,0.134
1986-06-13T21:00,,27.6,81,0.22,0.134
1986-06-13T22:00,,27.3,81,0.22,0.134
1986-06-13T23:00,,27.0,82,0.221,0.134
1986-06-14T00:00,,26.7,82,0.223,0.134
1986-06-14T01:00,,26.9,84,0.235,0.134
1986-06-14T02:00,,27.6,82,0.245,0.135
1986-06-14T03:00,,29.8,70,0.243,0.135
1986-06-14T04:00,,32.1,59,0.24,0.135
1986-06-14T05:00,,33.4,55,0.237,0.135
1986-06-14T06:00,,33.9,52,0.234,0.135
1986-06-14T07:00,,34.1,50,0.232,0.135
1986-06-14T08:00,,34.6,48,0.229,0.135
1986-06-14T09:00,,34.7,48,0.226,0.135
1986-06-14T10:00,,34.5,48,0.224,0.135
1986-06-14T11:00,,34.0,50,0.222,0.135
1986-06-14T12:00,,33.4,52,0.221,0.135
1986-06-14T13:00,,32.3,57,0.22,0.135
1986-06-14T14:00,,31.1,63,0.22,0.136
1986-06-14T15:00,,30.3,67,0.219,0.136
1986-06-14T16:00,,29.5,71,0.219,0.136
1986-06-14T17:00,,28.9,74,0.219,0.136
1986-06-14T18:00,,28.5,76,0.218,0.136
1986-06-14T19:00,,28.2,76,0.218,0.136
1986-06-14T20:00,,27.8,77,0.218,0.136
1986-06-14T21:00,,27.5,79,0.217,0.136
1986-06-14T22:00,,27.3,80,0.217,0.136
1986-06-14T23:00,,27.0,81,0.217,0.136
1986-06-15T00:00,,26.9,82,0.216,0.136
1986-06-15T01:00,,28.0,78,0.216,0.136
1986-06-15T02:00,,29.9,70,0.215,0.136
1986-06-15T03:00,,31.7,62,0.213,0.136
1986-06-15T04:00,,32.6,57,0.211,0.136
1986-06-15T05:00,,33.3,54,0.209,0.136
1986-06-15T06:00,,34.3,51,0.206,0.136
1986-06-15T07:00,,33.7,54,0.205,0.136
1986-06-15T08:00,,34.1,51,0.204,0.136
1986-06-15T09:00,,34.0,51,0.203,0.136
1986-06-15T10:00,,33.8,52,0.201,0.136
1986-06-15T11:00,,32.6,57,0.202,0.136
1986-06-15T12:00,,32.0,60,0.202,0.136
1986-06-15T13:00,,31.4,63,0.202,0.136
1986-06-15T14:00,,30.8,66,0.201,0.136
1986-06-15T15:00,,30.0,70,0.201,0.136
1986-06-15T16:00,,28.9,74,0.202,0.136
1986-06-15T17:00,,28.3,75,0.202,0.137
1986-06-15T18:00,,27.6,77,0.201,0.137
1986-06-15T19:00,,26.4,87,0.201,0.137
1986-06-15T20:00,,26.3,87,0.201,0.137
1986-06-15T21:00,,26.3,85,0.202,0.137
1986-06-15T22:00,,25.9,87,0.212,0.137
1986-06-15T23:00,,25.4,89,0.227,0.137
