time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,26.9,90,0.229,0.133
1986-06-13T01:00,,26.3,93,0.281,0.134
1986-06-13T02:00,,26.2,92,0.288,0.134
1986-06-13T03:00,,27.0,88,0.29,0.135
1986-06-13T04:00,,28.0,82,0.288,0.135
1986-06-13T05:00,,29.3,76,0.289,0.136
1986-06-13T06:00,,28.3,81,0.381,0.136
1986-06-13T07:00,,30.0,74,0.37,0.141
1986-06-13T08:00,,32.0,67,0.358,0.144
1986-06-13T09:00,,32.7,63,0.349,0.147
1986-06-13T10:00,,32.8,61,0.342,0.148
1986-06-13T11:00,,32.5,62,0.336,0.15
1986-06-13T12:00,,30.2,72,0.338,0.151
1986-06-13T13:00,,28.5,82,0.354,0.152
1986-06-13T14:00,,27.2,87,0.356,0.154
1986-06-13T15:00,,26.7,89,0.35,0.156
1986-06-13T16:00,,26.6,90,0.345,0.158
1986-06-13T17:00,,26.5,91,0.34,0.16
1986-06-13T18:00,,26.4,92,0.336,0.161
1986-06-13T19:00,,26.7,89,0.333,0.162
1986-06-13T20:00,,26.6,90,0.329,0.163
1986-06-13T21:00,,26.5,91,0.327,0.164
1986-06-13T22:00,,26.4,92,0.324,0.165
1986-06-13T23:00,,26.1,91,0.334,0.166
1986-06-14T00:00,,26.1,91,0.366,0.168
1986-06-14T01:00,,26.1,91,0.384,0.17
1986-06-14T02:00,,26.4,90,0.388,0.175
1986-06-14T03:00,,26.3,90,0.412,0.18
1986-06-14T04:00,,27.1,86,0.386,0.19
1986-06-14T05:00,,29.0,79,0.373,0.194
1986-06-14T06:00,,30.3,75,0.364,0.196
1986-06-14T07:00,,33.4,56,0.355,0.198
1986-06-14T08:00,,33.1,58,0.349,0.199
1986-06-14T09:00,,32.1,65,0.389,0.201
1986-06-14T10:00,,31.7,67,0.38,0.205
1986-06-14T11:00,,30.2,71,0.383,0.208
1986-06-14T12:00,,30.1,72,0.373,0.211
1986-06-14T13:00,,29.5,76,0.366,0.213
1986-06-14T14:00,,28.8,79,0.36,0.215
1986-06-14T15:00,,28.3,82,0.355,0.217
1986-06-14T16:00,,28.0,83,0.351,0.218
1986-06-14T17:00,,27.7,83,0.347,0.219
1986-06-14T18:00,,27.4,84,0.344,0.22
1986-06-14T19:00,,27.6,83,0.341,0.221
1986-06-14T20:00,,27.3,85,0.338,0.222
1986-06-14T21:00,,27.0,87,0.335,0.223
1986-06-14T22:00,,26.7,89,0.333,0.224
1986-06-14T23:00,,26.5,90,0.331,0.224
1986-06-15T00:00,,26.7,89,0.329,0.225
1986-06-15T01:00,,27.3,85,0.326,0.226
1986-06-15T02:00,,28.5,79,0.324,0.226
1986-06-15T03:00,,29.3,77,0.321,0.226
1986-06-15T04:00,,30.3,74,0.319,0.227
1986-06-15T05:00,,31.3,67,0.316,0.227
1986-06-15T06:00,,32.7,61,0.312,0.227
1986-06-15T07:00,,32.8,61,0.316,0.226
1986-06-15T08:00,,33.4,57,0.314,0.227
1986-06-15T09:00,,32.5,59,0.313,0.227
1986-06-15T10:00,,32.6,60,0.31,0.227
1986-06-15T11:00,,31.8,63,0.308,0.227
1986-06-15T12:00,,29.8,74,0.34,0.227
1986-06-15T13:00,,28.7,80,0.348,0.228
1986-06-15T14:00,,28.2,83,0.35,0.229
1986-06-15T15:00,,27.9,84,0.347,0.23
1986-06-15T16:00,,27.8,84,0.344,0.231
1986-06-15T17:00,,27.5,85,0.341,0.232
1986-06-15T18:00,,27.3,85,0.339,0.233
1986-06-15T19:00,,26.7,93,0.337,0.234
1986-06-15T20:00,,26.5,92,0.34,0.234
1986-06-15T21:00,,26.3,91,0.345,0.235
1986-06-15T22:00,,25.9,94,0.347,0.236
1986-06-15T23:00,,25.9,92,0.351,0.237
