time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,28.3,83,0.204,0.151
1986-06-13T01:00,,28.5,83,0.206,0.151
1986-06-13T02:00,,29.2,79,0.207,0.151
1986-06-13T03:00,,29.6,77,0.208,0.151
1986-06-13T04:00,,30.3,73,0.212,0.151
1986-06-13T05:00,,31.5,68,0.212,0.151
1986-06-13T06:00,,30.8,72,0.258,0.151
1986-06-13T07:00,,33.0,62,0.257,0.152
1986-06-13T08:00,,33.9,58,0.254,0.152
1986-06-13T09:00,,34.4,56,0.251,0.152
1986-06-13T10:00,,33.8,58,0.25,0.152
1986-06-13T11:00,,32.3,65,0.254,0.152
1986-06-13T12:00,,30.6,73,0.264,0.152
1986-06-13T13:00,,28.9,83,0.281,0.152
1986-06-13T14:00,,27.8,88,0.286,0.153
1986-06-13T15:00,,27.3,88,0.285,0.153
1986-06-13T16:00,,27.3,88,0.284,0.153
1986-06-13T17:00,,27.2,88,0.284,0.154
1986-06-13T18:00,,27.2,88,0.283,0.154
1986-06-13T19:00,,27.0,88,0.282,0.154
1986-06-13T20:00,,26.9,89,0.281,0.154
1986-06-13T21:00,,26.9,89,0.28,0.155
1986-06-13T22:00,,26.7,90,0.279,0.155
1986-06-13T23:00,,26.6,91,0.28,0.155
1986-06-14T00:00,,26.4,92,0.294,0.156
1986-06-14T01:00,,26.5,91,0.339,0.156
1986-06-14T02:00,,27.1,87,0.351,0.157
1986-06-14T03:00,,27.6,85,0.347,0.158
1986-06-14T04:00,,28.3,83,0.347,0.16
1986-06-14T05:00,,29.1,82,0.345,0.161
1986-06-14T06:00,,30.2,79,0.341,0.162
1986-06-14T07:00,,32.5,65,0.335,0.163
1986-06-14T08:00,,33.2,62,0.329,0.164
1986-06-14T09:00,,32.3,63,0.333,0.164
1986-06-14T10:00,,31.1,68,0.334,0.165
1986-06-14T11:00,,30.7,69,0.331,0.166
1986-06-14T12:00,,30.4,71,0.328,0.167
1986-06-14T13:00,,29.8,74,0.326,0.168
1986-06-14T14:00,,29.2,77,0.323,0.168
1986-06-14T15:00,,28.7,80,0.321,0.169
1986-06-14T16:00,,28.5,81,0.319,0.17
1986-06-14T17:00,,28.1,82,0.317,0.17
1986-06-14T18:00,,27.8,83,0.316,0.171
1986-06-14T19:00,,27.7,83,0.314,0.171
1986-06-14T20:00,,27.3,85,0.312,0.172
1986-06-14T21:00,,27.0,88,0.311,0.172
1986-06-14T22:00,,26.8,89,0.309,0.173
1986-06-14T23:00,,26.7,90,0.308,0.173
1986-06-15T00:00,,26.8,90,0.306,0.174
1986-06-15T01:00,,27.6,85,0.305,0.174
1986-06-15T02:00,,28.7,80,0.303,0.174
1986-06-15T03:00,,29.6,78,0.3,0.175
1986-06-15T04:00,,30.7,75,0.297,0.175
1986-06-15T05:00,,32.0,66,0.293,0.175
1986-06-15T06:00,,33.1,59,0.289,0.175
1986-06-15T07:00,,33.2,61,0.288,0.175
1986-06-15T08:00,,33.1,61,0.29,0.175
1986-06-15T09:00,,33.3,60,0.289,0.175
1986-06-15T10:00,,33.2,60,0.286,0.176
1986-06-15T11:00,,32.5,61,0.285,0.176
1986-06-15T12:00,,31.3,68,0.286,0.176
1986-06-15T13:00,,29.8,75,0.291,0.176
1986-06-15T14:00,,28.9,79,0.293,0.176
1986-06-15T15:00,,28.5,81,0.293,0.177
1986-06-15T16:00,,28.2,82,0.292,0.177
1986-06-15T17:00,,27.9,83,0.291,0.177
1986-06-15T18:00,,27.6,84,0.29,0.178
1986-06-15T19:00,,26.9,91,0.289,0.178
1986-06-15T20:00,,26.8,91,0.289,0.178
1986-06-15T21:00,,26.6,89,0.295,0.178
1986-06-15T22:00,,25.9,92,0.325,0.179
1986-06-15T23:00,,25.7,92,0.362,0.18
