time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,26.9,94,0.305,0.232
1986-06-13T01:00,,27.0,90,0.367,0.232
1986-06-13T02:00,,26.8,89,0.451,0.233
1986-06-13T03:00,,26.8,89,0.441,0.237
1986-06-13T04:00,,27.1,88,0.434,0.24
1986-06-13T05:00,,27.9,86,0.435,0.242
1986-06-13T06:00,,28.8,85,0.433,0.244
1986-06-13T07:00,,32.0,68,0.425,0.246
1986-06-13T08:00,,32.6,66,0.419,0.247
1986-06-13T09:00,,32.8,65,0.413,0.248
1986-06-13T10:00,,33.0,63,0.409,0.249
1986-06-13T11:00,,32.6,63,0.405,0.25
1986-06-13T12:00,,30.3,73,0.408,0.251
1986-06-13T13:00,,28.6,82,0.412,0.252
1986-06-13T14:00,,27.8,86,0.41,0.253
1986-06-13T15:00,,27.5,87,0.407,0.254
1986-06-13T16:00,,27.5,88,0.405,0.254
1986-06-13T17:00,,27.4,90,0.402,0.255
1986-06-13T18:00,,27.4,90,0.4,0.256
1986-06-13T19:00,,27.6,87,0.398,0.256
1986-06-13T20:00,,27.6,88,0.396,0.257
1986-06-13T21:00,,27.3,89,0.395,0.258
1986-06-13T22:00,,27.2,89,0.393,0.258
1986-06-13T23:00,,27.0,90,0.393,0.259
1986-06-14T00:00,,27.0,90,0.394,0.259
1986-06-14T01:00,,27.8,86,0.393,0.26
1986-06-14T02:00,,28.7,82,0.393,0.26
1986-06-14T03:00,,29.6,80,0.391,0.261
1986-06-14T04:00,,30.7,71,0.39,0.261
1986-06-14T05:00,,31.5,68,0.389,0.261
1986-06-14T06:00,,32.6,64,0.387,0.262
1986-06-14T07:00,,33.9,56,0.383,0.262
1986-06-14T08:00,,33.5,56,0.38,0.262
1986-06-14T09:00,,33.1,58,0.381,0.262
1986-06-14T10:00,,31.8,63,0.381,0.262
1986-06-14T11:00,,31.3,67,0.38,0.263
1986-06-14T12:00,,30.9,69,0.379,0.263
1986-06-14T13:00,,30.2,72,0.378,0.263
1986-06-14T14:00,,29.5,75,0.377,0.264
1986-06-14T15:00,,29.1,77,0.376,0.264
1986-06-14T16:00,,28.8,78,0.375,0.264
1986-06-14T17:00,,28.5,79,0.374,0.264
1986-06-14T18:00,,28.3,80,0.373,0.265
1986-06-14T19:00,,28.3,80,0.372,0.265
1986-06-14T20:00,,27.9,83,0.371,0.265
1986-06-14T21:00,,27.7,84,0.37,0.265
1986-06-14T22:00,,27.2,87,0.37,0.266
1986-06-14T23:00,,26.9,89,0.369,0.266
1986-06-15T00:00,,26.8,90,0.368,0.266
1986-06-15T01:00,,27.6,85,0.367,0.266
1986-06-15T02:00,,28.5,82,0.366,0.266
1986-06-15T03:00,,29.7,78,0.364,0.267
1986-06-15T04:00,,31.3,68,0.362,0.266
1986-06-15T05:00,,32.0,63,0.359,0.266
1986-06-15T06:00,,32.5,62,0.357,0.266
1986-06-15T07:00,,33.5,59,0.354,0.266
1986-06-15T08:00,,33.7,57,0.35,0.266
1986-06-15T09:00,,33.8,55,0.347,0.266
1986-06-15T10:00,,33.2,57,0.347,0.266
1986-06-15T11:00,,31.0,67,0.347,0.266
1986-06-15T12:00,,31.0,67,0.347,0.266
1986-06-15T13:00,,30.7,68,0.346,0.266
1986-06-15T14:00,,30.4,69,0.345,0.266
1986-06-15T15:00,,29.9,71,0.345,0.266
1986-06-15T16:00,,29.4,74,0.344,0.266
1986-06-15T17:00,,28.8,77,0.344,0.266
1986-06-15T18:00,,28.4,80,0.343,0.266
1986-06-15T19:00,,27.5,87,0.343,0.266
1986-06-15T20:00,,27.2,88,0.343,0.266
1986-06-15T21:00,,26.8,88,0.348,0.267
1986-06-15T22:00,,26.3,91,0.348,0.267
1986-06-15T23:00,,26.2,92,0.348,0.267
