time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-10-16T00:00,,23.5,97,0.434,0.44
1985-10-16T01:00,,23.5,97,0.457,0.442
1985-10-16T02:00,,23.6,98,0.472,0.449
1985-10-16T03:00,,23.5,98,0.446,0.466
1985-10-16T04:00,,23.4,100,0.426,0.457
1985-10-16T05:00,,23.5,99,0.448,0.46
1985-10-16T06:00,,23.6,99,0.457,0.457
1985-10-16T07:00,,23.7,98,0.473,0.46
1985-10-16T08:00,,24.1,97,0.458,0.473
1985-10-16T09:00,,24.3,97,0.435,0.463
1985-10-16T10:00,,24.2,97,0.447,0.461
1985-10-16T11:00,,24.0,97,0.457,0.462
1985-10-16T12:00,,23.9,97,0.472,0.461
1985-10-16T13:00,,23.7,98,0.473,0.467
1985-10-16T14:00,,23.7,98,0.458,0.473
1985-10-16T15:00,,23.7,98,0.432,0.461
1985-10-16T16:00,,24.0,97,0.439,0.461
1985-10-16T17:00,,24.0,96,0.444,0.46
1985-10-16T18:00,,24.0,95,0.445,0.46
1985-10-16T19:00,,23.7,96,0.449,0.459
1985-10-16T20:00,,23.6,95,0.454,0.459
1985-10-16T21:00,,23.5,94,0.457,0.459
1985-10-16T22:00,,23.5,93,0.462,0.459
1985-10-16T23:00,,23.6,92,0.466,0.459
1985-10-17T00:00,,23.6,92,0.469,0.46
1985-10-17T01:00,,23.7,91,0.466,0.46
1985-10-17T02:00,,24.0,89,0.463,0.46
1985-10-17T03:00,,24.4,87,0.461,0.459
1985-10-17T04:00,,24.8,86,0.459,0.459
1985-10-17T05:00,,25.7,82,0.458,0.458
1985-10-17T06:00,,26.0,81,0.457,0.458
1985-10-17T07:00,,25.8,83,0.458,0.457
1985-10-17T08:00,,25.4,84,0.46,0.457
1985-10-17T09:00,,25.4,85,0.461,0.457
1985-10-17T10:00,,25.0,86,0.464,0.457
1985-10-17T11:00,,24.8,87,0.465,0.458
1985-10-17T12:00,,24.1,88,0.463,0.458
1985-10-17T13:00,,23.8,90,0.461,0.458
1985-10-17T14:00,,23.6,90,0.459,0.458
1985-10-17T15:00,,23.4,91,0.458,0.458
1985-10-17T16:00,,23.1,92,0.456,0.458
1985-10-17T17:00,,22.9,93,0.455,0.457
1985-10-17T18:00,,22.5,94,0.454,0.457
1985-10-17T19:00,,22.2,94,0.453,0.457
1985-10-17T20:00,,21.9,94,0.452,0.456
1985-10-17T21:00,,21.7,94,0.452,0.456
1985-10-17T22:00,,21.4,95,0.451,0.456
1985-10-17T23:00,,21.0,95,0.45,0.455
1985-10-18T00:00,,20.5,96,0.45,0.455
1985-10-18T01:00,,20.7,96,0.449,0.455
1985-10-18T02:00,,22.8,91,0.448,0.454
1985-10-18T03:00,,24.6,81,0.448,0.454
1985-10-18T04:00,,26.4,63,0.445,0.453
1985-10-18T05:00,,27.6,51,0.442,0.452
1985-10-18T06:00,,28.4,46,0.439,0.45
1985-10-18T07:00,,28.9,42,0.435,0.449
1985-10-18T08:00,,29.2,40,0.432,0.448
1985-10-18T09:00,,29.2,40,0.43,0.447
1985-10-18T10:00,,28.8,42,0.428,0.446
1985-10-18T11:00,,27.2,61,0.428,0.445
1985-10-18T12:00,,25.4,68,0.428,0.444
1985-10-18T13:00,,24.3,66,0.428,0.444
1985-10-18T14:00,,23.3,67,0.429,0.444
1985-10-18T15:00,,22.0,72,0.429,0.443
1985-10-18T16:00,,20.6,77,0.429,0.443
1985-10-18T17:00,,19.7,80,0.429,0.442
1985-10-18T18:00,,19.1,80,0.429,0.442
1985-10-18T19:00,,18.7,82,0.43,0.442
1985-10-18T20:00,,18.2,83,0.43,0.442
1985-10-18T21:00,,17.8,84,0.43,0.441
1985-10-18T22:00,,17.3,86,0.43,0.441
1985-10-18T23:00,,16.9,87,0.43,0.441
