time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,28.1,88,0.161,0.204
1986-06-13T01:00,,29.0,83,0.161,0.204
1986-06-13T02:00,,30.3,75,0.161,0.204
1986-06-13T03:00,,31.9,67,0.161,0.204
1986-06-13T04:00,,33.3,61,0.16,0.204
1986-06-13T05:00,,34.8,55,0.16,0.204
1986-06-13T06:00,,35.9,51,0.16,0.204
1986-06-13T07:00,,36.3,48,0.161,0.204
1986-06-13T08:00,,36.8,45,0.161,0.204
1986-06-13T09:00,,36.5,46,0.162,0.204
1986-06-13T10:00,,35.7,48,0.163,0.204
1986-06-13T11:00,,34.9,51,0.164,0.204
1986-06-13T12:00,,31.6,66,0.188,0.204
1986-06-13T13:00,,29.6,76,0.224,0.204
1986-06-13T14:00,,28.9,79,0.224,0.204
1986-06-13T15:00,,29.2,78,0.224,0.204
1986-06-13T16:00,,29.3,78,0.224,0.204
1986-06-13T17:00,,29.1,79,0.224,0.204
1986-06-13T18:00,,28.8,81,0.224,0.204
1986-06-13T19:00,,28.7,82,0.224,0.204
1986-06-13T20:00,,28.4,85,0.224,0.204
1986-06-13T21:00,,28.2,87,0.224,0.204
1986-06-13T22:00,,28.0,88,0.224,0.204
1986-06-13T23:00,,28.0,89,0.224,0.204
1986-06-14T00:00,,27.9,89,0.224,0.204
1986-06-14T01:00,,28.8,85,0.223,0.204
1986-06-14T02:00,,29.6,80,0.224,0.204
1986-06-14T03:00,,30.5,76,0.227,0.204
1986-06-14T04:00,,31.5,70,0.226,0.204
1986-06-14T05:00,,32.8,62,0.226,0.204
1986-06-14T06:00,,32.5,63,0.229,0.204
1986-06-14T07:00,,31.6,66,0.234,0.204
1986-06-14T08:00,,31.1,69,0.235,0.204
1986-06-14T09:00,,31.6,66,0.234,0.204
1986-06-14T10:00,,32.0,64,0.233,0.204
1986-06-14T11:00,,32.1,64,0.232,0.204
1986-06-14T12:00,,31.7,65,0.231,0.204
1986-06-14T13:00,,31.1,68,0.231,0.204
1986-06-14T14:00,,30.4,71,0.23,0.204
1986-06-14T15:00,,29.8,74,0.23,0.204
1986-06-14T16:00,,29.3,77,0.23,0.204
1986-06-14T17:00,,28.8,80,0.23,0.204
1986-06-14T18:00,,28.4,83,0.23,0.204
1986-06-14T19:00,,28.0,86,0.229,0.204
1986-06-14T20:00,,27.7,88,0.229,0.204
1986-06-14T21:00,,27.5,89,0.229,0.204
1986-06-14T22:00,,27.4,90,0.229,0.204
1986-06-14T23:00,,27.2,91,0.229,0.204
1986-06-15T00:00,,27.1,92,0.229,0.204
1986-06-15T01:00,,28.0,87,0.229,0.204
1986-06-15T02:00,,29.2,81,0.228,0.204
1986-06-15T03:00,,30.6,75,0.228,0.204
1986-06-15T04:00,,31.9,70,0.226,0.204
1986-06-15T05:00,,33.1,62,0.225,0.204
1986-06-15T06:00,,33.9,57,0.224,0.204
1986-06-15T07:00,,33.5,61,0.223,0.204
1986-06-15T08:00,,34.2,58,0.221,0.204
1986-06-15T09:00,,34.1,57,0.22,0.204
1986-06-15T10:00,,33.6,57,0.222,0.204
1986-06-15T11:00,,31.9,64,0.222,0.204
1986-06-15T12:00,,31.3,67,0.221,0.204
1986-06-15T13:00,,30.2,71,0.227,0.204
1986-06-15T14:00,,29.3,75,0.227,0.204
1986-06-15T15:00,,28.8,77,0.226,0.204
1986-06-15T16:00,,28.3,79,0.226,0.204
1986-06-15T17:00,,27.9,80,0.226,0.204
1986-06-15T18:00,,27.4,82,0.226,0.204
1986-06-15T19:00,,27.5,88,0.226,0.204
1986-06-15T20:00,,27.3,89,0.226,0.204
1986-06-15T21:00,,27.2,89,0.226,0.204
1986-06-15T22:00,,27.0,90,0.226,0.204
1986-06-15T23:00,,27.0,90,0.226,0.204
