time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,28.7,71,0.127,0.148
1986-06-13T01:00,,29.9,67,0.127,0.148
1986-06-13T02:00,,31.7,59,0.127,0.148
1986-06-13T03:00,,33.7,52,0.127,0.148
1986-06-13T04:00,,35.6,46,0.127,0.148
1986-06-13T05:00,,37.1,42,0.127,0.148
1986-06-13T06:00,,37.8,41,0.127,0.148
1986-06-13T07:00,,38.7,37,0.127,0.148
1986-06-13T08:00,,39.2,35,0.127,0.148
1986-06-13T09:00,,35.5,47,0.133,0.148
1986-06-13T10:00,,33.1,57,0.136,0.148
1986-06-13T11:00,,33.9,53,0.136,0.148
1986-06-13T12:00,,34.2,52,0.136,0.148
1986-06-13T13:00,,33.6,54,0.136,0.148
1986-06-13T14:00,,33.1,56,0.136,0.148
1986-06-13T15:00,,32.7,58,0.136,0.148
1986-06-13T16:00,,32.0,61,0.136,0.148
1986-06-13T17:00,,31.8,61,0.136,0.148
1986-06-13T18:00,,31.4,62,0.136,0.148
1986-06-13T19:00,,29.3,77,0.136,0.148
1986-06-13T20:00,,28.9,80,0.136,0.148
1986-06-13T21:00,,28.5,82,0.136,0.148
1986-06-13T22:00,,28.3,83,0.136,0.148
1986-06-13T23:00,,28.1,84,0.136,0.148
1986-06-14T00:00,,27.7,86,0.136,0.148
1986-06-14T01:00,,29.0,80,0.136,0.148
1986-06-14T02:00,,30.9,69,0.136,0.148
1986-06-14T03:00,,32.7,60,0.136,0.148
1986-06-14T04:00,,34.4,52,0.135,0.148
1986-06-14T05:00,,36.1,47,0.135,0.148
1986-06-14T06:00,,37.4,42,0.135,0.148
1986-06-14T07:00,,37.8,38,0.134,0.148
1986-06-14T08:00,,38.1,37,0.134,0.148
1986-06-14T09:00,,37.7,38,0.133,0.148
1986-06-14T10:00,,35.7,44,0.138,0.148
1986-06-14T11:00,,34.4,48,0.139,0.148
1986-06-14T12:00,,34.3,49,0.139,0.148
1986-06-14T13:00,,33.9,50,0.139,0.148
1986-06-14T14:00,,33.2,52,0.138,0.148
1986-06-14T15:00,,32.4,58,0.138,0.148
1986-06-14T16:00,,31.9,59,0.138,0.148
1986-06-14T17:00,,31.6,59,0.138,0.148
1986-06-14T18:00,,31.2,61,0.138,0.148
1986-06-14T19:00,,29.9,61,0.138,0.148
1986-06-14T20:00,,29.5,64,0.138,0.148
1986-06-14T21:00,,28.8,68,0.138,0.148
1986-06-14T22:00,,28.6,69,0.138,0.148
1986-06-14T23:00,,28.8,68,0.138,0.148
1986-06-15T00:00,,28.6,69,0.138,0.148
1986-06-15T01:00,,29.4,67,0.138,0.148
1986-06-15T02:00,,31.5,58,0.138,0.148
1986-06-15T03:00,,33.5,51,0.137,0.148
1986-06-15T04:00,,34.8,47,0.137,0.148
1986-06-15T05:00,,35.8,44,0.137,0.148
1986-06-15T06:00,,37.0,41,0.136,0.148
1986-06-15T07:00,,36.3,45,0.136,0.148
1986-06-15T08:00,,36.5,43,0.135,0.148
1986-06-15T09:00,,36.1,44,0.135,0.148
1986-06-15T10:00,,36.6,43,0.135,0.148
1986-06-15T11:00,,36.3,43,0.135,0.148
1986-06-15T12:00,,34.9,47,0.141,0.148
1986-06-15T13:00,,34.5,48,0.141,0.148
1986-06-15T14:00,,33.7,52,0.141,0.148
1986-06-15T15:00,,32.5,56,0.141,0.148
1986-06-15T16:00,,31.0,63,0.142,0.148
1986-06-15T17:00,,30.2,67,0.142,0.148
1986-06-15T18:00,,29.8,69,0.142,0.148
1986-06-15T19:00,,28.2,76,0.142,0.148
1986-06-15T20:00,,28.3,75,0.141,0.148
1986-06-15T21:00,,28.1,75,0.144,0.148
1986-06-15T22:00,,27.5,78,0.156,0.148
1986-06-15T23:00,,26.7,87,0.16,0.148
