time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,27.6,85,0.128,0.134
1986-06-13T01:00,,27.4,86,0.14,0.134
1986-06-13T02:00,,26.7,93,0.168,0.134
1986-06-13T03:00,,26.0,94,0.232,0.134
1986-06-13T04:00,,25.9,92,0.288,0.134
1986-06-13T05:00,,27.1,84,0.29,0.134
1986-06-13T06:00,,26.8,88,0.309,0.135
1986-06-13T07:00,,28.7,77,0.336,0.136
1986-06-13T08:00,,31.3,67,0.329,0.137
1986-06-13T09:00,,32.3,62,0.323,0.138
1986-06-13T10:00,,32.8,60,0.318,0.139
1986-06-13T11:00,,32.8,59,0.313,0.14
1986-06-13T12:00,,31.2,65,0.312,0.141
1986-06-13T13:00,,29.0,75,0.314,0.142
1986-06-13T14:00,,27.4,84,0.316,0.142
1986-06-13T15:00,,26.7,87,0.313,0.143
1986-06-13T16:00,,26.5,89,0.311,0.144
1986-06-13T17:00,,26.3,90,0.309,0.145
1986-06-13T18:00,,26.2,90,0.307,0.145
1986-06-13T19:00,,26.2,87,0.305,0.146
1986-06-13T20:00,,26.0,88,0.305,0.147
1986-06-13T21:00,,25.5,91,0.317,0.147
1986-06-13T22:00,,25.2,94,0.325,0.148
1986-06-13T23:00,,24.9,95,0.346,0.149
1986-06-14T00:00,,24.8,96,0.372,0.151
1986-06-14T01:00,,25.1,93,0.379,0.155
1986-06-14T02:00,,25.9,89,0.373,0.159
1986-06-14T03:00,,26.8,84,0.364,0.162
1986-06-14T04:00,,28.0,79,0.356,0.164
1986-06-14T05:00,,29.2,76,0.349,0.166
1986-06-14T06:00,,30.0,74,0.343,0.167
1986-06-14T07:00,,32.4,61,0.336,0.169
1986-06-14T08:00,,33.0,59,0.331,0.169
1986-06-14T09:00,,32.9,58,0.327,0.17
1986-06-14T10:00,,32.9,58,0.323,0.171
1986-06-14T11:00,,31.9,61,0.321,0.172
1986-06-14T12:00,,30.7,66,0.318,0.173
1986-06-14T13:00,,29.6,71,0.316,0.173
1986-06-14T14:00,,28.8,76,0.314,0.174
1986-06-14T15:00,,28.1,80,0.312,0.175
1986-06-14T16:00,,27.8,82,0.31,0.175
1986-06-14T17:00,,27.5,84,0.308,0.176
1986-06-14T18:00,,27.2,85,0.306,0.176
1986-06-14T19:00,,27.2,84,0.305,0.177
1986-06-14T20:00,,26.9,85,0.303,0.177
1986-06-14T21:00,,26.5,88,0.302,0.178
1986-06-14T22:00,,26.2,90,0.3,0.178
1986-06-14T23:00,,25.9,91,0.299,0.179
1986-06-15T00:00,,25.9,92,0.298,0.179
1986-06-15T01:00,,27.0,86,0.296,0.179
1986-06-15T02:00,,28.4,78,0.294,0.18
1986-06-15T03:00,,29.5,73,0.292,0.18
1986-06-15T04:00,,30.7,70,0.291,0.18
1986-06-15T05:00,,31.8,64,0.288,0.18
1986-06-15T06:00,,33.2,57,0.285,0.18
1986-06-15T07:00,,32.7,61,0.289,0.18
1986-06-15T08:00,,31.5,68,0.306,0.181
1986-06-15T09:00,,30.4,72,0.322,0.181
1986-06-15T10:00,,30.0,73,0.327,0.182
1986-06-15T11:00,,29.7,74,0.328,0.183
1986-06-15T12:00,,29.2,78,0.33,0.184
1986-06-15T13:00,,28.4,85,0.333,0.185
1986-06-15T14:00,,27.6,87,0.333,0.186
1986-06-15T15:00,,27.3,86,0.33,0.187
1986-06-15T16:00,,27.2,85,0.328,0.187
1986-06-15T17:00,,27.1,86,0.325,0.188
1986-06-15T18:00,,26.9,87,0.323,0.189
1986-06-15T19:00,,25.7,94,0.322,0.19
1986-06-15T20:00,,25.7,95,0.323,0.19
1986-06-15T21:00,,25.6,94,0.333,0.191
1986-06-15T22:00,,25.4,94,0.355,0.192
1986-06-15T23:00,,25.0,96,0.381,0.194
