time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,25.5,99,0.431,0.155
1986-06-13T01:00,,25.3,99,0.341,0.196
1986-06-13T02:00,,25.3,96,0.34,0.199
1986-06-13T03:00,,25.3,99,0.373,0.201
1986-06-13T04:00,,25.3,99,0.408,0.205
1986-06-13T05:00,,25.7,98,0.422,0.213
1986-06-13T06:00,,26.1,96,0.419,0.222
1986-06-13T07:00,,32.1,68,0.394,0.229
1986-06-13T08:00,,33.0,66,0.383,0.231
1986-06-13T09:00,,33.1,64,0.375,0.232
1986-06-13T10:00,,32.4,68,0.371,0.233
1986-06-13T11:00,,31.7,70,0.371,0.235
1986-06-13T12:00,,30.8,74,0.366,0.236
1986-06-13T13:00,,29.9,77,0.363,0.237
1986-06-13T14:00,,29.4,78,0.359,0.238
1986-06-13T15:00,,29.1,79,0.356,0.239
1986-06-13T16:00,,28.8,80,0.353,0.24
1986-06-13T17:00,,28.5,82,0.351,0.241
1986-06-13T18:00,,28.2,84,0.348,0.241
1986-06-13T19:00,,27.8,87,0.346,0.242
1986-06-13T20:00,,27.8,88,0.344,0.243
1986-06-13T21:00,,27.3,89,0.353,0.243
1986-06-13T22:00,,25.8,93,0.411,0.244
1986-06-13T23:00,,25.2,94,0.418,0.25
1986-06-14T00:00,,25.3,95,0.404,0.255
1986-06-14T01:00,,26.0,94,0.395,0.258
1986-06-14T02:00,,26.9,91,0.392,0.261
1986-06-14T03:00,,27.8,88,0.388,0.263
1986-06-14T04:00,,28.6,87,0.384,0.264
1986-06-14T05:00,,30.4,76,0.379,0.266
1986-06-14T06:00,,30.4,78,0.404,0.267
1986-06-14T07:00,,33.1,61,0.391,0.27
1986-06-14T08:00,,33.4,59,0.383,0.271
1986-06-14T09:00,,31.1,71,0.418,0.272
1986-06-14T10:00,,31.9,67,0.403,0.277
1986-06-14T11:00,,32.0,66,0.394,0.28
1986-06-14T12:00,,31.0,71,0.391,0.281
1986-06-14T13:00,,30.3,74,0.385,0.283
1986-06-14T14:00,,29.7,76,0.381,0.284
1986-06-14T15:00,,29.2,78,0.377,0.285
1986-06-14T16:00,,28.9,79,0.374,0.286
1986-06-14T17:00,,28.5,80,0.371,0.287
1986-06-14T18:00,,28.4,81,0.368,0.288
1986-06-14T19:00,,28.3,81,0.366,0.289
1986-06-14T20:00,,28.1,82,0.363,0.289
1986-06-14T21:00,,28.0,83,0.361,0.29
1986-06-14T22:00,,27.7,84,0.359,0.29
1986-06-14T23:00,,27.1,87,0.359,0.291
1986-06-15T00:00,,26.6,90,0.36,0.291
1986-06-15T01:00,,26.7,90,0.36,0.292
1986-06-15T02:00,,26.8,90,0.359,0.292
1986-06-15T03:00,,27.7,87,0.357,0.293
1986-06-15T04:00,,29.4,81,0.354,0.293
1986-06-15T05:00,,30.8,75,0.35,0.292
1986-06-15T06:00,,32.1,70,0.346,0.292
1986-06-15T07:00,,32.9,65,0.341,0.291
1986-06-15T08:00,,33.5,61,0.337,0.29
1986-06-15T09:00,,33.1,62,0.334,0.289
1986-06-15T10:00,,32.6,64,0.332,0.289
1986-06-15T11:00,,31.9,65,0.33,0.289
1986-06-15T12:00,,30.7,70,0.33,0.289
1986-06-15T13:00,,30.2,72,0.329,0.289
1986-06-15T14:00,,29.8,73,0.328,0.289
1986-06-15T15:00,,29.6,74,0.327,0.289
1986-06-15T16:00,,29.4,75,0.327,0.289
1986-06-15T17:00,,29.1,77,0.328,0.289
1986-06-15T18:00,,28.6,79,0.328,0.289
1986-06-15T19:00,,26.8,89,0.368,0.289
1986-06-15T20:00,,26.2,92,0.375,0.29
1986-06-15T21:00,,26.4,91,0.372,0.291
1986-06-15T22:00,,26.3,92,0.373,0.292
1986-06-15T23:00,,25.9,94,0.376,0.293
