time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,24.7,75,0.125,0.142
1986-06-13T01:00,,26.6,69,0.125,0.142
1986-06-13T02:00,,28.8,63,0.125,0.142
1986-06-13T03:00,,31.0,56,0.125,0.142
1986-06-13T04:00,,33.0,49,0.125,0.142
1986-06-13T05:00,,34.8,42,0.125,0.142
1986-06-13T06:00,,34.5,43,0.134,0.142
1986-06-13T07:00,,36.5,34,0.134,0.142
1986-06-13T08:00,,36.0,35,0.134,0.141
1986-06-13T09:00,,32.3,50,0.158,0.141
1986-06-13T10:00,,32.1,52,0.16,0.141
1986-06-13T11:00,,31.7,53,0.159,0.141
1986-06-13T12:00,,30.8,56,0.16,0.141
1986-06-13T13:00,,30.4,57,0.16,0.141
1986-06-13T14:00,,29.5,61,0.16,0.141
1986-06-13T15:00,,28.6,66,0.159,0.141
1986-06-13T16:00,,27.8,71,0.159,0.141
1986-06-13T17:00,,27.0,75,0.159,0.141
1986-06-13T18:00,,26.4,79,0.159,0.141
1986-06-13T19:00,,26.1,81,0.159,0.141
1986-06-13T20:00,,25.7,84,0.159,0.141
1986-06-13T21:00,,25.2,86,0.159,0.141
1986-06-13T22:00,,25.0,87,0.159,0.141
1986-06-13T23:00,,24.6,89,0.159,0.141
1986-06-14T00:00,,24.3,91,0.159,0.141
1986-06-14T01:00,,25.8,83,0.159,0.141
1986-06-14T02:00,,27.7,73,0.159,0.141
1986-06-14T03:00,,29.8,65,0.158,0.141
1986-06-14T04:00,,31.6,57,0.157,0.141
1986-06-14T05:00,,32.9,52,0.156,0.141
1986-06-14T06:00,,33.9,48,0.155,0.141
1986-06-14T07:00,,34.3,44,0.154,0.141
1986-06-14T08:00,,34.9,42,0.153,0.141
1986-06-14T09:00,,35.0,39,0.152,0.141
1986-06-14T10:00,,34.4,38,0.151,0.141
1986-06-14T11:00,,33.6,41,0.151,0.141
1986-06-14T12:00,,32.6,46,0.151,0.141
1986-06-14T13:00,,31.2,54,0.15,0.141
1986-06-14T14:00,,30.2,59,0.15,0.141
1986-06-14T15:00,,29.1,65,0.15,0.141
1986-06-14T16:00,,28.3,71,0.15,0.141
1986-06-14T17:00,,27.5,76,0.15,0.141
1986-06-14T18:00,,27.0,79,0.15,0.141
1986-06-14T19:00,,26.6,78,0.15,0.141
1986-06-14T20:00,,26.1,81,0.15,0.141
1986-06-14T21:00,,25.7,84,0.15,0.141
1986-06-14T22:00,,25.4,86,0.15,0.141
1986-06-14T23:00,,25.1,88,0.15,0.141
1986-06-15T00:00,,24.8,90,0.15,0.141
1986-06-15T01:00,,26.0,85,0.15,0.141
1986-06-15T02:00,,27.7,77,0.15,0.141
1986-06-15T03:00,,29.7,67,0.149,0.141
1986-06-15T04:00,,31.3,60,0.149,0.141
1986-06-15T05:00,,31.9,57,0.149,0.141
1986-06-15T06:00,,33.5,49,0.148,0.141
1986-06-15T07:00,,30.2,66,0.189,0.141
1986-06-15T08:00,,30.3,66,0.206,0.141
1986-06-15T09:00,,31.4,61,0.205,0.141
1986-06-15T10:00,,32.0,57,0.203,0.141
1986-06-15T11:00,,32.0,57,0.202,0.141
1986-06-15T12:00,,31.3,59,0.201,0.141
1986-06-15T13:00,,29.7,68,0.202,0.141
1986-06-15T14:00,,26.8,82,0.233,0.141
1986-06-15T15:00,,24.2,91,0.28,0.141
1986-06-15T16:00,,23.8,93,0.28,0.142
1986-06-15T17:00,,23.8,93,0.279,0.142
1986-06-15T18:00,,23.7,94,0.278,0.142
1986-06-15T19:00,,24.1,94,0.277,0.143
1986-06-15T20:00,,24.2,93,0.282,0.143
1986-06-15T21:00,,24.2,93,0.282,0.143
1986-06-15T22:00,,24.1,93,0.281,0.144
1986-06-15T23:00,,23.9,93,0.31,0.144
