time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,26.0,91,0.132,0.138
1986-06-13T01:00,,27.1,86,0.132,0.138
1986-06-13T02:00,,28.3,78,0.132,0.138
1986-06-13T03:00,,29.6,71,0.134,0.138
1986-06-13T04:00,,29.9,69,0.136,0.138
1986-06-13T05:00,,29.8,70,0.14,0.138
1986-06-13T06:00,,29.3,73,0.141,0.138
1986-06-13T07:00,,30.7,66,0.189,0.138
1986-06-13T08:00,,29.9,71,0.24,0.138
1986-06-13T09:00,,30.4,68,0.241,0.138
1986-06-13T10:00,,31.1,65,0.24,0.138
1986-06-13T11:00,,31.4,63,0.238,0.138
1986-06-13T12:00,,31.1,65,0.237,0.139
1986-06-13T13:00,,30.4,68,0.236,0.139
1986-06-13T14:00,,29.4,72,0.236,0.139
1986-06-13T15:00,,28.5,76,0.235,0.139
1986-06-13T16:00,,27.5,80,0.235,0.139
1986-06-13T17:00,,27.0,82,0.234,0.139
1986-06-13T18:00,,26.6,83,0.234,0.139
1986-06-13T19:00,,26.0,87,0.234,0.139
1986-06-13T20:00,,25.6,88,0.237,0.139
1986-06-13T21:00,,25.2,90,0.249,0.14
1986-06-13T22:00,,24.4,94,0.268,0.14
1986-06-13T23:00,,24.2,95,0.285,0.14
1986-06-14T00:00,,24.0,96,0.306,0.14
1986-06-14T01:00,,24.3,95,0.321,0.141
1986-06-14T02:00,,25.7,87,0.32,0.142
1986-06-14T03:00,,27.5,80,0.317,0.143
1986-06-14T04:00,,29.4,71,0.313,0.144
1986-06-14T05:00,,30.2,69,0.312,0.144
1986-06-14T06:00,,30.3,71,0.312,0.145
1986-06-14T07:00,,30.7,69,0.309,0.146
1986-06-14T08:00,,31.4,66,0.305,0.146
1986-06-14T09:00,,31.8,61,0.302,0.147
1986-06-14T10:00,,31.3,62,0.3,0.147
1986-06-14T11:00,,29.4,72,0.306,0.148
1986-06-14T12:00,,29.5,71,0.304,0.149
1986-06-14T13:00,,28.6,75,0.302,0.149
1986-06-14T14:00,,27.7,78,0.3,0.15
1986-06-14T15:00,,27.1,80,0.298,0.15
1986-06-14T16:00,,26.7,82,0.296,0.151
1986-06-14T17:00,,26.5,84,0.295,0.151
1986-06-14T18:00,,26.3,85,0.293,0.152
1986-06-14T19:00,,26.1,86,0.292,0.152
1986-06-14T20:00,,25.8,88,0.291,0.153
1986-06-14T21:00,,25.5,89,0.289,0.153
1986-06-14T22:00,,25.3,90,0.288,0.153
1986-06-14T23:00,,25.0,91,0.287,0.154
1986-06-15T00:00,,24.9,92,0.286,0.154
1986-06-15T01:00,,25.9,88,0.284,0.155
1986-06-15T02:00,,27.5,81,0.283,0.155
1986-06-15T03:00,,29.2,73,0.28,0.155
1986-06-15T04:00,,30.4,67,0.277,0.155
1986-06-15T05:00,,31.1,65,0.275,0.155
1986-06-15T06:00,,31.5,64,0.275,0.155
1986-06-15T07:00,,31.5,62,0.277,0.156
1986-06-15T08:00,,30.6,68,0.29,0.156
1986-06-15T09:00,,30.0,71,0.296,0.156
1986-06-15T10:00,,29.2,74,0.299,0.157
1986-06-15T11:00,,28.9,76,0.298,0.157
1986-06-15T12:00,,28.4,78,0.296,0.158
1986-06-15T13:00,,27.8,81,0.295,0.158
1986-06-15T14:00,,27.3,82,0.293,0.159
1986-06-15T15:00,,26.9,83,0.292,0.159
1986-06-15T16:00,,26.6,83,0.291,0.159
1986-06-15T17:00,,26.3,84,0.29,0.16
1986-06-15T18:00,,25.9,85,0.288,0.16
1986-06-15T19:00,,25.0,94,0.287,0.16
1986-06-15T20:00,,24.9,94,0.286,0.161
1986-06-15T21:00,,24.7,94,0.287,0.161
1986-06-15T22:00,,24.2,96,0.315,0.162
1986-06-15T23:00,,23.9,96,0.334,0.162
