time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,27.2,90,0.281,0.134
1986-06-13T01:00,,26.5,95,0.345,0.135
1986-06-13T02:00,,26.8,90,0.338,0.138
1986-06-13T03:00,,27.8,85,0.332,0.139
1986-06-13T04:00,,28.8,80,0.328,0.141
1986-06-13T05:00,,30.1,74,0.327,0.142
1986-06-13T06:00,,30.4,74,0.329,0.144
1986-06-13T07:00,,31.8,67,0.323,0.145
1986-06-13T08:00,,33.3,61,0.317,0.146
1986-06-13T09:00,,33.6,59,0.311,0.146
1986-06-13T10:00,,33.4,60,0.307,0.147
1986-06-13T11:00,,32.9,62,0.304,0.148
1986-06-13T12:00,,30.1,75,0.307,0.148
1986-06-13T13:00,,28.0,86,0.348,0.149
1986-06-13T14:00,,27.1,89,0.369,0.151
1986-06-13T15:00,,27.0,90,0.36,0.154
1986-06-13T16:00,,27.0,91,0.353,0.156
1986-06-13T17:00,,27.0,92,0.347,0.158
1986-06-13T18:00,,27.0,92,0.342,0.16
1986-06-13T19:00,,27.2,90,0.338,0.161
1986-06-13T20:00,,27.0,90,0.334,0.163
1986-06-13T21:00,,27.0,91,0.331,0.164
1986-06-13T22:00,,26.8,91,0.328,0.165
1986-06-13T23:00,,26.8,92,0.325,0.166
1986-06-14T00:00,,26.9,92,0.324,0.167
1986-06-14T01:00,,27.4,86,0.334,0.168
1986-06-14T02:00,,27.1,86,0.362,0.169
1986-06-14T03:00,,27.6,84,0.359,0.171
1986-06-14T04:00,,28.8,80,0.354,0.173
1986-06-14T05:00,,29.9,78,0.349,0.175
1986-06-14T06:00,,30.8,74,0.354,0.176
1986-06-14T07:00,,33.5,58,0.346,0.178
1986-06-14T08:00,,33.0,62,0.341,0.179
1986-06-14T09:00,,31.7,69,0.352,0.18
1986-06-14T10:00,,31.2,70,0.347,0.182
1986-06-14T11:00,,31.0,72,0.343,0.183
1986-06-14T12:00,,30.3,74,0.344,0.184
1986-06-14T13:00,,29.5,78,0.34,0.185
1986-06-14T14:00,,28.9,81,0.336,0.187
1986-06-14T15:00,,28.4,82,0.333,0.188
1986-06-14T16:00,,28.2,82,0.33,0.188
1986-06-14T17:00,,27.9,83,0.327,0.189
1986-06-14T18:00,,27.6,84,0.325,0.19
1986-06-14T19:00,,27.9,83,0.322,0.191
1986-06-14T20:00,,27.6,85,0.32,0.192
1986-06-14T21:00,,27.2,87,0.318,0.192
1986-06-14T22:00,,27.0,88,0.316,0.193
1986-06-14T23:00,,26.9,89,0.314,0.193
1986-06-15T00:00,,27.0,89,0.313,0.194
1986-06-15T01:00,,27.7,85,0.311,0.194
1986-06-15T02:00,,28.7,81,0.308,0.195
1986-06-15T03:00,,29.6,78,0.306,0.195
1986-06-15T04:00,,31.0,71,0.302,0.195
1986-06-15T05:00,,32.0,65,0.299,0.195
1986-06-15T06:00,,32.9,61,0.296,0.195
1986-06-15T07:00,,33.6,58,0.292,0.195
1986-06-15T08:00,,33.8,58,0.288,0.195
1986-06-15T09:00,,33.7,57,0.285,0.195
1986-06-15T10:00,,33.3,58,0.282,0.195
1986-06-15T11:00,,31.7,65,0.288,0.195
1986-06-15T12:00,,30.8,70,0.29,0.195
1986-06-15T13:00,,30.0,73,0.29,0.195
1986-06-15T14:00,,29.5,75,0.29,0.195
1986-06-15T15:00,,29.1,77,0.29,0.196
1986-06-15T16:00,,28.7,79,0.289,0.196
1986-06-15T17:00,,28.3,81,0.288,0.196
1986-06-15T18:00,,27.9,82,0.287,0.196
1986-06-15T19:00,,27.2,89,0.286,0.197
1986-06-15T20:00,,27.1,89,0.286,0.197
1986-06-15T21:00,,26.9,89,0.286,0.197
1986-06-15T22:00,,26.7,90,0.286,0.197
1986-06-15T23:00,,26.6,90,0.286,0.198
