time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,26.1,83,0.123,0.139
1986-06-13T01:00,,27.4,77,0.123,0.139
1986-06-13T02:00,,28.8,70,0.123,0.139
1986-06-13T03:00,,30.6,62,0.123,0.139
1986-06-13T04:00,,32.3,55,0.123,0.139
1986-06-13T05:00,,34.2,48,0.123,0.139
1986-06-13T06:00,,35.0,44,0.123,0.139
1986-06-13T07:00,,35.9,40,0.123,0.139
1986-06-13T08:00,,34.9,45,0.126,0.139
1986-06-13T09:00,,33.2,52,0.135,0.139
1986-06-13T10:00,,34.6,47,0.135,0.139
1986-06-13T11:00,,33.9,48,0.135,0.139
1986-06-13T12:00,,29.2,70,0.165,0.139
1986-06-13T13:00,,27.4,81,0.19,0.139
1986-06-13T14:00,,26.1,90,0.202,0.139
1986-06-13T15:00,,25.8,86,0.202,0.139
1986-06-13T16:00,,26.2,83,0.202,0.139
1986-06-13T17:00,,26.4,82,0.202,0.139
1986-06-13T18:00,,26.3,82,0.202,0.139
1986-06-13T19:00,,26.6,82,0.201,0.139
1986-06-13T20:00,,26.3,83,0.201,0.139
1986-06-13T21:00,,26.0,85,0.201,0.139
1986-06-13T22:00,,25.9,86,0.201,0.139
1986-06-13T23:00,,25.7,87,0.201,0.139
1986-06-14T00:00,,25.6,88,0.201,0.139
1986-06-14T01:00,,26.8,81,0.201,0.139
1986-06-14T02:00,,28.2,74,0.2,0.139
1986-06-14T03:00,,29.7,67,0.199,0.139
1986-06-14T04:00,,31.1,62,0.197,0.139
1986-06-14T05:00,,31.7,60,0.196,0.139
1986-06-14T06:00,,32.8,54,0.195,0.139
1986-06-14T07:00,,32.3,57,0.194,0.139
1986-06-14T08:00,,32.4,56,0.193,0.139
1986-06-14T09:00,,32.4,55,0.193,0.139
1986-06-14T10:00,,32.1,55,0.193,0.139
1986-06-14T11:00,,30.9,60,0.195,0.139
1986-06-14T12:00,,30.1,65,0.195,0.139
1986-06-14T13:00,,29.3,70,0.194,0.139
1986-06-14T14:00,,28.8,73,0.194,0.139
1986-06-14T15:00,,28.3,75,0.194,0.139
1986-06-14T16:00,,27.9,76,0.194,0.139
1986-06-14T17:00,,27.6,77,0.193,0.139
1986-06-14T18:00,,27.3,78,0.193,0.139
1986-06-14T19:00,,27.1,78,0.193,0.139
1986-06-14T20:00,,26.6,80,0.193,0.139
1986-06-14T21:00,,26.2,83,0.193,0.139
1986-06-14T22:00,,25.7,86,0.193,0.139
1986-06-14T23:00,,25.6,88,0.192,0.139
1986-06-15T00:00,,25.4,90,0.192,0.139
1986-06-15T01:00,,26.6,84,0.192,0.139
1986-06-15T02:00,,27.8,77,0.192,0.139
1986-06-15T03:00,,29.4,70,0.191,0.139
1986-06-15T04:00,,30.7,67,0.189,0.139
1986-06-15T05:00,,31.7,63,0.188,0.139
1986-06-15T06:00,,32.9,54,0.186,0.139
1986-06-15T07:00,,33.0,54,0.185,0.139
1986-06-15T08:00,,33.8,50,0.183,0.139
1986-06-15T09:00,,31.3,61,0.191,0.139
1986-06-15T10:00,,31.1,63,0.196,0.139
1986-06-15T11:00,,30.4,64,0.204,0.139
1986-06-15T12:00,,29.5,68,0.206,0.139
1986-06-15T13:00,,28.1,76,0.207,0.139
1986-06-15T14:00,,26.9,82,0.21,0.139
1986-06-15T15:00,,26.7,82,0.21,0.139
1986-06-15T16:00,,26.7,81,0.21,0.139
1986-06-15T17:00,,26.3,83,0.21,0.139
1986-06-15T18:00,,26.0,85,0.21,0.139
1986-06-15T19:00,,25.7,90,0.21,0.139
1986-06-15T20:00,,25.7,90,0.21,0.139
1986-06-15T21:00,,25.6,91,0.209,0.139
1986-06-15T22:00,,25.4,90,0.209,0.139
1986-06-15T23:00,,25.4,91,0.209,0.139
