time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,28.1,82,0.097,0.146
1986-06-13T01:00,,28.2,81,0.098,0.146
1986-06-13T02:00,,28.2,79,0.099,0.146
1986-06-13T03:00,,28.1,79,0.108,0.146
1986-06-13T04:00,,27.7,81,0.138,0.146
1986-06-13T05:00,,28.2,78,0.144,0.146
1986-06-13T06:00,,28.5,77,0.144,0.146
1986-06-13T07:00,,31.0,68,0.172,0.146
1986-06-13T08:00,,31.5,66,0.179,0.146
1986-06-13T09:00,,32.4,63,0.176,0.146
1986-06-13T10:00,,33.1,60,0.174,0.146
1986-06-13T11:00,,33.1,58,0.171,0.146
1986-06-13T12:00,,32.8,59,0.17,0.146
1986-06-13T13:00,,32.1,63,0.169,0.146
1986-06-13T14:00,,30.5,69,0.169,0.146
1986-06-13T15:00,,28.7,76,0.179,0.146
1986-06-13T16:00,,27.6,82,0.179,0.146
1986-06-13T17:00,,27.3,83,0.179,0.146
1986-06-13T18:00,,27.1,84,0.179,0.146
1986-06-13T19:00,,26.6,86,0.19,0.146
1986-06-13T20:00,,25.9,89,0.214,0.146
1986-06-13T21:00,,25.3,93,0.234,0.146
1986-06-13T22:00,,24.9,93,0.254,0.146
1986-06-13T23:00,,24.5,93,0.295,0.146
1986-06-14T00:00,,24.3,94,0.332,0.147
1986-06-14T01:00,,24.8,92,0.339,0.148
1986-06-14T02:00,,26.1,86,0.336,0.149
1986-06-14T03:00,,27.8,79,0.331,0.15
1986-06-14T04:00,,29.3,74,0.327,0.151
1986-06-14T05:00,,30.3,71,0.321,0.152
1986-06-14T06:00,,30.9,70,0.314,0.153
1986-06-14T07:00,,32.0,65,0.307,0.153
1986-06-14T08:00,,32.1,66,0.302,0.154
1986-06-14T09:00,,32.7,61,0.296,0.154
1986-06-14T10:00,,32.7,60,0.291,0.155
1986-06-14T11:00,,32.4,61,0.287,0.155
1986-06-14T12:00,,31.9,62,0.284,0.155
1986-06-14T13:00,,30.8,67,0.282,0.156
1986-06-14T14:00,,29.6,72,0.28,0.156
1986-06-14T15:00,,28.8,75,0.279,0.156
1986-06-14T16:00,,28.3,77,0.278,0.156
1986-06-14T17:00,,27.9,79,0.276,0.157
1986-06-14T18:00,,27.7,81,0.275,0.157
1986-06-14T19:00,,27.5,82,0.274,0.157
1986-06-14T20:00,,27.2,84,0.273,0.157
1986-06-14T21:00,,26.9,85,0.272,0.157
1986-06-14T22:00,,26.7,86,0.271,0.158
1986-06-14T23:00,,26.4,87,0.271,0.158
1986-06-15T00:00,,26.3,88,0.27,0.158
1986-06-15T01:00,,27.2,85,0.268,0.158
1986-06-15T02:00,,28.7,79,0.266,0.158
1986-06-15T03:00,,30.1,72,0.263,0.159
1986-06-15T04:00,,31.3,68,0.259,0.159
1986-06-15T05:00,,31.9,66,0.255,0.159
1986-06-15T06:00,,32.2,65,0.251,0.159
1986-06-15T07:00,,32.8,61,0.248,0.159
1986-06-15T08:00,,31.9,64,0.25,0.159
1986-06-15T09:00,,31.0,69,0.255,0.159
1986-06-15T10:00,,30.5,72,0.255,0.159
1986-06-15T11:00,,30.2,73,0.253,0.159
1986-06-15T12:00,,29.7,75,0.251,0.159
1986-06-15T13:00,,29.2,77,0.25,0.159
1986-06-15T14:00,,28.6,79,0.25,0.16
1986-06-15T15:00,,28.1,81,0.25,0.16
1986-06-15T16:00,,27.8,82,0.251,0.16
1986-06-15T17:00,,27.6,83,0.25,0.16
1986-06-15T18:00,,27.3,84,0.249,0.16
1986-06-15T19:00,,26.0,92,0.249,0.16
1986-06-15T20:00,,26.0,92,0.249,0.16
1986-06-15T21:00,,25.7,93,0.263,0.16
1986-06-15T22:00,,25.3,94,0.292,0.161
1986-06-15T23:00,,25.1,94,0.305,0.161
