time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,28.0,67,0.114,0.147
1986-06-13T01:00,,29.5,61,0.114,0.147
1986-06-13T02:00,,32.1,52,0.114,0.147
1986-06-13T03:00,,34.5,44,0.114,0.147
1986-06-13T04:00,,35.5,42,0.114,0.147
1986-06-13T05:00,,35.7,43,0.116,0.147
1986-06-13T06:00,,36.0,43,0.119,0.147
1986-06-13T07:00,,38.0,36,0.119,0.147
1986-06-13T08:00,,36.0,43,0.129,0.147
1986-06-13T09:00,,35.4,46,0.131,0.147
1986-06-13T10:00,,35.7,45,0.13,0.147
1986-06-13T11:00,,34.1,51,0.137,0.147
1986-06-13T12:00,,33.5,53,0.139,0.147
1986-06-13T13:00,,33.1,54,0.139,0.147
1986-06-13T14:00,,32.5,56,0.139,0.147
1986-06-13T15:00,,31.9,58,0.138,0.147
1986-06-13T16:00,,31.3,61,0.138,0.147
1986-06-13T17:00,,30.5,65,0.138,0.147
1986-06-13T18:00,,29.8,68,0.138,0.147
1986-06-13T19:00,,28.8,77,0.138,0.147
1986-06-13T20:00,,28.1,80,0.138,0.147
1986-06-13T21:00,,27.7,82,0.138,0.147
1986-06-13T22:00,,27.4,82,0.138,0.147
1986-06-13T23:00,,27.0,84,0.138,0.147
1986-06-14T00:00,,26.8,85,0.138,0.147
1986-06-14T01:00,,28.3,78,0.138,0.147
1986-06-14T02:00,,30.1,69,0.137,0.147
1986-06-14T03:00,,32.1,60,0.137,0.147
1986-06-14T04:00,,34.0,52,0.136,0.147
1986-06-14T05:00,,35.4,47,0.135,0.147
1986-06-14T06:00,,36.6,42,0.133,0.147
1986-06-14T07:00,,36.7,38,0.132,0.147
1986-06-14T08:00,,37.4,36,0.131,0.147
1986-06-14T09:00,,37.3,36,0.13,0.147
1986-06-14T10:00,,37.0,36,0.129,0.147
1986-06-14T11:00,,35.8,39,0.13,0.147
1986-06-14T12:00,,34.9,42,0.13,0.147
1986-06-14T13:00,,34.1,46,0.13,0.147
1986-06-14T14:00,,33.2,49,0.13,0.147
1986-06-14T15:00,,32.1,55,0.13,0.147
1986-06-14T16:00,,31.2,59,0.13,0.147
1986-06-14T17:00,,30.6,64,0.129,0.147
1986-06-14T18:00,,30.0,68,0.129,0.147
1986-06-14T19:00,,29.4,70,0.129,0.147
1986-06-14T20:00,,28.9,72,0.129,0.147
1986-06-14T21:00,,28.5,74,0.129,0.147
1986-06-14T22:00,,28.2,76,0.129,0.147
1986-06-14T23:00,,27.9,77,0.129,0.147
1986-06-15T00:00,,27.6,80,0.129,0.147
1986-06-15T01:00,,28.8,75,0.129,0.147
1986-06-15T02:00,,30.9,66,0.129,0.147
1986-06-15T03:00,,32.9,56,0.128,0.147
1986-06-15T04:00,,33.9,50,0.129,0.147
1986-06-15T05:00,,34.3,48,0.128,0.147
1986-06-15T06:00,,35.6,44,0.127,0.147
1986-06-15T07:00,,34.4,49,0.127,0.147
1986-06-15T08:00,,35.9,44,0.126,0.147
1986-06-15T09:00,,35.9,43,0.126,0.147
1986-06-15T10:00,,35.8,42,0.125,0.147
1986-06-15T11:00,,35.2,44,0.125,0.147
1986-06-15T12:00,,34.2,47,0.125,0.147
1986-06-15T13:00,,33.1,52,0.125,0.147
1986-06-15T14:00,,32.1,57,0.126,0.147
1986-06-15T15:00,,30.4,66,0.13,0.147
1986-06-15T16:00,,28.9,72,0.131,0.147
1986-06-15T17:00,,28.3,73,0.131,0.147
1986-06-15T18:00,,27.8,75,0.131,0.147
1986-06-15T19:00,,27.8,77,0.131,0.147
1986-06-15T20:00,,27.7,78,0.131,0.147
1986-06-15T21:00,,27.7,77,0.131,0.147
1986-06-15T22:00,,27.5,79,0.134,0.147
1986-06-15T23:00,,27.0,81,0.146,0.147
