time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,26.2,72,0.132,0.147
1986-06-13T01:00,,27.6,67,0.132,0.147
1986-06-13T02:00,,29.8,59,0.132,0.147
1986-06-13T03:00,,32.2,50,0.132,0.147
1986-06-13T04:00,,33.6,45,0.133,0.147
1986-06-13T05:00,,34.7,42,0.133,0.147
1986-06-13T06:00,,34.7,43,0.133,0.147
1986-06-13T07:00,,35.7,39,0.135,0.147
1986-06-13T08:00,,35.2,41,0.137,0.147
1986-06-13T09:00,,32.7,51,0.144,0.147
1986-06-13T10:00,,32.4,54,0.147,0.147
1986-06-13T11:00,,32.9,52,0.147,0.147
1986-06-13T12:00,,30.9,59,0.156,0.147
1986-06-13T13:00,,30.8,59,0.156,0.147
1986-06-13T14:00,,30.2,62,0.156,0.147
1986-06-13T15:00,,29.4,67,0.156,0.147
1986-06-13T16:00,,28.5,71,0.155,0.147
1986-06-13T17:00,,27.8,75,0.155,0.147
1986-06-13T18:00,,27.1,78,0.155,0.147
1986-06-13T19:00,,26.6,83,0.155,0.147
1986-06-13T20:00,,26.2,85,0.155,0.147
1986-06-13T21:00,,25.9,86,0.155,0.147
1986-06-13T22:00,,25.7,86,0.155,0.147
1986-06-13T23:00,,25.4,86,0.155,0.147
1986-06-14T00:00,,25.3,87,0.155,0.147
1986-06-14T01:00,,26.5,81,0.155,0.147
1986-06-14T02:00,,28.3,72,0.155,0.147
1986-06-14T03:00,,30.4,63,0.155,0.147
1986-06-14T04:00,,32.3,54,0.154,0.147
1986-06-14T05:00,,33.7,50,0.153,0.147
1986-06-14T06:00,,35.0,44,0.153,0.147
1986-06-14T07:00,,34.6,42,0.152,0.147
1986-06-14T08:00,,35.0,41,0.152,0.147
1986-06-14T09:00,,35.0,41,0.152,0.147
1986-06-14T10:00,,33.9,43,0.152,0.147
1986-06-14T11:00,,33.2,46,0.152,0.147
1986-06-14T12:00,,32.3,49,0.152,0.147
1986-06-14T13:00,,31.5,54,0.152,0.147
1986-06-14T14:00,,30.6,59,0.152,0.147
1986-06-14T15:00,,29.6,65,0.152,0.147
1986-06-14T16:00,,28.7,71,0.152,0.147
1986-06-14T17:00,,28.0,75,0.152,0.147
1986-06-14T18:00,,27.5,78,0.152,0.147
1986-06-14T19:00,,27.0,78,0.152,0.147
1986-06-14T20:00,,26.6,80,0.152,0.147
1986-06-14T21:00,,26.3,82,0.152,0.147
1986-06-14T22:00,,26.0,83,0.152,0.147
1986-06-14T23:00,,25.7,85,0.152,0.147
1986-06-15T00:00,,25.5,87,0.152,0.147
1986-06-15T01:00,,26.7,82,0.152,0.147
1986-06-15T02:00,,28.7,73,0.151,0.147
1986-06-15T03:00,,30.8,63,0.151,0.147
1986-06-15T04:00,,32.0,55,0.151,0.147
1986-06-15T05:00,,32.6,53,0.151,0.147
1986-06-15T06:00,,33.9,49,0.151,0.147
1986-06-15T07:00,,31.8,58,0.154,0.147
1986-06-15T08:00,,33.0,54,0.156,0.147
1986-06-15T09:00,,33.2,52,0.156,0.147
1986-06-15T10:00,,33.6,50,0.156,0.147
1986-06-15T11:00,,33.0,50,0.156,0.147
1986-06-15T12:00,,31.1,59,0.161,0.147
1986-06-15T13:00,,29.7,69,0.162,0.147
1986-06-15T14:00,,28.3,76,0.171,0.147
1986-06-15T15:00,,26.2,85,0.201,0.147
1986-06-15T16:00,,25.1,88,0.202,0.147
1986-06-15T17:00,,24.8,89,0.202,0.147
1986-06-15T18:00,,24.5,89,0.202,0.147
1986-06-15T19:00,,25.0,90,0.202,0.147
1986-06-15T20:00,,25.0,89,0.202,0.147
1986-06-15T21:00,,24.9,89,0.202,0.147
1986-06-15T22:00,,25.0,89,0.202,0.147
1986-06-15T23:00,,24.9,89,0.206,0.147
