time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,26.4,96,0.37,0.189
1986-06-13T01:00,,26.1,97,0.414,0.191
1986-06-13T02:00,,26.1,96,0.41,0.198
1986-06-13T03:00,,26.3,95,0.395,0.203
1986-06-13T04:00,,26.4,95,0.395,0.207
1986-06-13T05:00,,26.9,92,0.403,0.21
1986-06-13T06:00,,28.4,89,0.396,0.214
1986-06-13T07:00,,32.3,69,0.385,0.217
1986-06-13T08:00,,33.1,66,0.375,0.219
1986-06-13T09:00,,33.2,65,0.368,0.22
1986-06-13T10:00,,33.3,63,0.362,0.221
1986-06-13T11:00,,31.0,72,0.39,0.222
1986-06-13T12:00,,30.0,77,0.39,0.225
1986-06-13T13:00,,29.5,80,0.383,0.227
1986-06-13T14:00,,28.8,82,0.378,0.229
1986-06-13T15:00,,28.4,85,0.373,0.231
1986-06-13T16:00,,28.1,86,0.368,0.232
1986-06-13T17:00,,27.8,88,0.364,0.234
1986-06-13T18:00,,27.7,89,0.361,0.235
1986-06-13T19:00,,27.7,86,0.358,0.236
1986-06-13T20:00,,27.6,87,0.355,0.237
1986-06-13T21:00,,27.3,89,0.352,0.238
1986-06-13T22:00,,27.1,90,0.35,0.238
1986-06-13T23:00,,26.9,90,0.36,0.239
1986-06-14T00:00,,26.9,91,0.359,0.24
1986-06-14T01:00,,27.8,88,0.357,0.241
1986-06-14T02:00,,28.7,86,0.355,0.242
1986-06-14T03:00,,30.0,78,0.353,0.243
1986-06-14T04:00,,31.1,72,0.351,0.243
1986-06-14T05:00,,31.9,67,0.353,0.243
1986-06-14T06:00,,32.7,63,0.349,0.244
1986-06-14T07:00,,33.0,61,0.347,0.244
1986-06-14T08:00,,33.0,61,0.344,0.244
1986-06-14T09:00,,33.7,58,0.339,0.244
1986-06-14T10:00,,32.6,60,0.338,0.244
1986-06-14T11:00,,31.7,65,0.336,0.244
1986-06-14T12:00,,31.1,67,0.333,0.245
1986-06-14T13:00,,30.6,69,0.332,0.245
1986-06-14T14:00,,29.9,73,0.33,0.245
1986-06-14T15:00,,29.3,76,0.329,0.246
1986-06-14T16:00,,29.0,77,0.327,0.246
1986-06-14T17:00,,28.7,79,0.326,0.246
1986-06-14T18:00,,28.6,79,0.325,0.247
1986-06-14T19:00,,28.3,81,0.324,0.247
1986-06-14T20:00,,28.0,82,0.323,0.247
1986-06-14T21:00,,27.8,83,0.323,0.248
1986-06-14T22:00,,27.3,85,0.324,0.248
1986-06-14T23:00,,26.8,88,0.324,0.248
1986-06-15T00:00,,26.7,89,0.323,0.249
1986-06-15T01:00,,27.1,88,0.325,0.249
1986-06-15T02:00,,27.8,87,0.325,0.249
1986-06-15T03:00,,29.0,82,0.323,0.249
1986-06-15T04:00,,30.7,72,0.321,0.249
1986-06-15T05:00,,31.6,67,0.318,0.249
1986-06-15T06:00,,32.2,65,0.315,0.248
1986-06-15T07:00,,33.2,60,0.311,0.248
1986-06-15T08:00,,33.3,60,0.308,0.247
1986-06-15T09:00,,33.7,58,0.304,0.247
1986-06-15T10:00,,32.0,65,0.303,0.246
1986-06-15T11:00,,30.8,69,0.304,0.246
1986-06-15T12:00,,30.7,70,0.304,0.246
1986-06-15T13:00,,30.4,70,0.303,0.246
1986-06-15T14:00,,30.1,71,0.302,0.246
1986-06-15T15:00,,29.7,73,0.301,0.247
1986-06-15T16:00,,29.3,75,0.301,0.247
1986-06-15T17:00,,28.9,77,0.3,0.247
1986-06-15T18:00,,28.5,80,0.3,0.247
1986-06-15T19:00,,27.6,87,0.299,0.247
1986-06-15T20:00,,27.1,88,0.308,0.247
1986-06-15T21:00,,26.5,89,0.321,0.247
1986-06-15T22:00,,26.2,91,0.323,0.248
1986-06-15T23:00,,26.0,92,0.324,0.248
