time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,29.4,66,0.137,0.15
1986-06-13T01:00,,30.6,62,0.137,0.15
1986-06-13T02:00,,32.4,55,0.137,0.15
1986-06-13T03:00,,33.9,50,0.137,0.15
1986-06-13T04:00,,33.8,54,0.14,0.15
1986-06-13T05:00,,35.4,49,0.14,0.15
1986-06-13T06:00,,36.6,46,0.14,0.15
1986-06-13T07:00,,38.6,38,0.14,0.15
1986-06-13T08:00,,38.3,39,0.141,0.15
1986-06-13T09:00,,37.8,40,0.141,0.15
1986-06-13T10:00,,36.2,47,0.143,0.15
1986-06-13T11:00,,35.8,48,0.144,0.15
1986-06-13T12:00,,35.4,50,0.144,0.15
1986-06-13T13:00,,34.7,52,0.144,0.15
1986-06-13T14:00,,34.0,55,0.144,0.15
1986-06-13T15:00,,33.5,57,0.144,0.15
1986-06-13T16:00,,32.9,59,0.144,0.15
1986-06-13T17:00,,32.3,61,0.144,0.15
1986-06-13T18:00,,31.7,63,0.144,0.15
1986-06-13T19:00,,30.3,73,0.144,0.15
1986-06-13T20:00,,29.9,76,0.144,0.15
1986-06-13T21:00,,29.5,77,0.144,0.15
1986-06-13T22:00,,29.2,79,0.144,0.15
1986-06-13T23:00,,28.8,80,0.144,0.15
1986-06-14T00:00,,28.6,80,0.144,0.15
1986-06-14T01:00,,29.8,73,0.144,0.15
1986-06-14T02:00,,31.1,67,0.144,0.15
1986-06-14T03:00,,32.6,59,0.144,0.15
1986-06-14T04:00,,34.4,53,0.144,0.15
1986-06-14T05:00,,36.2,47,0.143,0.15
1986-06-14T06:00,,37.4,43,0.143,0.15
1986-06-14T07:00,,37.6,39,0.143,0.15
1986-06-14T08:00,,38.2,37,0.143,0.15
1986-06-14T09:00,,38.3,37,0.143,0.15
1986-06-14T10:00,,37.9,37,0.142,0.15
1986-06-14T11:00,,36.2,42,0.144,0.15
1986-06-14T12:00,,35.7,43,0.144,0.15
1986-06-14T13:00,,34.9,46,0.144,0.15
1986-06-14T14:00,,34.1,49,0.144,0.15
1986-06-14T15:00,,33.4,52,0.144,0.15
1986-06-14T16:00,,32.6,56,0.144,0.15
1986-06-14T17:00,,32.0,59,0.144,0.15
1986-06-14T18:00,,31.4,61,0.144,0.15
1986-06-14T19:00,,30.8,62,0.144,0.15
1986-06-14T20:00,,30.4,64,0.144,0.15
1986-06-14T21:00,,29.9,66,0.144,0.15
1986-06-14T22:00,,29.5,68,0.144,0.15
1986-06-14T23:00,,29.1,70,0.144,0.15
1986-06-15T00:00,,28.8,72,0.144,0.15
1986-06-15T01:00,,30.3,67,0.144,0.15
1986-06-15T02:00,,32.2,59,0.144,0.15
1986-06-15T03:00,,33.9,52,0.144,0.15
1986-06-15T04:00,,35.0,48,0.144,0.15
1986-06-15T05:00,,35.7,45,0.144,0.15
1986-06-15T06:00,,37.0,42,0.143,0.15
1986-06-15T07:00,,36.3,45,0.144,0.15
1986-06-15T08:00,,36.3,45,0.144,0.15
1986-06-15T09:00,,36.4,45,0.144,0.15
1986-06-15T10:00,,36.9,43,0.144,0.15
1986-06-15T11:00,,36.6,43,0.143,0.15
1986-06-15T12:00,,35.9,45,0.143,0.15
1986-06-15T13:00,,34.7,48,0.144,0.15
1986-06-15T14:00,,33.7,52,0.144,0.15
1986-06-15T15:00,,32.5,57,0.145,0.15
1986-06-15T16:00,,30.9,65,0.148,0.15
1986-06-15T17:00,,30.3,69,0.148,0.15
1986-06-15T18:00,,29.8,70,0.148,0.15
1986-06-15T19:00,,28.2,80,0.148,0.15
1986-06-15T20:00,,28.3,79,0.148,0.15
1986-06-15T21:00,,28.4,78,0.149,0.15
1986-06-15T22:00,,27.7,80,0.17,0.15
1986-06-15T23:00,,27.0,85,0.187,0.15
