time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,27.1,90,0.12,0.134
1986-06-13T01:00,,28.3,84,0.12,0.134
1986-06-13T02:00,,29.8,75,0.12,0.134
1986-06-13T03:00,,31.3,68,0.12,0.134
1986-06-13T04:00,,32.1,63,0.121,0.134
1986-06-13T05:00,,32.7,62,0.125,0.134
1986-06-13T06:00,,32.5,61,0.129,0.134
1986-06-13T07:00,,34.1,53,0.133,0.134
1986-06-13T08:00,,32.1,66,0.203,0.134
1986-06-13T09:00,,31.6,69,0.243,0.134
1986-06-13T10:00,,32.0,67,0.242,0.135
1986-06-13T11:00,,32.5,63,0.24,0.135
1986-06-13T12:00,,32.2,64,0.239,0.135
1986-06-13T13:00,,31.5,67,0.238,0.135
1986-06-13T14:00,,30.5,71,0.239,0.135
1986-06-13T15:00,,29.2,76,0.239,0.135
1986-06-13T16:00,,28.4,79,0.239,0.135
1986-06-13T17:00,,27.9,81,0.238,0.135
1986-06-13T18:00,,27.6,82,0.238,0.135
1986-06-13T19:00,,27.2,86,0.237,0.136
1986-06-13T20:00,,26.9,88,0.237,0.136
1986-06-13T21:00,,26.8,88,0.237,0.136
1986-06-13T22:00,,26.5,90,0.236,0.136
1986-06-13T23:00,,26.3,90,0.236,0.136
1986-06-14T00:00,,26.1,91,0.237,0.136
1986-06-14T01:00,,26.8,88,0.236,0.136
1986-06-14T02:00,,27.9,83,0.235,0.136
1986-06-14T03:00,,29.7,73,0.234,0.136
1986-06-14T04:00,,31.2,68,0.232,0.137
1986-06-14T05:00,,31.8,66,0.231,0.137
1986-06-14T06:00,,32.7,61,0.229,0.137
1986-06-14T07:00,,32.6,63,0.228,0.137
1986-06-14T08:00,,32.6,62,0.228,0.137
1986-06-14T09:00,,32.6,61,0.227,0.137
1986-06-14T10:00,,33.1,58,0.226,0.137
1986-06-14T11:00,,31.7,63,0.226,0.137
1986-06-14T12:00,,31.0,66,0.226,0.137
1986-06-14T13:00,,30.1,70,0.225,0.137
1986-06-14T14:00,,29.2,74,0.225,0.137
1986-06-14T15:00,,28.6,77,0.224,0.137
1986-06-14T16:00,,28.2,80,0.224,0.137
1986-06-14T17:00,,28.0,82,0.224,0.137
1986-06-14T18:00,,27.7,83,0.223,0.137
1986-06-14T19:00,,27.4,84,0.223,0.138
1986-06-14T20:00,,27.0,86,0.223,0.138
1986-06-14T21:00,,26.6,87,0.223,0.138
1986-06-14T22:00,,26.3,89,0.222,0.138
1986-06-14T23:00,,25.9,91,0.222,0.138
1986-06-15T00:00,,25.6,93,0.222,0.138
1986-06-15T01:00,,27.1,85,0.222,0.138
1986-06-15T02:00,,28.8,78,0.221,0.138
1986-06-15T03:00,,30.6,70,0.219,0.138
1986-06-15T04:00,,31.8,64,0.217,0.138
1986-06-15T05:00,,32.6,61,0.215,0.138
1986-06-15T06:00,,33.6,57,0.214,0.138
1986-06-15T07:00,,34.1,56,0.211,0.138
1986-06-15T08:00,,33.5,56,0.21,0.138
1986-06-15T09:00,,32.3,62,0.215,0.138
1986-06-15T10:00,,31.5,66,0.224,0.138
1986-06-15T11:00,,31.1,68,0.224,0.138
1986-06-15T12:00,,30.3,72,0.224,0.138
1986-06-15T13:00,,29.6,75,0.223,0.138
1986-06-15T14:00,,28.8,78,0.223,0.138
1986-06-15T15:00,,28.2,79,0.223,0.138
1986-06-15T16:00,,27.8,81,0.223,0.139
1986-06-15T17:00,,27.5,82,0.223,0.139
1986-06-15T18:00,,27.0,84,0.222,0.139
1986-06-15T19:00,,26.3,93,0.222,0.139
1986-06-15T20:00,,26.2,93,0.222,0.139
1986-06-15T21:00,,26.1,93,0.222,0.139
1986-06-15T22:00,,25.8,93,0.245,0.139
1986-06-15T23:00,,25.2,94,0.29,0.139
