time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,25.9,88,0.135,0.146
1986-06-13T01:00,,27.2,80,0.135,0.146
1986-06-13T02:00,,28.8,71,0.135,0.146
1986-06-13T03:00,,30.6,62,0.135,0.146
1986-06-13T04:00,,31.6,58,0.135,0.146
1986-06-13T05:00,,32.5,55,0.135,0.146
1986-06-13T06:00,,33.3,51,0.135,0.146
1986-06-13T07:00,,31.9,60,0.147,0.146
1986-06-13T08:00,,32.0,60,0.174,0.146
1986-06-13T09:00,,32.1,59,0.18,0.146
1986-06-13T10:00,,32.3,58,0.18,0.146
1986-06-13T11:00,,32.0,60,0.179,0.146
1986-06-13T12:00,,30.7,65,0.183,0.146
1986-06-13T13:00,,29.1,75,0.2,0.146
1986-06-13T14:00,,26.9,85,0.237,0.146
1986-06-13T15:00,,25.8,87,0.238,0.146
1986-06-13T16:00,,25.9,85,0.238,0.146
1986-06-13T17:00,,25.9,85,0.238,0.146
1986-06-13T18:00,,25.8,86,0.237,0.146
1986-06-13T19:00,,25.7,90,0.237,0.146
1986-06-13T20:00,,25.5,91,0.237,0.146
1986-06-13T21:00,,25.3,91,0.236,0.146
1986-06-13T22:00,,25.2,92,0.236,0.146
1986-06-13T23:00,,25.0,92,0.236,0.147
1986-06-14T00:00,,24.9,94,0.236,0.147
1986-06-14T01:00,,26.2,86,0.235,0.147
1986-06-14T02:00,,27.5,78,0.235,0.147
1986-06-14T03:00,,29.1,70,0.233,0.147
1986-06-14T04:00,,30.4,65,0.232,0.147
1986-06-14T05:00,,30.8,65,0.234,0.147
1986-06-14T06:00,,30.7,65,0.254,0.147
1986-06-14T07:00,,31.1,65,0.254,0.147
1986-06-14T08:00,,31.4,62,0.254,0.147
1986-06-14T09:00,,30.7,64,0.262,0.147
1986-06-14T10:00,,31.2,61,0.261,0.147
1986-06-14T11:00,,30.3,64,0.261,0.148
1986-06-14T12:00,,29.4,69,0.26,0.148
1986-06-14T13:00,,28.6,73,0.259,0.148
1986-06-14T14:00,,27.9,77,0.259,0.148
1986-06-14T15:00,,27.4,80,0.258,0.148
1986-06-14T16:00,,27.0,82,0.257,0.149
1986-06-14T17:00,,26.8,83,0.257,0.149
1986-06-14T18:00,,26.5,84,0.256,0.149
1986-06-14T19:00,,26.2,84,0.255,0.149
1986-06-14T20:00,,25.9,85,0.255,0.149
1986-06-14T21:00,,25.5,87,0.254,0.149
1986-06-14T22:00,,25.2,88,0.254,0.15
1986-06-14T23:00,,25.0,90,0.253,0.15
1986-06-15T00:00,,24.8,91,0.253,0.15
1986-06-15T01:00,,26.0,86,0.252,0.15
1986-06-15T02:00,,27.7,78,0.251,0.15
1986-06-15T03:00,,29.4,70,0.249,0.15
1986-06-15T04:00,,30.5,66,0.248,0.15
1986-06-15T05:00,,31.0,65,0.246,0.15
1986-06-15T06:00,,32.2,57,0.245,0.15
1986-06-15T07:00,,31.9,61,0.244,0.15
1986-06-15T08:00,,32.3,57,0.243,0.15
1986-06-15T09:00,,32.1,57,0.242,0.15
1986-06-15T10:00,,30.3,66,0.254,0.15
1986-06-15T11:00,,29.0,73,0.282,0.15
1986-06-15T12:00,,28.2,77,0.281,0.151
1986-06-15T13:00,,27.5,81,0.28,0.151
1986-06-15T14:00,,26.5,85,0.282,0.151
1986-06-15T15:00,,26.0,86,0.283,0.152
1986-06-15T16:00,,25.9,86,0.282,0.152
1986-06-15T17:00,,25.7,87,0.281,0.153
1986-06-15T18:00,,25.3,90,0.28,0.153
1986-06-15T19:00,,25.1,94,0.279,0.153
1986-06-15T20:00,,25.1,93,0.278,0.153
1986-06-15T21:00,,25.0,93,0.277,0.154
1986-06-15T22:00,,24.9,94,0.277,0.154
1986-06-15T23:00,,24.4,95,0.29,0.154
