time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,24.2,98,0.433,0.229
1986-06-13T01:00,,24.1,99,0.344,0.262
1986-06-13T02:00,,24.3,97,0.345,0.263
1986-06-13T03:00,,24.5,95,0.345,0.264
1986-06-13T04:00,,24.9,96,0.365,0.265
1986-06-13T05:00,,25.5,93,0.385,0.266
1986-06-13T06:00,,26.4,89,0.389,0.268
1986-06-13T07:00,,31.1,71,0.379,0.27
1986-06-13T08:00,,32.0,68,0.37,0.27
1986-06-13T09:00,,32.4,65,0.363,0.27
1986-06-13T10:00,,32.0,66,0.358,0.27
1986-06-13T11:00,,30.5,71,0.368,0.271
1986-06-13T12:00,,29.6,75,0.365,0.272
1986-06-13T13:00,,29.0,78,0.362,0.273
1986-06-13T14:00,,28.6,80,0.36,0.273
1986-06-13T15:00,,28.3,81,0.357,0.274
1986-06-13T16:00,,28.0,83,0.355,0.275
1986-06-13T17:00,,27.7,85,0.353,0.275
1986-06-13T18:00,,27.4,87,0.351,0.276
1986-06-13T19:00,,27.2,87,0.349,0.276
1986-06-13T20:00,,27.0,88,0.348,0.277
1986-06-13T21:00,,26.3,90,0.358,0.277
1986-06-13T22:00,,25.2,93,0.39,0.278
1986-06-13T23:00,,24.8,95,0.399,0.28
1986-06-14T00:00,,24.8,95,0.396,0.282
1986-06-14T01:00,,25.2,96,0.401,0.285
1986-06-14T02:00,,25.7,93,0.407,0.288
1986-06-14T03:00,,26.7,91,0.408,0.291
1986-06-14T04:00,,27.5,89,0.401,0.294
1986-06-14T05:00,,29.2,80,0.393,0.296
1986-06-14T06:00,,30.2,75,0.386,0.297
1986-06-14T07:00,,31.7,64,0.379,0.297
1986-06-14T08:00,,32.0,64,0.372,0.297
1986-06-14T09:00,,32.2,63,0.366,0.297
1986-06-14T10:00,,32.1,63,0.36,0.297
1986-06-14T11:00,,32.0,62,0.356,0.297
1986-06-14T12:00,,29.8,74,0.367,0.297
1986-06-14T13:00,,29.2,76,0.365,0.298
1986-06-14T14:00,,28.7,78,0.363,0.298
1986-06-14T15:00,,28.2,80,0.361,0.299
1986-06-14T16:00,,27.9,82,0.359,0.299
1986-06-14T17:00,,27.6,83,0.357,0.3
1986-06-14T18:00,,27.4,84,0.356,0.3
1986-06-14T19:00,,27.3,84,0.354,0.3
1986-06-14T20:00,,27.0,85,0.353,0.301
1986-06-14T21:00,,26.8,86,0.352,0.301
1986-06-14T22:00,,26.4,88,0.352,0.301
1986-06-14T23:00,,25.8,90,0.355,0.302
1986-06-15T00:00,,25.3,93,0.358,0.302
1986-06-15T01:00,,25.3,93,0.362,0.302
1986-06-15T02:00,,25.7,92,0.362,0.303
1986-06-15T03:00,,26.5,89,0.362,0.303
1986-06-15T04:00,,28.0,83,0.36,0.303
1986-06-15T05:00,,29.1,79,0.357,0.303
1986-06-15T06:00,,30.3,75,0.352,0.303
1986-06-15T07:00,,31.3,67,0.348,0.302
1986-06-15T08:00,,31.9,65,0.343,0.302
1986-06-15T09:00,,31.8,66,0.34,0.301
1986-06-15T10:00,,31.9,65,0.337,0.3
1986-06-15T11:00,,30.4,70,0.339,0.3
1986-06-15T12:00,,29.2,75,0.34,0.3
1986-06-15T13:00,,28.8,77,0.34,0.3
1986-06-15T14:00,,28.5,79,0.339,0.3
1986-06-15T15:00,,28.2,80,0.338,0.301
1986-06-15T16:00,,27.9,82,0.339,0.301
1986-06-15T17:00,,27.4,84,0.344,0.301
1986-06-15T18:00,,27.0,86,0.345,0.301
1986-06-15T19:00,,25.9,91,0.359,0.301
1986-06-15T20:00,,25.5,93,0.376,0.302
1986-06-15T21:00,,25.5,93,0.374,0.303
1986-06-15T22:00,,25.2,95,0.379,0.304
1986-06-15T23:00,,25.1,96,0.379,0.304
