time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,27.2,86,0.147,0.167
1986-06-13T01:00,,28.1,80,0.147,0.167
1986-06-13T02:00,,29.4,73,0.147,0.167
1986-06-13T03:00,,30.9,65,0.147,0.167
1986-06-13T04:00,,32.5,59,0.147,0.167
1986-06-13T05:00,,34.0,53,0.147,0.167
1986-06-13T06:00,,34.7,50,0.147,0.167
1986-06-13T07:00,,36.0,45,0.147,0.167
1986-06-13T08:00,,35.9,44,0.147,0.166
1986-06-13T09:00,,35.0,47,0.149,0.166
1986-06-13T10:00,,33.7,53,0.154,0.166
1986-06-13T11:00,,32.7,57,0.154,0.166
1986-06-13T12:00,,32.0,59,0.155,0.166
1986-06-13T13:00,,30.8,64,0.156,0.166
1986-06-13T14:00,,29.5,69,0.157,0.166
1986-06-13T15:00,,29.0,72,0.157,0.166
1986-06-13T16:00,,28.6,74,0.157,0.166
1986-06-13T17:00,,28.4,75,0.157,0.166
1986-06-13T18:00,,28.1,77,0.157,0.166
1986-06-13T19:00,,27.9,79,0.157,0.166
1986-06-13T20:00,,27.6,80,0.157,0.166
1986-06-13T21:00,,27.4,82,0.157,0.166
1986-06-13T22:00,,27.2,83,0.157,0.166
1986-06-13T23:00,,27.1,84,0.157,0.166
1986-06-14T00:00,,26.9,85,0.157,0.166
1986-06-14T01:00,,27.9,81,0.157,0.166
1986-06-14T02:00,,29.0,76,0.158,0.166
1986-06-14T03:00,,30.2,70,0.159,0.166
1986-06-14T04:00,,31.2,65,0.161,0.166
1986-06-14T05:00,,31.6,64,0.164,0.166
1986-06-14T06:00,,31.3,65,0.175,0.166
1986-06-14T07:00,,32.4,60,0.174,0.166
1986-06-14T08:00,,31.9,61,0.184,0.166
1986-06-14T09:00,,31.0,65,0.187,0.166
1986-06-14T10:00,,30.9,66,0.187,0.166
1986-06-14T11:00,,31.0,65,0.187,0.166
1986-06-14T12:00,,30.7,66,0.186,0.166
1986-06-14T13:00,,30.2,68,0.186,0.166
1986-06-14T14:00,,29.7,70,0.186,0.166
1986-06-14T15:00,,29.3,71,0.186,0.166
1986-06-14T16:00,,28.8,73,0.186,0.166
1986-06-14T17:00,,28.5,75,0.186,0.166
1986-06-14T18:00,,28.1,77,0.186,0.166
1986-06-14T19:00,,27.6,79,0.186,0.166
1986-06-14T20:00,,27.3,82,0.186,0.166
1986-06-14T21:00,,26.9,84,0.186,0.166
1986-06-14T22:00,,26.7,86,0.186,0.166
1986-06-14T23:00,,26.5,87,0.186,0.166
1986-06-15T00:00,,26.4,88,0.185,0.166
1986-06-15T01:00,,27.2,84,0.185,0.166
1986-06-15T02:00,,28.3,78,0.185,0.166
1986-06-15T03:00,,29.7,72,0.185,0.166
1986-06-15T04:00,,31.1,67,0.184,0.166
1986-06-15T05:00,,32.3,62,0.184,0.166
1986-06-15T06:00,,33.4,56,0.183,0.166
1986-06-15T07:00,,33.6,56,0.182,0.166
1986-06-15T08:00,,34.5,52,0.181,0.166
1986-06-15T09:00,,34.4,51,0.18,0.166
1986-06-15T10:00,,34.3,51,0.18,0.166
1986-06-15T11:00,,32.0,59,0.183,0.166
1986-06-15T12:00,,29.0,75,0.212,0.166
1986-06-15T13:00,,27.9,80,0.226,0.166
1986-06-15T14:00,,27.7,81,0.226,0.166
1986-06-15T15:00,,27.6,82,0.226,0.166
1986-06-15T16:00,,27.3,83,0.226,0.166
1986-06-15T17:00,,27.0,85,0.226,0.166
1986-06-15T18:00,,26.6,86,0.226,0.166
1986-06-15T19:00,,26.8,88,0.226,0.166
1986-06-15T20:00,,26.6,89,0.226,0.166
1986-06-15T21:00,,26.5,90,0.226,0.166
1986-06-15T22:00,,26.2,90,0.225,0.166
1986-06-15T23:00,,26.2,91,0.225,0.166
