time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,26.1,80,0.133,0.151
1986-06-13T01:00,,27.3,79,0.133,0.151
1986-06-13T02:00,,28.7,72,0.133,0.151
1986-06-13T03:00,,30.6,64,0.133,0.151
1986-06-13T04:00,,32.5,56,0.133,0.151
1986-06-13T05:00,,34.3,50,0.133,0.151
1986-06-13T06:00,,35.9,45,0.133,0.151
1986-06-13T07:00,,36.4,41,0.133,0.151
1986-06-13T08:00,,34.7,47,0.137,0.151
1986-06-13T09:00,,32.4,61,0.191,0.151
1986-06-13T10:00,,30.5,70,0.29,0.151
1986-06-13T11:00,,30.6,66,0.294,0.151
1986-06-13T12:00,,30.2,66,0.292,0.152
1986-06-13T13:00,,30.0,68,0.291,0.152
1986-06-13T14:00,,29.5,70,0.29,0.152
1986-06-13T15:00,,29.0,72,0.289,0.153
1986-06-13T16:00,,28.5,73,0.287,0.153
1986-06-13T17:00,,28.1,74,0.286,0.153
1986-06-13T18:00,,27.7,75,0.285,0.154
1986-06-13T19:00,,27.3,79,0.284,0.154
1986-06-13T20:00,,26.6,83,0.283,0.154
1986-06-13T21:00,,26.2,83,0.282,0.155
1986-06-13T22:00,,26.0,83,0.282,0.155
1986-06-13T23:00,,25.7,85,0.281,0.155
1986-06-14T00:00,,25.5,86,0.28,0.155
1986-06-14T01:00,,26.9,80,0.279,0.156
1986-06-14T02:00,,28.1,76,0.277,0.156
1986-06-14T03:00,,29.6,71,0.274,0.156
1986-06-14T04:00,,31.3,65,0.271,0.156
1986-06-14T05:00,,32.7,59,0.266,0.156
1986-06-14T06:00,,34.0,53,0.261,0.157
1986-06-14T07:00,,33.7,53,0.257,0.157
1986-06-14T08:00,,34.1,51,0.253,0.157
1986-06-14T09:00,,34.0,51,0.249,0.157
1986-06-14T10:00,,33.6,52,0.247,0.157
1986-06-14T11:00,,32.9,54,0.245,0.157
1986-06-14T12:00,,32.7,55,0.244,0.157
1986-06-14T13:00,,31.8,60,0.243,0.157
1986-06-14T14:00,,30.7,63,0.242,0.157
1986-06-14T15:00,,29.9,66,0.242,0.157
1986-06-14T16:00,,29.3,69,0.241,0.157
1986-06-14T17:00,,28.8,72,0.241,0.157
1986-06-14T18:00,,28.3,75,0.241,0.157
1986-06-14T19:00,,27.8,76,0.24,0.158
1986-06-14T20:00,,27.3,79,0.24,0.158
1986-06-14T21:00,,26.8,82,0.24,0.158
1986-06-14T22:00,,26.4,85,0.239,0.158
1986-06-14T23:00,,25.9,88,0.239,0.158
1986-06-15T00:00,,25.6,91,0.239,0.158
1986-06-15T01:00,,26.9,84,0.238,0.158
1986-06-15T02:00,,28.0,78,0.237,0.158
1986-06-15T03:00,,29.6,70,0.235,0.158
1986-06-15T04:00,,31.1,64,0.233,0.158
1986-06-15T05:00,,32.4,58,0.23,0.158
1986-06-15T06:00,,33.1,56,0.227,0.158
1986-06-15T07:00,,34.3,50,0.224,0.158
1986-06-15T08:00,,33.5,52,0.224,0.158
1986-06-15T09:00,,32.7,58,0.225,0.158
1986-06-15T10:00,,33.2,55,0.223,0.158
1986-06-15T11:00,,33.1,55,0.222,0.158
1986-06-15T12:00,,31.0,64,0.229,0.158
1986-06-15T13:00,,27.2,82,0.273,0.158
1986-06-15T14:00,,25.3,88,0.327,0.158
1986-06-15T15:00,,25.2,90,0.325,0.159
1986-06-15T16:00,,25.1,90,0.323,0.16
1986-06-15T17:00,,25.2,90,0.321,0.161
1986-06-15T18:00,,25.1,91,0.319,0.161
1986-06-15T19:00,,25.5,90,0.317,0.162
1986-06-15T20:00,,25.6,91,0.315,0.162
1986-06-15T21:00,,25.5,90,0.314,0.163
1986-06-15T22:00,,25.4,90,0.313,0.164
1986-06-15T23:00,,25.3,91,0.312,0.164
