time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,27.2,82,0.275,0.3
1986-06-13T01:00,,28.0,77,0.275,0.3
1986-06-13T02:00,,29.5,68,0.275,0.3
1986-06-13T03:00,,31.4,60,0.275,0.299
1986-06-13T04:00,,33.4,53,0.274,0.299
1986-06-13T05:00,,35.1,47,0.274,0.299
1986-06-13T06:00,,36.2,43,0.273,0.299
1986-06-13T07:00,,37.1,38,0.273,0.299
1986-06-13T08:00,,37.3,37,0.273,0.299
1986-06-13T09:00,,36.5,39,0.273,0.299
1986-06-13T10:00,,35.9,40,0.273,0.299
1986-06-13T11:00,,32.8,51,0.285,0.299
1986-06-13T12:00,,31.0,59,0.299,0.299
1986-06-13T13:00,,30.5,62,0.301,0.299
1986-06-13T14:00,,30.0,66,0.301,0.299
1986-06-13T15:00,,29.5,70,0.301,0.299
1986-06-13T16:00,,29.2,72,0.301,0.299
1986-06-13T17:00,,28.9,73,0.301,0.299
1986-06-13T18:00,,28.4,80,0.301,0.299
1986-06-13T19:00,,28.3,74,0.301,0.299
1986-06-13T20:00,,27.9,76,0.301,0.299
1986-06-13T21:00,,27.6,79,0.301,0.299
1986-06-13T22:00,,27.4,80,0.301,0.299
1986-06-13T23:00,,27.2,82,0.301,0.299
1986-06-14T00:00,,27.1,83,0.301,0.299
1986-06-14T01:00,,27.7,82,0.301,0.299
1986-06-14T02:00,,29.0,76,0.3,0.298
1986-06-14T03:00,,30.7,68,0.3,0.298
1986-06-14T04:00,,32.2,61,0.299,0.298
1986-06-14T05:00,,33.2,56,0.299,0.298
1986-06-14T06:00,,33.0,58,0.303,0.298
1986-06-14T07:00,,33.8,52,0.302,0.298
1986-06-14T08:00,,32.3,56,0.314,0.298
1986-06-14T09:00,,31.9,58,0.316,0.298
1986-06-14T10:00,,31.4,61,0.316,0.298
1986-06-14T11:00,,31.3,63,0.316,0.298
1986-06-14T12:00,,30.9,64,0.315,0.298
1986-06-14T13:00,,30.4,67,0.315,0.298
1986-06-14T14:00,,29.9,69,0.315,0.298
1986-06-14T15:00,,29.4,72,0.315,0.298
1986-06-14T16:00,,28.9,74,0.315,0.298
1986-06-14T17:00,,28.6,76,0.315,0.298
1986-06-14T18:00,,28.2,78,0.315,0.298
1986-06-14T19:00,,27.9,79,0.314,0.298
1986-06-14T20:00,,27.6,82,0.314,0.298
1986-06-14T21:00,,27.3,84,0.314,0.298
1986-06-14T22:00,,27.1,85,0.314,0.298
1986-06-14T23:00,,27.0,86,0.314,0.298
1986-06-15T00:00,,26.8,86,0.314,0.298
1986-06-15T01:00,,27.2,84,0.314,0.298
1986-06-15T02:00,,28.2,79,0.314,0.298
1986-06-15T03:00,,29.8,71,0.313,0.298
1986-06-15T04:00,,31.3,65,0.312,0.298
1986-06-15T05:00,,32.8,60,0.311,0.298
1986-06-15T06:00,,33.8,54,0.311,0.297
1986-06-15T07:00,,34.2,53,0.31,0.297
1986-06-15T08:00,,34.7,51,0.309,0.297
1986-06-15T09:00,,34.5,50,0.309,0.297
1986-06-15T10:00,,34.5,49,0.309,0.297
1986-06-15T11:00,,33.0,52,0.311,0.297
1986-06-15T12:00,,29.8,65,0.323,0.297
1986-06-15T13:00,,29.0,69,0.324,0.297
1986-06-15T14:00,,28.8,71,0.324,0.297
1986-06-15T15:00,,28.6,73,0.323,0.297
1986-06-15T16:00,,28.2,75,0.323,0.297
1986-06-15T17:00,,27.8,77,0.323,0.297
1986-06-15T18:00,,27.4,80,0.323,0.297
1986-06-15T19:00,,27.2,84,0.323,0.297
1986-06-15T20:00,,27.1,85,0.323,0.297
1986-06-15T21:00,,26.9,86,0.323,0.297
1986-06-15T22:00,,26.6,87,0.323,0.297
1986-06-15T23:00,,26.5,87,0.323,0.297
