time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.5,84,0.349,0.348
1985-06-21T01:00,,22.6,84,0.349,0.348
1985-06-21T02:00,,23.3,80,0.349,0.348
1985-06-21T03:00,,24.4,74,0.349,0.347
1985-06-21T04:00,,25.9,67,0.348,0.347
1985-06-21T05:00,,27.0,61,0.347,0.346
1985-06-21T06:00,,28.0,57,0.346,0.346
1985-06-21T07:00,,29.7,48,0.343,0.345
1985-06-21T08:00,,30.4,47,0.341,0.343
1985-06-21T09:00,,30.4,48,0.338,0.342
1985-06-21T10:00,,30.3,50,0.336,0.341
1985-06-21T11:00,,29.4,53,0.336,0.341
1985-06-21T12:00,,28.5,57,0.335,0.34
1985-06-21T13:00,,27.3,62,0.334,0.34
1985-06-21T14:00,,26.0,68,0.334,0.34
1985-06-21T15:00,,24.9,73,0.334,0.34
1985-06-21T16:00,,24.1,77,0.334,0.34
1985-06-21T17:00,,23.5,80,0.334,0.339
1985-06-21T18:00,,23.2,81,0.334,0.339
1985-06-21T19:00,,22.9,84,0.334,0.339
1985-06-21T20:00,,22.8,85,0.334,0.339
1985-06-21T21:00,,22.7,85,0.334,0.339
1985-06-21T22:00,,22.8,84,0.334,0.339
1985-06-21T23:00,,22.5,86,0.333,0.339
1985-06-22T00:00,,22.6,85,0.333,0.338
1985-06-22T01:00,,22.6,85,0.333,0.338
1985-06-22T02:00,,23.2,81,0.333,0.338
1985-06-22T03:00,,24.5,73,0.333,0.338
1985-06-22T04:00,,25.7,67,0.332,0.337
1985-06-22T05:00,,27.1,61,0.33,0.337
1985-06-22T06:00,,27.7,59,0.33,0.336
1985-06-22T07:00,,28.9,55,0.328,0.335
1985-06-22T08:00,,29.5,54,0.326,0.334
1985-06-22T09:00,,30.1,54,0.324,0.333
1985-06-22T10:00,,29.3,57,0.324,0.333
1985-06-22T11:00,,27.2,65,0.338,0.332
1985-06-22T12:00,,27.2,64,0.337,0.332
1985-06-22T13:00,,26.6,66,0.337,0.332
1985-06-22T14:00,,25.7,70,0.337,0.332
1985-06-22T15:00,,24.9,74,0.337,0.332
1985-06-22T16:00,,24.1,77,0.336,0.332
1985-06-22T17:00,,23.7,79,0.336,0.332
1985-06-22T18:00,,23.4,81,0.336,0.332
1985-06-22T19:00,,23.2,84,0.336,0.331
1985-06-22T20:00,,23.0,85,0.336,0.331
1985-06-22T21:00,,22.9,85,0.335,0.331
1985-06-22T22:00,,22.8,85,0.335,0.331
1985-06-22T23:00,,22.7,85,0.335,0.331
1985-06-23T00:00,,22.6,85,0.335,0.331
1985-06-23T01:00,,22.7,84,0.335,0.331
1985-06-23T02:00,,23.1,82,0.335,0.331
1985-06-23T03:00,,24.6,73,0.334,0.33
1985-06-23T04:00,,25.8,68,0.333,0.33
1985-06-23T05:00,,26.8,64,0.333,0.33
1985-06-23T06:00,,26.8,65,0.333,0.329
1985-06-23T07:00,,29.3,52,0.33,0.329
1985-06-23T08:00,,29.8,51,0.328,0.328
1985-06-23T09:00,,30.1,51,0.326,0.327
1985-06-23T10:00,,29.4,53,0.325,0.326
1985-06-23T11:00,,28.2,58,0.324,0.326
1985-06-23T12:00,,26.3,68,0.324,0.326
1985-06-23T13:00,,25.3,73,0.324,0.326
1985-06-23T14:00,,24.9,75,0.324,0.325
1985-06-23T15:00,,24.5,77,0.324,0.325
1985-06-23T16:00,,24.1,79,0.323,0.325
1985-06-23T17:00,,23.8,80,0.323,0.325
1985-06-23T18:00,,23.5,81,0.323,0.325
1985-06-23T19:00,,23.4,84,0.323,0.325
1985-06-23T20:00,,23.2,85,0.323,0.325
1985-06-23T21:00,,23.1,85,0.323,0.325
1985-06-23T22:00,,23.1,85,0.323,0.325
1985-06-23T23:00,,23.1,85,0.324,0.325
