time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.7,84,0.209,0.166
1985-06-21T01:00,,22.8,83,0.209,0.166
1985-06-21T02:00,,23.7,78,0.209,0.166
1985-06-21T03:00,,25.3,69,0.208,0.166
1985-06-21T04:00,,27.0,60,0.207,0.166
1985-06-21T05:00,,28.7,52,0.207,0.166
1985-06-21T06:00,,30.0,48,0.205,0.165
1985-06-21T07:00,,31.7,42,0.204,0.165
1985-06-21T08:00,,32.9,38,0.202,0.165
1985-06-21T09:00,,33.0,37,0.2,0.165
1985-06-21T10:00,,32.8,39,0.198,0.165
1985-06-21T11:00,,31.1,45,0.199,0.164
1985-06-21T12:00,,29.8,52,0.199,0.164
1985-06-21T13:00,,28.7,58,0.199,0.164
1985-06-21T14:00,,27.6,62,0.198,0.164
1985-06-21T15:00,,26.5,66,0.198,0.164
1985-06-21T16:00,,25.5,71,0.198,0.164
1985-06-21T17:00,,24.6,75,0.198,0.164
1985-06-21T18:00,,23.9,79,0.198,0.164
1985-06-21T19:00,,23.8,81,0.198,0.164
1985-06-21T20:00,,23.4,83,0.198,0.164
1985-06-21T21:00,,23.2,84,0.197,0.164
1985-06-21T22:00,,23.1,84,0.197,0.164
1985-06-21T23:00,,23.0,85,0.197,0.165
1985-06-22T00:00,,22.9,85,0.197,0.165
1985-06-22T01:00,,23.1,84,0.197,0.165
1985-06-22T02:00,,24.0,79,0.197,0.165
1985-06-22T03:00,,25.3,71,0.196,0.164
1985-06-22T04:00,,26.6,64,0.196,0.164
1985-06-22T05:00,,28.6,55,0.195,0.164
1985-06-22T06:00,,29.5,51,0.194,0.164
1985-06-22T07:00,,31.6,45,0.193,0.164
1985-06-22T08:00,,31.9,45,0.192,0.164
1985-06-22T09:00,,32.2,44,0.191,0.164
1985-06-22T10:00,,32.0,45,0.191,0.163
1985-06-22T11:00,,29.6,54,0.192,0.163
1985-06-22T12:00,,28.5,58,0.192,0.163
1985-06-22T13:00,,27.5,62,0.192,0.163
1985-06-22T14:00,,26.6,65,0.192,0.163
1985-06-22T15:00,,26.0,68,0.191,0.163
1985-06-22T16:00,,25.1,73,0.193,0.163
1985-06-22T17:00,,24.3,78,0.193,0.163
1985-06-22T18:00,,23.8,80,0.193,0.163
1985-06-22T19:00,,23.9,80,0.193,0.163
1985-06-22T20:00,,23.7,81,0.193,0.163
1985-06-22T21:00,,23.4,83,0.193,0.163
1985-06-22T22:00,,23.2,83,0.193,0.163
1985-06-22T23:00,,23.0,84,0.193,0.163
1985-06-23T00:00,,22.8,85,0.192,0.163
1985-06-23T01:00,,22.9,85,0.192,0.163
1985-06-23T02:00,,23.9,79,0.192,0.163
1985-06-23T03:00,,25.8,68,0.192,0.163
1985-06-23T04:00,,27.1,61,0.192,0.163
1985-06-23T05:00,,28.1,57,0.191,0.163
1985-06-23T06:00,,28.9,54,0.191,0.163
1985-06-23T07:00,,31.2,44,0.19,0.163
1985-06-23T08:00,,31.6,42,0.188,0.163
1985-06-23T09:00,,31.9,42,0.187,0.163
1985-06-23T10:00,,31.4,44,0.187,0.163
1985-06-23T11:00,,29.6,53,0.188,0.163
1985-06-23T12:00,,27.7,62,0.188,0.163
1985-06-23T13:00,,26.2,69,0.188,0.163
1985-06-23T14:00,,25.2,74,0.19,0.163
1985-06-23T15:00,,24.3,81,0.192,0.163
1985-06-23T16:00,,23.8,83,0.193,0.163
1985-06-23T17:00,,23.6,85,0.193,0.163
1985-06-23T18:00,,23.4,86,0.194,0.163
1985-06-23T19:00,,23.4,84,0.194,0.163
1985-06-23T20:00,,23.4,84,0.194,0.163
1985-06-23T21:00,,23.4,85,0.194,0.163
1985-06-23T22:00,,23.1,87,0.197,0.163
1985-06-23T23:00,,22.8,89,0.201,0.163
