time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,21.9,90,0.427,0.422
1985-06-21T01:00,,21.9,91,0.427,0.422
1985-06-21T02:00,,22.5,87,0.427,0.421
1985-06-21T03:00,,23.9,79,0.427,0.421
1985-06-21T04:00,,25.1,73,0.426,0.42
1985-06-21T05:00,,26.3,67,0.424,0.419
1985-06-21T06:00,,26.9,65,0.422,0.418
1985-06-21T07:00,,27.8,60,0.42,0.417
1985-06-21T08:00,,28.5,58,0.419,0.416
1985-06-21T09:00,,28.6,58,0.417,0.415
1985-06-21T10:00,,28.2,59,0.416,0.414
1985-06-21T11:00,,27.3,63,0.415,0.414
1985-06-21T12:00,,26.5,67,0.414,0.413
1985-06-21T13:00,,25.4,72,0.413,0.413
1985-06-21T14:00,,24.2,77,0.413,0.413
1985-06-21T15:00,,23.4,82,0.413,0.412
1985-06-21T16:00,,23.0,84,0.413,0.412
1985-06-21T17:00,,22.7,86,0.412,0.412
1985-06-21T18:00,,22.6,87,0.412,0.412
1985-06-21T19:00,,22.5,89,0.412,0.412
1985-06-21T20:00,,22.5,89,0.412,0.411
1985-06-21T21:00,,22.4,89,0.412,0.411
1985-06-21T22:00,,22.4,88,0.412,0.411
1985-06-21T23:00,,22.2,90,0.412,0.411
1985-06-22T00:00,,22.2,89,0.412,0.411
1985-06-22T01:00,,22.2,89,0.412,0.411
1985-06-22T02:00,,22.5,87,0.412,0.41
1985-06-22T03:00,,23.8,80,0.411,0.41
1985-06-22T04:00,,24.8,74,0.41,0.409
1985-06-22T05:00,,26.1,67,0.409,0.409
1985-06-22T06:00,,26.5,66,0.408,0.408
1985-06-22T07:00,,27.9,63,0.406,0.407
1985-06-22T08:00,,28.3,64,0.404,0.406
1985-06-22T09:00,,27.5,67,0.403,0.405
1985-06-22T10:00,,26.5,69,0.406,0.404
1985-06-22T11:00,,26.8,66,0.405,0.404
1985-06-22T12:00,,26.0,69,0.404,0.404
1985-06-22T13:00,,25.0,73,0.404,0.403
1985-06-22T14:00,,24.1,78,0.403,0.403
1985-06-22T15:00,,23.4,82,0.403,0.403
1985-06-22T16:00,,23.1,83,0.403,0.403
1985-06-22T17:00,,23.1,84,0.403,0.403
1985-06-22T18:00,,23.0,86,0.403,0.403
1985-06-22T19:00,,22.8,88,0.403,0.402
1985-06-22T20:00,,22.7,88,0.403,0.402
1985-06-22T21:00,,22.7,87,0.402,0.402
1985-06-22T22:00,,22.3,88,0.402,0.402
1985-06-22T23:00,,22.2,89,0.402,0.402
1985-06-23T00:00,,22.1,89,0.402,0.402
1985-06-23T01:00,,22.2,89,0.402,0.402
1985-06-23T02:00,,22.6,87,0.402,0.401
1985-06-23T03:00,,23.7,81,0.402,0.401
1985-06-23T04:00,,25.0,74,0.402,0.401
1985-06-23T05:00,,26.1,69,0.401,0.4
1985-06-23T06:00,,26.4,68,0.401,0.4
1985-06-23T07:00,,27.4,63,0.4,0.399
1985-06-23T08:00,,28.0,61,0.401,0.398
1985-06-23T09:00,,26.9,67,0.402,0.398
1985-06-23T10:00,,26.6,72,0.404,0.397
1985-06-23T11:00,,25.1,77,0.418,0.397
1985-06-23T12:00,,25.0,75,0.419,0.397
1985-06-23T13:00,,24.7,76,0.418,0.397
1985-06-23T14:00,,24.1,79,0.418,0.397
1985-06-23T15:00,,23.5,82,0.417,0.397
1985-06-23T16:00,,23.1,85,0.417,0.397
1985-06-23T17:00,,22.8,86,0.417,0.397
1985-06-23T18:00,,22.7,87,0.416,0.397
1985-06-23T19:00,,22.6,89,0.416,0.397
1985-06-23T20:00,,22.5,90,0.415,0.397
1985-06-23T21:00,,22.7,88,0.415,0.397
1985-06-23T22:00,,22.7,88,0.415,0.397
1985-06-23T23:00,,22.6,88,0.414,0.397
