time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,20.5,92,0.273,0.184
1985-06-21T01:00,,20.7,91,0.273,0.184
1985-06-21T02:00,,21.3,88,0.273,0.184
1985-06-21T03:00,,22.9,78,0.273,0.185
1985-06-21T04:00,,24.6,69,0.272,0.185
1985-06-21T05:00,,25.1,67,0.272,0.185
1985-06-21T06:00,,25.8,65,0.271,0.185
1985-06-21T07:00,,27.4,60,0.268,0.185
1985-06-21T08:00,,27.1,61,0.266,0.185
1985-06-21T09:00,,26.4,62,0.266,0.185
1985-06-21T10:00,,27.4,58,0.264,0.185
1985-06-21T11:00,,27.2,58,0.263,0.185
1985-06-21T12:00,,26.2,61,0.262,0.185
1985-06-21T13:00,,24.7,68,0.261,0.185
1985-06-21T14:00,,23.5,74,0.26,0.185
1985-06-21T15:00,,22.5,79,0.26,0.185
1985-06-21T16:00,,21.8,83,0.259,0.185
1985-06-21T17:00,,21.5,85,0.259,0.185
1985-06-21T18:00,,21.4,85,0.258,0.185
1985-06-21T19:00,,21.2,87,0.258,0.185
1985-06-21T20:00,,21.1,88,0.257,0.185
1985-06-21T21:00,,21.2,87,0.257,0.186
1985-06-21T22:00,,21.2,88,0.257,0.186
1985-06-21T23:00,,21.0,89,0.256,0.186
1985-06-22T00:00,,21.0,89,0.256,0.186
1985-06-22T01:00,,21.1,89,0.256,0.186
1985-06-22T02:00,,21.8,85,0.255,0.186
1985-06-22T03:00,,23.3,76,0.255,0.186
1985-06-22T04:00,,24.7,70,0.254,0.186
1985-06-22T05:00,,25.6,65,0.254,0.186
1985-06-22T06:00,,26.5,61,0.254,0.186
1985-06-22T07:00,,27.8,57,0.252,0.186
1985-06-22T08:00,,28.4,56,0.25,0.186
1985-06-22T09:00,,27.1,61,0.249,0.186
1985-06-22T10:00,,26.8,60,0.248,0.185
1985-06-22T11:00,,26.6,61,0.248,0.185
1985-06-22T12:00,,25.7,65,0.247,0.185
1985-06-22T13:00,,24.1,72,0.247,0.185
1985-06-22T14:00,,22.9,77,0.246,0.186
1985-06-22T15:00,,22.2,82,0.246,0.186
1985-06-22T16:00,,21.7,85,0.245,0.186
1985-06-22T17:00,,21.4,88,0.245,0.186
1985-06-22T18:00,,21.3,88,0.245,0.186
1985-06-22T19:00,,21.4,88,0.245,0.186
1985-06-22T20:00,,21.2,89,0.244,0.186
1985-06-22T21:00,,21.1,89,0.244,0.186
1985-06-22T22:00,,21.3,87,0.244,0.186
1985-06-22T23:00,,21.5,86,0.244,0.186
1985-06-23T00:00,,21.6,86,0.243,0.186
1985-06-23T01:00,,21.7,86,0.243,0.186
1985-06-23T02:00,,22.1,84,0.243,0.186
1985-06-23T03:00,,23.2,78,0.242,0.186
1985-06-23T04:00,,24.6,71,0.242,0.186
1985-06-23T05:00,,25.0,69,0.241,0.186
1985-06-23T06:00,,25.6,66,0.241,0.186
1985-06-23T07:00,,26.5,64,0.239,0.186
1985-06-23T08:00,,27.6,61,0.237,0.186
1985-06-23T09:00,,26.1,65,0.243,0.186
1985-06-23T10:00,,24.2,73,0.245,0.186
1985-06-23T11:00,,24.0,72,0.246,0.186
1985-06-23T12:00,,23.5,76,0.246,0.186
1985-06-23T13:00,,22.5,80,0.246,0.186
1985-06-23T14:00,,21.9,83,0.246,0.186
1985-06-23T15:00,,21.5,85,0.247,0.186
1985-06-23T16:00,,21.1,88,0.247,0.186
1985-06-23T17:00,,21.1,87,0.247,0.186
1985-06-23T18:00,,21.2,87,0.247,0.186
1985-06-23T19:00,,21.1,88,0.247,0.186
1985-06-23T20:00,,21.0,88,0.246,0.186
1985-06-23T21:00,,21.1,88,0.246,0.186
1985-06-23T22:00,,21.0,88,0.246,0.186
1985-06-23T23:00,,21.1,87,0.246,0.186
