time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,19.6,97,0.486,0.481
1985-06-21T01:00,,19.6,98,0.487,0.481
1985-06-21T02:00,,19.9,95,0.487,0.481
1985-06-21T03:00,,20.4,91,0.487,0.481
1985-06-21T04:00,,21.1,87,0.489,0.48
1985-06-21T05:00,,21.9,85,0.491,0.48
1985-06-21T06:00,,22.3,81,0.491,0.48
1985-06-21T07:00,,23.4,80,0.489,0.48
1985-06-21T08:00,,23.9,79,0.487,0.48
1985-06-21T09:00,,23.7,78,0.487,0.479
1985-06-21T10:00,,20.8,86,0.519,0.48
1985-06-21T11:00,,20.8,88,0.448,0.504
1985-06-21T12:00,,20.4,90,0.453,0.501
1985-06-21T13:00,,19.9,93,0.456,0.498
1985-06-21T14:00,,19.5,96,0.458,0.497
1985-06-21T15:00,,19.4,97,0.46,0.495
1985-06-21T16:00,,19.4,97,0.462,0.494
1985-06-21T17:00,,19.5,97,0.464,0.492
1985-06-21T18:00,,19.4,97,0.465,0.491
1985-06-21T19:00,,19.6,98,0.466,0.49
1985-06-21T20:00,,19.6,98,0.467,0.49
1985-06-21T21:00,,19.7,97,0.468,0.489
1985-06-21T22:00,,19.7,97,0.468,0.488
1985-06-21T23:00,,19.8,96,0.47,0.487
1985-06-22T00:00,,19.6,96,0.471,0.487
1985-06-22T01:00,,19.4,97,0.472,0.486
1985-06-22T02:00,,19.7,95,0.473,0.485
1985-06-22T03:00,,20.0,93,0.475,0.485
1985-06-22T04:00,,21.4,86,0.476,0.484
1985-06-22T05:00,,21.7,83,0.483,0.484
1985-06-22T06:00,,22.4,82,0.483,0.484
1985-06-22T07:00,,22.4,83,0.484,0.483
1985-06-22T08:00,,23.5,82,0.484,0.483
1985-06-22T09:00,,21.2,87,0.504,0.483
1985-06-22T10:00,,21.6,86,0.5,0.484
1985-06-22T11:00,,21.2,88,0.498,0.484
1985-06-22T12:00,,20.6,89,0.499,0.484
1985-06-22T13:00,,19.9,94,0.497,0.485
1985-06-22T14:00,,19.6,96,0.496,0.485
1985-06-22T15:00,,19.5,98,0.495,0.485
1985-06-22T16:00,,19.7,95,0.495,0.485
1985-06-22T17:00,,19.5,97,0.494,0.485
1985-06-22T18:00,,19.5,97,0.493,0.485
1985-06-22T19:00,,19.8,97,0.492,0.485
1985-06-22T20:00,,19.8,96,0.492,0.485
1985-06-22T21:00,,19.6,97,0.492,0.485
1985-06-22T22:00,,19.5,99,0.493,0.485
1985-06-22T23:00,,19.6,99,0.493,0.485
1985-06-23T00:00,,19.4,100,0.495,0.485
1985-06-23T01:00,,19.4,100,0.496,0.485
1985-06-23T02:00,,19.3,100,0.497,0.485
1985-06-23T03:00,,19.7,96,0.496,0.485
1985-06-23T04:00,,20.3,92,0.496,0.485
1985-06-23T05:00,,21.4,87,0.495,0.485
1985-06-23T06:00,,21.8,83,0.495,0.485
1985-06-23T07:00,,22.1,83,0.496,0.485
1985-06-23T08:00,,22.6,79,0.497,0.485
1985-06-23T09:00,,21.9,86,0.501,0.485
1985-06-23T10:00,,21.4,88,0.504,0.486
1985-06-23T11:00,,20.5,92,0.504,0.486
1985-06-23T12:00,,19.7,95,0.506,0.487
1985-06-23T13:00,,19.2,100,0.509,0.488
1985-06-23T14:00,,19.1,100,0.507,0.49
1985-06-23T15:00,,19.1,100,0.504,0.49
1985-06-23T16:00,,19.1,100,0.502,0.49
1985-06-23T17:00,,19.2,100,0.501,0.491
1985-06-23T18:00,,19.1,100,0.503,0.491
1985-06-23T19:00,,19.2,100,0.503,0.491
1985-06-23T20:00,,19.2,100,0.503,0.492
1985-06-23T21:00,,19.1,100,0.502,0.492
1985-06-23T22:00,,19.2,100,0.503,0.492
1985-06-23T23:00,,19.2,100,0.507,0.493
