time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,21.6,87,0.325,0.284
1985-06-21T01:00,,21.5,88,0.325,0.284
1985-06-21T02:00,,22.8,80,0.325,0.284
1985-06-21T03:00,,24.1,72,0.324,0.284
1985-06-21T04:00,,25.3,66,0.323,0.284
1985-06-21T05:00,,26.6,61,0.323,0.284
1985-06-21T06:00,,27.5,57,0.323,0.284
1985-06-21T07:00,,28.8,51,0.322,0.284
1985-06-21T08:00,,28.9,53,0.321,0.283
1985-06-21T09:00,,29.5,53,0.32,0.283
1985-06-21T10:00,,29.4,53,0.319,0.283
1985-06-21T11:00,,28.1,58,0.324,0.283
1985-06-21T12:00,,27.7,58,0.323,0.283
1985-06-21T13:00,,26.3,63,0.323,0.283
1985-06-21T14:00,,24.7,70,0.323,0.283
1985-06-21T15:00,,23.6,76,0.322,0.283
1985-06-21T16:00,,22.9,80,0.322,0.283
1985-06-21T17:00,,22.5,82,0.322,0.283
1985-06-21T18:00,,22.3,84,0.322,0.283
1985-06-21T19:00,,22.1,87,0.322,0.283
1985-06-21T20:00,,21.8,88,0.322,0.283
1985-06-21T21:00,,21.6,90,0.322,0.283
1985-06-21T22:00,,21.5,90,0.322,0.283
1985-06-21T23:00,,21.6,90,0.322,0.283
1985-06-22T00:00,,21.6,90,0.322,0.283
1985-06-22T01:00,,21.6,89,0.321,0.283
1985-06-22T02:00,,22.5,83,0.321,0.283
1985-06-22T03:00,,23.7,75,0.321,0.283
1985-06-22T04:00,,24.7,70,0.321,0.283
1985-06-22T05:00,,25.9,64,0.32,0.283
1985-06-22T06:00,,27.0,59,0.319,0.283
1985-06-22T07:00,,28.8,53,0.319,0.283
1985-06-22T08:00,,29.4,52,0.318,0.283
1985-06-22T09:00,,29.6,53,0.316,0.282
1985-06-22T10:00,,27.3,61,0.319,0.282
1985-06-22T11:00,,26.9,62,0.32,0.282
1985-06-22T12:00,,26.7,61,0.32,0.282
1985-06-22T13:00,,25.6,66,0.319,0.282
1985-06-22T14:00,,24.4,72,0.319,0.282
1985-06-22T15:00,,23.5,77,0.319,0.282
1985-06-22T16:00,,22.9,81,0.319,0.282
1985-06-22T17:00,,22.6,83,0.319,0.282
1985-06-22T18:00,,22.3,85,0.319,0.282
1985-06-22T19:00,,22.0,89,0.319,0.282
1985-06-22T20:00,,21.9,90,0.318,0.282
1985-06-22T21:00,,21.8,90,0.318,0.282
1985-06-22T22:00,,21.7,90,0.318,0.282
1985-06-22T23:00,,21.7,90,0.318,0.282
1985-06-23T00:00,,21.6,90,0.318,0.282
1985-06-23T01:00,,21.8,88,0.318,0.282
1985-06-23T02:00,,22.8,81,0.318,0.282
1985-06-23T03:00,,24.2,73,0.318,0.282
1985-06-23T04:00,,25.5,66,0.317,0.282
1985-06-23T05:00,,26.3,63,0.316,0.282
1985-06-23T06:00,,27.2,60,0.315,0.282
1985-06-23T07:00,,28.4,55,0.315,0.282
1985-06-23T08:00,,29.1,54,0.314,0.282
1985-06-23T09:00,,28.2,57,0.314,0.282
1985-06-23T10:00,,28.0,56,0.315,0.282
1985-06-23T11:00,,26.7,61,0.316,0.282
1985-06-23T12:00,,25.5,67,0.315,0.282
1985-06-23T13:00,,24.3,73,0.315,0.282
1985-06-23T14:00,,23.4,79,0.316,0.282
1985-06-23T15:00,,22.8,83,0.316,0.282
1985-06-23T16:00,,22.4,86,0.317,0.282
1985-06-23T17:00,,22.2,88,0.317,0.282
1985-06-23T18:00,,22.1,88,0.317,0.282
1985-06-23T19:00,,22.3,87,0.317,0.282
1985-06-23T20:00,,22.2,89,0.318,0.282
1985-06-23T21:00,,22.0,90,0.318,0.282
1985-06-23T22:00,,21.9,90,0.318,0.282
1985-06-23T23:00,,21.9,90,0.318,0.282
