time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.7,94,0.497,0.477
1985-06-21T01:00,,22.6,94,0.498,0.477
1985-06-21T02:00,,22.8,96,0.498,0.478
1985-06-21T03:00,,23.6,94,0.497,0.478
1985-06-21T04:00,,24.9,90,0.501,0.479
1985-06-21T05:00,,25.7,84,0.515,0.48
1985-06-21T06:00,,24.5,89,0.499,0.488
1985-06-21T07:00,,25.9,82,0.439,0.498
1985-06-21T08:00,,25.6,86,0.488,0.491
1985-06-21T09:00,,26.3,81,0.493,0.491
1985-06-21T10:00,,25.4,83,0.504,0.491
1985-06-21T11:00,,24.9,85,0.464,0.503
1985-06-21T12:00,,24.7,88,0.441,0.487
1985-06-21T13:00,,23.3,94,0.462,0.462
1985-06-21T14:00,,23.1,95,0.46,0.464
1985-06-21T15:00,,22.9,96,0.461,0.464
1985-06-21T16:00,,22.9,96,0.465,0.464
1985-06-21T17:00,,22.8,95,0.477,0.465
1985-06-21T18:00,,22.9,94,0.478,0.466
1985-06-21T19:00,,22.7,97,0.479,0.466
1985-06-21T20:00,,23.0,95,0.481,0.467
1985-06-21T21:00,,22.9,96,0.482,0.467
1985-06-21T22:00,,22.9,96,0.484,0.467
1985-06-21T23:00,,22.8,97,0.491,0.468
1985-06-22T00:00,,22.8,97,0.498,0.468
1985-06-22T01:00,,22.7,97,0.5,0.47
1985-06-22T02:00,,23.2,97,0.499,0.471
1985-06-22T03:00,,23.9,95,0.5,0.472
1985-06-22T04:00,,24.9,90,0.52,0.473
1985-06-22T05:00,,25.2,87,0.457,0.503
1985-06-22T06:00,,24.1,93,0.476,0.495
1985-06-22T07:00,,25.2,89,0.489,0.478
1985-06-22T08:00,,26.4,83,0.485,0.479
1985-06-22T09:00,,24.9,86,0.506,0.48
1985-06-22T10:00,,25.0,87,0.47,0.494
1985-06-22T11:00,,24.6,88,0.451,0.48
1985-06-22T12:00,,23.8,93,0.452,0.457
1985-06-22T13:00,,23.7,94,0.453,0.457
1985-06-22T14:00,,23.3,96,0.455,0.458
1985-06-22T15:00,,23.3,96,0.46,0.458
1985-06-22T16:00,,22.9,96,0.471,0.458
1985-06-22T17:00,,23.0,96,0.472,0.459
1985-06-22T18:00,,23.0,96,0.473,0.46
1985-06-22T19:00,,22.9,98,0.477,0.461
1985-06-22T20:00,,23.0,97,0.485,0.461
1985-06-22T21:00,,23.0,96,0.497,0.462
1985-06-22T22:00,,23.0,96,0.5,0.465
1985-06-22T23:00,,23.0,96,0.505,0.466
1985-06-23T00:00,,23.0,96,0.505,0.468
1985-06-23T01:00,,23.1,96,0.506,0.47
1985-06-23T02:00,,23.2,96,0.508,0.472
1985-06-23T03:00,,23.6,95,0.507,0.474
1985-06-23T04:00,,23.7,94,0.514,0.476
1985-06-23T05:00,,24.1,92,0.509,0.482
1985-06-23T06:00,,23.7,94,0.497,0.483
1985-06-23T07:00,,24.9,89,0.51,0.481
1985-06-23T08:00,,24.8,91,0.478,0.507
1985-06-23T09:00,,24.1,94,0.499,0.504
1985-06-23T10:00,,24.2,94,0.478,0.5
1985-06-23T11:00,,23.6,95,0.468,0.489
1985-06-23T12:00,,23.3,96,0.472,0.473
1985-06-23T13:00,,23.0,97,0.497,0.477
1985-06-23T14:00,,22.8,97,0.504,0.476
1985-06-23T15:00,,23.0,96,0.47,0.49
1985-06-23T16:00,,23.0,96,0.471,0.497
1985-06-23T17:00,,23.0,95,0.474,0.489
1985-06-23T18:00,,22.7,96,0.497,0.477
1985-06-23T19:00,,22.6,97,0.455,0.497
1985-06-23T20:00,,22.7,97,0.478,0.492
1985-06-23T21:00,,22.8,97,0.498,0.491
1985-06-23T22:00,,22.8,97,0.513,0.491
1985-06-23T23:00,,22.9,97,0.518,0.494
