time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,21.6,91,0.318,0.268
1985-06-21T01:00,,21.5,92,0.318,0.268
1985-06-21T02:00,,22.0,90,0.319,0.268
1985-06-21T03:00,,22.8,84,0.32,0.268
1985-06-21T04:00,,24.1,76,0.319,0.268
1985-06-21T05:00,,25.3,70,0.319,0.268
1985-06-21T06:00,,26.1,68,0.317,0.268
1985-06-21T07:00,,27.7,62,0.315,0.268
1985-06-21T08:00,,28.0,62,0.313,0.268
1985-06-21T09:00,,27.9,63,0.311,0.267
1985-06-21T10:00,,27.9,63,0.309,0.267
1985-06-21T11:00,,27.8,60,0.307,0.267
1985-06-21T12:00,,26.3,65,0.307,0.267
1985-06-21T13:00,,24.8,72,0.306,0.267
1985-06-21T14:00,,23.8,77,0.306,0.267
1985-06-21T15:00,,23.0,81,0.306,0.267
1985-06-21T16:00,,22.6,84,0.305,0.267
1985-06-21T17:00,,22.4,85,0.305,0.267
1985-06-21T18:00,,22.3,87,0.305,0.267
1985-06-21T19:00,,21.9,91,0.305,0.267
1985-06-21T20:00,,21.8,91,0.305,0.267
1985-06-21T21:00,,21.7,92,0.305,0.267
1985-06-21T22:00,,21.8,91,0.305,0.267
1985-06-21T23:00,,21.6,91,0.305,0.267
1985-06-22T00:00,,21.6,91,0.305,0.267
1985-06-22T01:00,,21.6,91,0.305,0.267
1985-06-22T02:00,,22.0,89,0.306,0.267
1985-06-22T03:00,,22.4,86,0.306,0.267
1985-06-22T04:00,,23.2,80,0.306,0.267
1985-06-22T05:00,,24.8,72,0.306,0.267
1985-06-22T06:00,,26.3,65,0.304,0.267
1985-06-22T07:00,,28.0,61,0.302,0.266
1985-06-22T08:00,,28.5,60,0.3,0.266
1985-06-22T09:00,,28.0,61,0.298,0.266
1985-06-22T10:00,,26.9,64,0.298,0.265
1985-06-22T11:00,,26.7,63,0.297,0.265
1985-06-22T12:00,,25.6,69,0.297,0.265
1985-06-22T13:00,,24.4,74,0.296,0.265
1985-06-22T14:00,,23.5,79,0.296,0.265
1985-06-22T15:00,,23.0,82,0.296,0.265
1985-06-22T16:00,,22.6,84,0.296,0.265
1985-06-22T17:00,,22.3,87,0.296,0.265
1985-06-22T18:00,,22.1,88,0.296,0.265
1985-06-22T19:00,,21.9,92,0.296,0.265
1985-06-22T20:00,,21.8,93,0.296,0.265
1985-06-22T21:00,,21.7,93,0.296,0.265
1985-06-22T22:00,,21.6,93,0.296,0.265
1985-06-22T23:00,,21.6,92,0.296,0.265
1985-06-23T00:00,,21.5,92,0.296,0.265
1985-06-23T01:00,,21.8,90,0.296,0.265
1985-06-23T02:00,,22.4,86,0.296,0.265
1985-06-23T03:00,,23.3,80,0.296,0.265
1985-06-23T04:00,,24.4,75,0.297,0.265
1985-06-23T05:00,,25.1,71,0.296,0.265
1985-06-23T06:00,,26.1,67,0.295,0.265
1985-06-23T07:00,,27.4,62,0.293,0.265
1985-06-23T08:00,,28.2,60,0.291,0.264
1985-06-23T09:00,,27.9,62,0.289,0.264
1985-06-23T10:00,,25.9,68,0.293,0.264
1985-06-23T11:00,,24.7,74,0.298,0.264
1985-06-23T12:00,,24.2,75,0.3,0.264
1985-06-23T13:00,,23.3,82,0.3,0.264
1985-06-23T14:00,,22.7,85,0.3,0.264
1985-06-23T15:00,,22.4,87,0.3,0.264
1985-06-23T16:00,,22.1,89,0.3,0.264
1985-06-23T17:00,,22.0,90,0.301,0.264
1985-06-23T18:00,,21.9,91,0.301,0.264
1985-06-23T19:00,,22.0,91,0.301,0.264
1985-06-23T20:00,,21.7,93,0.302,0.264
1985-06-23T21:00,,21.5,95,0.302,0.264
1985-06-23T22:00,,21.4,95,0.303,0.264
1985-06-23T23:00,,21.5,94,0.303,0.264
