time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,21.2,92,0.416,0.378
1985-06-21T01:00,,21.3,92,0.416,0.378
1985-06-21T02:00,,21.6,90,0.416,0.378
1985-06-21T03:00,,22.7,82,0.416,0.378
1985-06-21T04:00,,23.8,77,0.416,0.378
1985-06-21T05:00,,24.8,71,0.414,0.378
1985-06-21T06:00,,25.6,69,0.413,0.377
1985-06-21T07:00,,27.1,61,0.411,0.377
1985-06-21T08:00,,27.3,62,0.409,0.376
1985-06-21T09:00,,27.0,65,0.409,0.376
1985-06-21T10:00,,26.5,65,0.415,0.376
1985-06-21T11:00,,25.8,69,0.415,0.376
1985-06-21T12:00,,25.0,72,0.414,0.375
1985-06-21T13:00,,23.8,77,0.413,0.375
1985-06-21T14:00,,22.8,83,0.412,0.375
1985-06-21T15:00,,22.1,87,0.412,0.375
1985-06-21T16:00,,21.8,90,0.412,0.376
1985-06-21T17:00,,21.7,90,0.411,0.376
1985-06-21T18:00,,21.7,90,0.411,0.376
1985-06-21T19:00,,21.7,91,0.411,0.376
1985-06-21T20:00,,21.6,91,0.411,0.376
1985-06-21T21:00,,21.5,93,0.411,0.376
1985-06-21T22:00,,21.2,94,0.411,0.376
1985-06-21T23:00,,21.2,93,0.41,0.376
1985-06-22T00:00,,21.1,93,0.41,0.376
1985-06-22T01:00,,21.1,93,0.41,0.376
1985-06-22T02:00,,21.5,90,0.41,0.376
1985-06-22T03:00,,22.6,82,0.409,0.376
1985-06-22T04:00,,23.8,75,0.409,0.376
1985-06-22T05:00,,25.0,69,0.408,0.376
1985-06-22T06:00,,25.5,68,0.408,0.375
1985-06-22T07:00,,27.3,63,0.405,0.375
1985-06-22T08:00,,27.8,63,0.403,0.374
1985-06-22T09:00,,26.6,65,0.411,0.374
1985-06-22T10:00,,26.1,67,0.411,0.374
1985-06-22T11:00,,25.6,69,0.41,0.373
1985-06-22T12:00,,24.7,74,0.41,0.373
1985-06-22T13:00,,23.6,79,0.409,0.373
1985-06-22T14:00,,22.6,84,0.409,0.373
1985-06-22T15:00,,22.2,86,0.408,0.373
1985-06-22T16:00,,21.9,88,0.408,0.373
1985-06-22T17:00,,21.8,89,0.408,0.374
1985-06-22T18:00,,21.6,90,0.408,0.374
1985-06-22T19:00,,21.6,91,0.407,0.374
1985-06-22T20:00,,21.6,91,0.407,0.374
1985-06-22T21:00,,21.3,92,0.407,0.374
1985-06-22T22:00,,21.1,93,0.407,0.374
1985-06-22T23:00,,20.9,94,0.406,0.374
1985-06-23T00:00,,21.0,93,0.406,0.374
1985-06-23T01:00,,21.2,92,0.406,0.374
1985-06-23T02:00,,21.4,92,0.407,0.374
1985-06-23T03:00,,22.6,85,0.407,0.374
1985-06-23T04:00,,24.4,75,0.406,0.374
1985-06-23T05:00,,24.9,73,0.406,0.373
1985-06-23T06:00,,25.4,71,0.406,0.373
1985-06-23T07:00,,26.9,62,0.404,0.373
1985-06-23T08:00,,26.8,65,0.404,0.373
1985-06-23T09:00,,26.0,70,0.41,0.372
1985-06-23T10:00,,25.5,69,0.414,0.372
1985-06-23T11:00,,23.9,78,0.423,0.372
1985-06-23T12:00,,23.3,82,0.424,0.372
1985-06-23T13:00,,22.8,85,0.424,0.372
1985-06-23T14:00,,22.3,87,0.424,0.373
1985-06-23T15:00,,21.9,90,0.424,0.373
1985-06-23T16:00,,21.6,92,0.423,0.373
1985-06-23T17:00,,21.4,93,0.423,0.373
1985-06-23T18:00,,21.3,94,0.423,0.373
1985-06-23T19:00,,21.5,93,0.423,0.373
1985-06-23T20:00,,21.4,93,0.422,0.373
1985-06-23T21:00,,21.3,94,0.422,0.373
1985-06-23T22:00,,21.1,96,0.422,0.374
1985-06-23T23:00,,21.0,97,0.422,0.374
