time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,21.3,90,0.358,0.3
1985-06-21T01:00,,21.5,89,0.357,0.3
1985-06-21T02:00,,22.4,83,0.357,0.3
1985-06-21T03:00,,24.0,73,0.356,0.3
1985-06-21T04:00,,25.2,67,0.356,0.3
1985-06-21T05:00,,26.4,62,0.355,0.3
1985-06-21T06:00,,27.5,57,0.354,0.3
1985-06-21T07:00,,28.8,51,0.354,0.299
1985-06-21T08:00,,29.3,50,0.353,0.299
1985-06-21T09:00,,29.5,51,0.351,0.299
1985-06-21T10:00,,29.8,52,0.349,0.299
1985-06-21T11:00,,27.6,60,0.353,0.299
1985-06-21T12:00,,27.1,62,0.353,0.299
1985-06-21T13:00,,25.8,68,0.352,0.299
1985-06-21T14:00,,24.4,74,0.352,0.299
1985-06-21T15:00,,23.3,80,0.351,0.299
1985-06-21T16:00,,22.5,84,0.351,0.299
1985-06-21T17:00,,22.2,87,0.351,0.299
1985-06-21T18:00,,22.1,88,0.35,0.299
1985-06-21T19:00,,22.2,88,0.35,0.299
1985-06-21T20:00,,22.0,89,0.35,0.299
1985-06-21T21:00,,21.9,89,0.35,0.299
1985-06-21T22:00,,21.8,90,0.349,0.299
1985-06-21T23:00,,21.9,90,0.349,0.299
1985-06-22T00:00,,21.7,90,0.349,0.299
1985-06-22T01:00,,21.8,90,0.349,0.299
1985-06-22T02:00,,22.3,86,0.349,0.299
1985-06-22T03:00,,23.4,78,0.348,0.299
1985-06-22T04:00,,24.8,69,0.347,0.299
1985-06-22T05:00,,26.5,61,0.346,0.299
1985-06-22T06:00,,26.8,60,0.347,0.299
1985-06-22T07:00,,28.6,55,0.347,0.299
1985-06-22T08:00,,29.5,54,0.346,0.299
1985-06-22T09:00,,30.0,53,0.344,0.298
1985-06-22T10:00,,27.6,61,0.36,0.298
1985-06-22T11:00,,26.3,66,0.373,0.298
1985-06-22T12:00,,26.1,66,0.373,0.298
1985-06-22T13:00,,25.3,69,0.372,0.299
1985-06-22T14:00,,24.1,76,0.371,0.299
1985-06-22T15:00,,23.2,81,0.371,0.299
1985-06-22T16:00,,22.6,84,0.37,0.299
1985-06-22T17:00,,22.3,86,0.37,0.299
1985-06-22T18:00,,22.1,87,0.369,0.299
1985-06-22T19:00,,22.2,88,0.369,0.299
1985-06-22T20:00,,22.1,88,0.368,0.3
1985-06-22T21:00,,21.9,89,0.368,0.3
1985-06-22T22:00,,21.7,89,0.367,0.3
1985-06-22T23:00,,21.5,91,0.367,0.3
1985-06-23T00:00,,21.4,91,0.367,0.3
1985-06-23T01:00,,21.5,90,0.366,0.3
1985-06-23T02:00,,22.4,84,0.366,0.3
1985-06-23T03:00,,23.9,75,0.365,0.3
1985-06-23T04:00,,25.5,67,0.364,0.3
1985-06-23T05:00,,26.7,63,0.363,0.3
1985-06-23T06:00,,27.6,61,0.362,0.3
1985-06-23T07:00,,28.4,54,0.36,0.3
1985-06-23T08:00,,29.1,53,0.361,0.3
1985-06-23T09:00,,28.4,57,0.361,0.3
1985-06-23T10:00,,26.6,65,0.366,0.3
1985-06-23T11:00,,24.8,73,0.37,0.3
1985-06-23T12:00,,24.2,77,0.371,0.3
1985-06-23T13:00,,23.6,80,0.372,0.3
1985-06-23T14:00,,23.0,84,0.372,0.3
1985-06-23T15:00,,22.5,87,0.372,0.3
1985-06-23T16:00,,22.2,89,0.372,0.3
1985-06-23T17:00,,22.0,90,0.372,0.301
1985-06-23T18:00,,21.8,92,0.372,0.301
1985-06-23T19:00,,22.0,90,0.372,0.301
1985-06-23T20:00,,21.9,91,0.371,0.301
1985-06-23T21:00,,21.9,91,0.371,0.301
1985-06-23T22:00,,21.8,91,0.371,0.301
1985-06-23T23:00,,21.6,93,0.374,0.301
