time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,19.3,94,0.412,0.364
1985-06-21T01:00,,19.6,92,0.412,0.364
1985-06-21T02:00,,19.9,91,0.412,0.364
1985-06-21T03:00,,21.4,81,0.412,0.364
1985-06-21T04:00,,22.6,75,0.411,0.364
1985-06-21T05:00,,23.4,71,0.41,0.364
1985-06-21T06:00,,24.0,69,0.409,0.364
1985-06-21T07:00,,24.7,68,0.407,0.363
1985-06-21T08:00,,25.3,68,0.404,0.363
1985-06-21T09:00,,24.1,69,0.406,0.362
1985-06-21T10:00,,23.6,71,0.407,0.362
1985-06-21T11:00,,23.5,71,0.406,0.362
1985-06-21T12:00,,22.5,76,0.406,0.362
1985-06-21T13:00,,21.4,81,0.405,0.362
1985-06-21T14:00,,20.5,86,0.405,0.362
1985-06-21T15:00,,20.0,90,0.404,0.362
1985-06-21T16:00,,19.8,91,0.404,0.362
1985-06-21T17:00,,19.8,91,0.404,0.362
1985-06-21T18:00,,19.8,91,0.403,0.362
1985-06-21T19:00,,19.9,93,0.403,0.362
1985-06-21T20:00,,19.8,93,0.403,0.362
1985-06-21T21:00,,19.7,93,0.403,0.362
1985-06-21T22:00,,19.6,93,0.402,0.363
1985-06-21T23:00,,19.5,94,0.402,0.363
1985-06-22T00:00,,19.6,94,0.402,0.363
1985-06-22T01:00,,19.7,93,0.402,0.363
1985-06-22T02:00,,20.2,90,0.402,0.363
1985-06-22T03:00,,21.1,83,0.401,0.363
1985-06-22T04:00,,22.6,74,0.4,0.362
1985-06-22T05:00,,23.5,69,0.399,0.362
1985-06-22T06:00,,24.3,66,0.397,0.362
1985-06-22T07:00,,24.9,66,0.395,0.361
1985-06-22T08:00,,24.3,67,0.396,0.361
1985-06-22T09:00,,24.1,69,0.395,0.361
1985-06-22T10:00,,24.3,67,0.393,0.36
1985-06-22T11:00,,23.5,71,0.392,0.36
1985-06-22T12:00,,22.6,76,0.391,0.36
1985-06-22T13:00,,21.4,81,0.391,0.36
1985-06-22T14:00,,20.6,86,0.39,0.36
1985-06-22T15:00,,20.4,88,0.39,0.36
1985-06-22T16:00,,20.2,90,0.39,0.36
1985-06-22T17:00,,20.2,89,0.39,0.36
1985-06-22T18:00,,20.1,89,0.39,0.36
1985-06-22T19:00,,20.2,91,0.39,0.36
1985-06-22T20:00,,20.0,91,0.389,0.36
1985-06-22T21:00,,19.8,92,0.389,0.36
1985-06-22T22:00,,19.7,93,0.389,0.36
1985-06-22T23:00,,19.8,93,0.389,0.36
1985-06-23T00:00,,19.7,94,0.39,0.36
1985-06-23T01:00,,19.9,93,0.39,0.36
1985-06-23T02:00,,20.4,88,0.389,0.36
1985-06-23T03:00,,21.4,81,0.389,0.36
1985-06-23T04:00,,22.7,74,0.388,0.36
1985-06-23T05:00,,23.4,70,0.386,0.36
1985-06-23T06:00,,23.6,69,0.386,0.359
1985-06-23T07:00,,24.4,68,0.384,0.359
1985-06-23T08:00,,23.9,67,0.384,0.358
1985-06-23T09:00,,23.9,68,0.384,0.358
1985-06-23T10:00,,23.2,72,0.384,0.358
1985-06-23T11:00,,22.7,75,0.384,0.358
1985-06-23T12:00,,21.9,79,0.384,0.358
1985-06-23T13:00,,20.9,84,0.384,0.358
1985-06-23T14:00,,20.2,89,0.384,0.358
1985-06-23T15:00,,19.9,91,0.385,0.358
1985-06-23T16:00,,19.8,91,0.385,0.358
1985-06-23T17:00,,19.7,92,0.385,0.358
1985-06-23T18:00,,19.8,92,0.385,0.358
1985-06-23T19:00,,19.7,92,0.385,0.358
1985-06-23T20:00,,19.4,94,0.385,0.358
1985-06-23T21:00,,19.4,95,0.385,0.358
1985-06-23T22:00,,19.4,95,0.385,0.358
1985-06-23T23:00,,19.4,95,0.386,0.358
