time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,21.4,94,0.304,0.278
1985-06-21T01:00,,21.3,95,0.304,0.278
1985-06-21T02:00,,21.8,92,0.304,0.278
1985-06-21T03:00,,22.7,87,0.305,0.278
1985-06-21T04:00,,23.8,80,0.305,0.277
1985-06-21T05:00,,24.9,74,0.304,0.277
1985-06-21T06:00,,25.7,71,0.303,0.277
1985-06-21T07:00,,27.0,66,0.3,0.276
1985-06-21T08:00,,27.4,66,0.298,0.276
1985-06-21T09:00,,27.4,68,0.296,0.275
1985-06-21T10:00,,27.2,66,0.295,0.274
1985-06-21T11:00,,26.1,67,0.296,0.274
1985-06-21T12:00,,25.0,72,0.296,0.274
1985-06-21T13:00,,23.8,78,0.295,0.274
1985-06-21T14:00,,23.0,83,0.295,0.274
1985-06-21T15:00,,22.4,87,0.295,0.274
1985-06-21T16:00,,22.1,89,0.294,0.274
1985-06-21T17:00,,22.0,90,0.295,0.274
1985-06-21T18:00,,21.9,90,0.294,0.274
1985-06-21T19:00,,22.0,91,0.294,0.274
1985-06-21T20:00,,21.9,91,0.294,0.274
1985-06-21T21:00,,21.7,92,0.294,0.274
1985-06-21T22:00,,21.6,92,0.294,0.273
1985-06-21T23:00,,21.5,93,0.293,0.273
1985-06-22T00:00,,21.6,92,0.293,0.273
1985-06-22T01:00,,21.3,94,0.293,0.273
1985-06-22T02:00,,21.7,92,0.293,0.273
1985-06-22T03:00,,22.3,88,0.293,0.273
1985-06-22T04:00,,23.4,79,0.292,0.273
1985-06-22T05:00,,24.5,74,0.292,0.273
1985-06-22T06:00,,25.7,69,0.291,0.272
1985-06-22T07:00,,27.3,65,0.288,0.272
1985-06-22T08:00,,27.8,63,0.286,0.271
1985-06-22T09:00,,26.5,65,0.287,0.27
1985-06-22T10:00,,26.7,63,0.287,0.27
1985-06-22T11:00,,25.6,69,0.286,0.27
1985-06-22T12:00,,24.7,74,0.286,0.269
1985-06-22T13:00,,23.7,79,0.285,0.269
1985-06-22T14:00,,22.7,84,0.285,0.269
1985-06-22T15:00,,22.4,87,0.285,0.269
1985-06-22T16:00,,21.7,93,0.285,0.269
1985-06-22T17:00,,21.8,91,0.285,0.269
1985-06-22T18:00,,21.8,91,0.285,0.269
1985-06-22T19:00,,21.8,92,0.285,0.269
1985-06-22T20:00,,21.6,93,0.285,0.269
1985-06-22T21:00,,21.5,94,0.285,0.269
1985-06-22T22:00,,21.4,95,0.285,0.269
1985-06-22T23:00,,21.4,94,0.285,0.269
1985-06-23T00:00,,21.4,94,0.285,0.269
1985-06-23T01:00,,21.6,92,0.285,0.269
1985-06-23T02:00,,22.2,89,0.285,0.269
1985-06-23T03:00,,22.8,85,0.285,0.269
1985-06-23T04:00,,24.2,77,0.284,0.268
1985-06-23T05:00,,25.0,73,0.284,0.268
1985-06-23T06:00,,25.8,69,0.282,0.268
1985-06-23T07:00,,26.6,66,0.281,0.267
1985-06-23T08:00,,27.5,65,0.279,0.266
1985-06-23T09:00,,25.8,71,0.286,0.266
1985-06-23T10:00,,25.2,72,0.291,0.266
1985-06-23T11:00,,24.2,77,0.291,0.266
1985-06-23T12:00,,23.3,82,0.291,0.266
1985-06-23T13:00,,22.7,86,0.291,0.266
1985-06-23T14:00,,22.4,88,0.291,0.266
1985-06-23T15:00,,22.0,91,0.291,0.266
1985-06-23T16:00,,22.0,91,0.291,0.266
1985-06-23T17:00,,21.9,92,0.291,0.266
1985-06-23T18:00,,21.7,93,0.291,0.266
1985-06-23T19:00,,21.6,95,0.291,0.266
1985-06-23T20:00,,21.5,95,0.291,0.266
1985-06-23T21:00,,21.4,95,0.29,0.266
1985-06-23T22:00,,21.4,95,0.29,0.266
1985-06-23T23:00,,21.4,95,0.29,0.266
