time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,19.4,100,0.503,0.499
1985-06-21T01:00,,19.4,100,0.506,0.499
1985-06-21T02:00,,19.5,100,0.506,0.499
1985-06-21T03:00,,19.9,100,0.507,0.5
1985-06-21T04:00,,20.7,92,0.51,0.501
1985-06-21T05:00,,22.0,89,0.519,0.503
1985-06-21T06:00,,22.2,88,0.471,0.517
1985-06-21T07:00,,21.6,86,0.416,0.495
1985-06-21T08:00,,23.3,80,0.418,0.454
1985-06-21T09:00,,23.3,79,0.42,0.453
1985-06-21T10:00,,22.0,87,0.433,0.453
1985-06-21T11:00,,22.2,84,0.437,0.453
1985-06-21T12:00,,20.9,90,0.439,0.453
1985-06-21T13:00,,20.5,91,0.44,0.453
1985-06-21T14:00,,20.0,96,0.443,0.453
1985-06-21T15:00,,19.8,98,0.445,0.452
1985-06-21T16:00,,19.6,100,0.451,0.452
1985-06-21T17:00,,19.4,100,0.455,0.452
1985-06-21T18:00,,19.5,100,0.46,0.452
1985-06-21T19:00,,19.5,100,0.464,0.453
1985-06-21T20:00,,19.5,100,0.467,0.453
1985-06-21T21:00,,19.4,100,0.471,0.453
1985-06-21T22:00,,19.4,100,0.473,0.453
1985-06-21T23:00,,19.5,100,0.481,0.453
1985-06-22T00:00,,19.4,100,0.49,0.454
1985-06-22T01:00,,19.5,100,0.499,0.455
1985-06-22T02:00,,19.7,100,0.512,0.457
1985-06-22T03:00,,19.7,99,0.505,0.464
1985-06-22T04:00,,20.8,95,0.5,0.467
1985-06-22T05:00,,21.8,91,0.516,0.469
1985-06-22T06:00,,21.4,88,0.458,0.499
1985-06-22T07:00,,21.8,90,0.505,0.499
1985-06-22T08:00,,23.4,82,0.507,0.501
1985-06-22T09:00,,22.5,89,0.501,0.5
1985-06-22T10:00,,21.8,87,0.509,0.499
1985-06-22T11:00,,20.6,91,0.457,0.514
1985-06-22T12:00,,19.9,100,0.412,0.491
1985-06-22T13:00,,19.8,100,0.418,0.452
1985-06-22T14:00,,19.7,100,0.424,0.452
1985-06-22T15:00,,19.8,100,0.43,0.452
1985-06-22T16:00,,19.7,100,0.452,0.452
1985-06-22T17:00,,19.4,100,0.467,0.452
1985-06-22T18:00,,19.3,100,0.471,0.452
1985-06-22T19:00,,19.4,100,0.476,0.453
1985-06-22T20:00,,19.5,100,0.484,0.453
1985-06-22T21:00,,19.6,100,0.498,0.454
1985-06-22T22:00,,19.6,100,0.509,0.456
1985-06-22T23:00,,19.6,100,0.513,0.459
1985-06-23T00:00,,19.5,100,0.512,0.464
1985-06-23T01:00,,19.5,100,0.515,0.468
1985-06-23T02:00,,19.5,100,0.52,0.474
1985-06-23T03:00,,19.4,100,0.444,0.503
1985-06-23T04:00,,19.7,100,0.467,0.5
1985-06-23T05:00,,19.9,100,0.493,0.498
1985-06-23T06:00,,20.2,100,0.518,0.498
1985-06-23T07:00,,20.9,93,0.468,0.517
1985-06-23T08:00,,21.1,100,0.423,0.495
1985-06-23T09:00,,20.6,100,0.465,0.455
1985-06-23T10:00,,20.6,100,0.5,0.457
1985-06-23T11:00,,20.4,100,0.519,0.459
1985-06-23T12:00,,19.6,100,0.459,0.493
1985-06-23T13:00,,19.4,100,0.504,0.494
1985-06-23T14:00,,19.3,100,0.516,0.494
1985-06-23T15:00,,19.3,100,0.465,0.517
1985-06-23T16:00,,19.3,100,0.426,0.497
1985-06-23T17:00,,19.2,100,0.46,0.456
1985-06-23T18:00,,19.4,100,0.484,0.457
1985-06-23T19:00,,19.3,100,0.519,0.458
1985-06-23T20:00,,19.2,100,0.459,0.493
1985-06-23T21:00,,19.2,100,0.492,0.493
1985-06-23T22:00,,19.3,100,0.516,0.492
1985-06-23T23:00,,19.3,100,0.455,0.515
