time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.1,86,0.23,0.159
1985-06-21T01:00,,22.3,85,0.23,0.159
1985-06-21T02:00,,23.4,78,0.23,0.159
1985-06-21T03:00,,25.0,69,0.229,0.159
1985-06-21T04:00,,26.8,59,0.228,0.159
1985-06-21T05:00,,28.2,53,0.227,0.159
1985-06-21T06:00,,29.3,49,0.226,0.159
1985-06-21T07:00,,31.3,41,0.223,0.159
1985-06-21T08:00,,32.2,38,0.221,0.159
1985-06-21T09:00,,32.3,38,0.219,0.159
1985-06-21T10:00,,31.9,39,0.217,0.159
1985-06-21T11:00,,30.3,46,0.22,0.159
1985-06-21T12:00,,29.2,52,0.22,0.159
1985-06-21T13:00,,28.0,58,0.219,0.159
1985-06-21T14:00,,26.9,64,0.219,0.159
1985-06-21T15:00,,25.8,68,0.218,0.159
1985-06-21T16:00,,24.8,73,0.218,0.159
1985-06-21T17:00,,24.0,77,0.218,0.159
1985-06-21T18:00,,23.4,80,0.218,0.159
1985-06-21T19:00,,23.4,81,0.218,0.159
1985-06-21T20:00,,23.0,84,0.217,0.159
1985-06-21T21:00,,22.8,85,0.217,0.159
1985-06-21T22:00,,22.8,84,0.217,0.159
1985-06-21T23:00,,22.7,85,0.217,0.159
1985-06-22T00:00,,22.8,84,0.217,0.159
1985-06-22T01:00,,22.9,83,0.216,0.159
1985-06-22T02:00,,23.6,79,0.216,0.159
1985-06-22T03:00,,24.6,73,0.215,0.159
1985-06-22T04:00,,26.1,64,0.215,0.159
1985-06-22T05:00,,28.2,55,0.214,0.159
1985-06-22T06:00,,29.3,50,0.213,0.159
1985-06-22T07:00,,31.0,46,0.211,0.159
1985-06-22T08:00,,31.1,46,0.21,0.159
1985-06-22T09:00,,31.7,46,0.209,0.159
1985-06-22T10:00,,31.6,45,0.208,0.158
1985-06-22T11:00,,28.3,58,0.208,0.158
1985-06-22T12:00,,27.7,60,0.208,0.158
1985-06-22T13:00,,27.3,61,0.208,0.158
1985-06-22T14:00,,26.5,65,0.207,0.158
1985-06-22T15:00,,25.6,69,0.207,0.159
1985-06-22T16:00,,24.6,74,0.207,0.159
1985-06-22T17:00,,23.9,78,0.207,0.159
1985-06-22T18:00,,23.4,80,0.207,0.159
1985-06-22T19:00,,23.4,82,0.207,0.159
1985-06-22T20:00,,23.2,83,0.206,0.159
1985-06-22T21:00,,23.0,84,0.206,0.159
1985-06-22T22:00,,22.8,85,0.206,0.159
1985-06-22T23:00,,22.5,85,0.206,0.159
1985-06-23T00:00,,22.4,86,0.206,0.159
1985-06-23T01:00,,22.6,85,0.206,0.159
1985-06-23T02:00,,23.4,79,0.206,0.159
1985-06-23T03:00,,25.3,68,0.205,0.159
1985-06-23T04:00,,26.7,61,0.204,0.159
1985-06-23T05:00,,28.1,55,0.204,0.159
1985-06-23T06:00,,29.3,52,0.202,0.159
1985-06-23T07:00,,30.9,43,0.201,0.158
1985-06-23T08:00,,31.2,43,0.2,0.158
1985-06-23T09:00,,31.2,44,0.199,0.158
1985-06-23T10:00,,30.5,47,0.199,0.158
1985-06-23T11:00,,28.6,56,0.199,0.158
1985-06-23T12:00,,26.5,66,0.199,0.158
1985-06-23T13:00,,25.4,71,0.199,0.158
1985-06-23T14:00,,24.7,75,0.199,0.158
1985-06-23T15:00,,24.3,78,0.199,0.158
1985-06-23T16:00,,23.9,81,0.199,0.158
1985-06-23T17:00,,23.5,83,0.199,0.158
1985-06-23T18:00,,23.2,84,0.2,0.158
1985-06-23T19:00,,23.2,84,0.2,0.158
1985-06-23T20:00,,23.0,85,0.2,0.158
1985-06-23T21:00,,23.0,85,0.2,0.158
1985-06-23T22:00,,22.8,87,0.203,0.158
1985-06-23T23:00,,22.4,90,0.209,0.158
