time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,20.9,86,0.281,0.234
1985-06-21T01:00,,21.1,85,0.281,0.234
1985-06-21T02:00,,21.6,82,0.281,0.234
1985-06-21T03:00,,22.8,75,0.28,0.234
1985-06-21T04:00,,24.2,68,0.279,0.234
1985-06-21T05:00,,25.4,63,0.278,0.234
1985-06-21T06:00,,26.2,60,0.277,0.233
1985-06-21T07:00,,27.2,57,0.274,0.233
1985-06-21T08:00,,27.4,56,0.273,0.233
1985-06-21T09:00,,26.9,57,0.272,0.232
1985-06-21T10:00,,27.4,55,0.271,0.232
1985-06-21T11:00,,26.5,58,0.271,0.232
1985-06-21T12:00,,25.7,61,0.27,0.232
1985-06-21T13:00,,24.4,67,0.269,0.232
1985-06-21T14:00,,23.1,73,0.269,0.232
1985-06-21T15:00,,22.2,78,0.269,0.232
1985-06-21T16:00,,21.7,81,0.268,0.232
1985-06-21T17:00,,21.6,82,0.268,0.232
1985-06-21T18:00,,21.4,83,0.268,0.232
1985-06-21T19:00,,21.4,86,0.267,0.232
1985-06-21T20:00,,21.4,86,0.267,0.232
1985-06-21T21:00,,21.4,85,0.267,0.232
1985-06-21T22:00,,21.3,85,0.267,0.232
1985-06-21T23:00,,21.1,86,0.266,0.232
1985-06-22T00:00,,21.1,87,0.266,0.232
1985-06-22T01:00,,21.3,86,0.266,0.232
1985-06-22T02:00,,21.6,84,0.266,0.232
1985-06-22T03:00,,22.7,77,0.265,0.232
1985-06-22T04:00,,24.5,68,0.264,0.232
1985-06-22T05:00,,25.5,62,0.263,0.232
1985-06-22T06:00,,26.7,58,0.262,0.231
1985-06-22T07:00,,27.5,56,0.26,0.231
1985-06-22T08:00,,28.3,54,0.258,0.23
1985-06-22T09:00,,26.9,58,0.258,0.23
1985-06-22T10:00,,26.6,59,0.259,0.23
1985-06-22T11:00,,26.2,60,0.259,0.23
1985-06-22T12:00,,25.3,64,0.259,0.23
1985-06-22T13:00,,23.9,70,0.258,0.23
1985-06-22T14:00,,23.0,75,0.258,0.23
1985-06-22T15:00,,22.5,78,0.258,0.23
1985-06-22T16:00,,22.0,81,0.258,0.23
1985-06-22T17:00,,21.8,82,0.257,0.23
1985-06-22T18:00,,21.7,82,0.257,0.23
1985-06-22T19:00,,21.6,85,0.257,0.23
1985-06-22T20:00,,21.4,86,0.257,0.23
1985-06-22T21:00,,21.4,86,0.257,0.23
1985-06-22T22:00,,21.4,86,0.257,0.23
1985-06-22T23:00,,21.5,85,0.256,0.23
1985-06-23T00:00,,21.6,85,0.256,0.23
1985-06-23T01:00,,21.7,85,0.256,0.23
1985-06-23T02:00,,21.9,84,0.256,0.23
1985-06-23T03:00,,22.7,79,0.256,0.23
1985-06-23T04:00,,24.4,69,0.255,0.23
1985-06-23T05:00,,25.2,65,0.254,0.229
1985-06-23T06:00,,26.2,61,0.253,0.229
1985-06-23T07:00,,27.0,58,0.251,0.229
1985-06-23T08:00,,27.3,57,0.25,0.228
1985-06-23T09:00,,25.9,62,0.255,0.228
1985-06-23T10:00,,25.2,65,0.255,0.228
1985-06-23T11:00,,24.5,68,0.262,0.228
1985-06-23T12:00,,23.7,72,0.266,0.228
1985-06-23T13:00,,22.4,79,0.268,0.228
1985-06-23T14:00,,21.8,82,0.268,0.228
1985-06-23T15:00,,21.6,83,0.268,0.228
1985-06-23T16:00,,21.5,84,0.268,0.228
1985-06-23T17:00,,21.3,85,0.268,0.228
1985-06-23T18:00,,21.4,84,0.268,0.228
1985-06-23T19:00,,21.2,87,0.268,0.228
1985-06-23T20:00,,21.0,87,0.268,0.228
1985-06-23T21:00,,21.1,86,0.268,0.228
1985-06-23T22:00,,21.0,86,0.267,0.228
1985-06-23T23:00,,21.1,86,0.267,0.228
