time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,20.8,91,0.326,0.296
1985-06-21T01:00,,21.1,91,0.326,0.296
1985-06-21T02:00,,21.4,89,0.327,0.296
1985-06-21T03:00,,22.6,83,0.328,0.296
1985-06-21T04:00,,23.5,78,0.328,0.296
1985-06-21T05:00,,24.7,72,0.328,0.296
1985-06-21T06:00,,25.7,68,0.326,0.295
1985-06-21T07:00,,26.2,65,0.324,0.295
1985-06-21T08:00,,25.6,68,0.325,0.294
1985-06-21T09:00,,26.9,62,0.323,0.294
1985-06-21T10:00,,27.4,60,0.32,0.293
1985-06-21T11:00,,25.9,66,0.319,0.293
1985-06-21T12:00,,25.1,69,0.319,0.292
1985-06-21T13:00,,24.2,72,0.318,0.292
1985-06-21T14:00,,23.1,76,0.317,0.292
1985-06-21T15:00,,22.3,81,0.317,0.292
1985-06-21T16:00,,22.0,84,0.316,0.292
1985-06-21T17:00,,21.8,84,0.316,0.292
1985-06-21T18:00,,21.7,85,0.315,0.292
1985-06-21T19:00,,21.4,89,0.315,0.292
1985-06-21T20:00,,21.4,89,0.315,0.292
1985-06-21T21:00,,21.5,89,0.314,0.292
1985-06-21T22:00,,21.4,89,0.314,0.292
1985-06-21T23:00,,21.3,90,0.314,0.292
1985-06-22T00:00,,21.3,90,0.313,0.292
1985-06-22T01:00,,21.4,89,0.313,0.292
1985-06-22T02:00,,21.6,89,0.313,0.292
1985-06-22T03:00,,22.4,84,0.313,0.292
1985-06-22T04:00,,23.8,76,0.314,0.292
1985-06-22T05:00,,24.8,71,0.313,0.291
1985-06-22T06:00,,25.8,66,0.311,0.291
1985-06-22T07:00,,26.7,65,0.309,0.29
1985-06-22T08:00,,27.3,63,0.307,0.289
1985-06-22T09:00,,26.1,65,0.317,0.289
1985-06-22T10:00,,26.3,63,0.316,0.289
1985-06-22T11:00,,25.8,65,0.314,0.288
1985-06-22T12:00,,24.5,71,0.319,0.288
1985-06-22T13:00,,23.2,76,0.32,0.288
1985-06-22T14:00,,22.5,81,0.32,0.288
1985-06-22T15:00,,21.9,85,0.32,0.288
1985-06-22T16:00,,21.7,87,0.319,0.288
1985-06-22T17:00,,21.6,88,0.319,0.288
1985-06-22T18:00,,21.5,88,0.319,0.288
1985-06-22T19:00,,21.4,90,0.318,0.288
1985-06-22T20:00,,21.2,91,0.318,0.288
1985-06-22T21:00,,21.2,91,0.317,0.288
1985-06-22T22:00,,21.3,91,0.317,0.288
1985-06-22T23:00,,21.4,89,0.316,0.288
1985-06-23T00:00,,21.5,89,0.316,0.288
1985-06-23T01:00,,21.4,90,0.315,0.288
1985-06-23T02:00,,21.6,89,0.315,0.288
1985-06-23T03:00,,22.5,84,0.314,0.288
1985-06-23T04:00,,23.5,79,0.314,0.288
1985-06-23T05:00,,24.0,76,0.314,0.288
1985-06-23T06:00,,25.0,72,0.313,0.287
1985-06-23T07:00,,25.7,72,0.312,0.287
1985-06-23T08:00,,25.7,72,0.328,0.287
1985-06-23T09:00,,24.2,75,0.366,0.287
1985-06-23T10:00,,23.2,79,0.367,0.288
1985-06-23T11:00,,23.1,79,0.368,0.289
1985-06-23T12:00,,22.6,82,0.373,0.29
1985-06-23T13:00,,21.7,85,0.379,0.291
1985-06-23T14:00,,21.4,87,0.376,0.292
1985-06-23T15:00,,21.2,88,0.375,0.294
1985-06-23T16:00,,21.2,89,0.372,0.295
1985-06-23T17:00,,21.0,90,0.369,0.296
1985-06-23T18:00,,21.1,89,0.367,0.297
1985-06-23T19:00,,21.0,90,0.365,0.297
1985-06-23T20:00,,20.8,91,0.363,0.298
1985-06-23T21:00,,20.8,91,0.362,0.299
1985-06-23T22:00,,20.8,91,0.361,0.299
1985-06-23T23:00,,20.7,92,0.36,0.3
