time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,21.0,96,0.474,0.468
1985-06-21T01:00,,20.9,96,0.474,0.468
1985-06-21T02:00,,21.0,96,0.474,0.467
1985-06-21T03:00,,21.4,93,0.474,0.467
1985-06-21T04:00,,22.9,86,0.474,0.467
1985-06-21T05:00,,24.0,78,0.476,0.467
1985-06-21T06:00,,23.7,81,0.479,0.466
1985-06-21T07:00,,24.4,78,0.478,0.466
1985-06-21T08:00,,25.0,78,0.477,0.466
1985-06-21T09:00,,25.4,78,0.475,0.465
1985-06-21T10:00,,24.4,79,0.476,0.465
1985-06-21T11:00,,23.7,79,0.478,0.465
1985-06-21T12:00,,23.1,83,0.478,0.465
1985-06-21T13:00,,22.4,87,0.477,0.465
1985-06-21T14:00,,21.8,90,0.477,0.465
1985-06-21T15:00,,21.6,92,0.476,0.465
1985-06-21T16:00,,21.6,91,0.476,0.465
1985-06-21T17:00,,21.5,92,0.476,0.465
1985-06-21T18:00,,21.2,94,0.475,0.464
1985-06-21T19:00,,21.2,96,0.475,0.464
1985-06-21T20:00,,21.3,94,0.475,0.464
1985-06-21T21:00,,21.2,94,0.475,0.464
1985-06-21T22:00,,21.0,95,0.474,0.464
1985-06-21T23:00,,20.9,96,0.474,0.464
1985-06-22T00:00,,20.9,96,0.474,0.464
1985-06-22T01:00,,20.8,97,0.473,0.464
1985-06-22T02:00,,21.1,95,0.473,0.464
1985-06-22T03:00,,21.5,92,0.473,0.464
1985-06-22T04:00,,22.5,86,0.473,0.464
1985-06-22T05:00,,23.4,81,0.475,0.463
1985-06-22T06:00,,24.2,77,0.477,0.463
1985-06-22T07:00,,24.7,78,0.475,0.463
1985-06-22T08:00,,23.9,82,0.49,0.463
1985-06-22T09:00,,23.6,83,0.493,0.463
1985-06-22T10:00,,23.7,81,0.493,0.464
1985-06-22T11:00,,23.0,85,0.492,0.464
1985-06-22T12:00,,22.6,86,0.491,0.465
1985-06-22T13:00,,21.9,90,0.491,0.465
1985-06-22T14:00,,21.5,93,0.49,0.466
1985-06-22T15:00,,21.3,94,0.489,0.466
1985-06-22T16:00,,21.1,96,0.487,0.466
1985-06-22T17:00,,21.0,97,0.486,0.467
1985-06-22T18:00,,20.9,97,0.485,0.467
1985-06-22T19:00,,21.1,97,0.485,0.467
1985-06-22T20:00,,21.0,96,0.484,0.467
1985-06-22T21:00,,20.8,96,0.483,0.467
1985-06-22T22:00,,21.0,95,0.483,0.467
1985-06-22T23:00,,20.9,97,0.482,0.467
1985-06-23T00:00,,21.0,97,0.482,0.467
1985-06-23T01:00,,21.0,96,0.483,0.468
1985-06-23T02:00,,21.2,95,0.484,0.468
1985-06-23T03:00,,21.5,93,0.484,0.468
1985-06-23T04:00,,22.1,89,0.484,0.468
1985-06-23T05:00,,22.9,86,0.484,0.468
1985-06-23T06:00,,24.2,80,0.482,0.467
1985-06-23T07:00,,24.5,77,0.481,0.467
1985-06-23T08:00,,23.8,80,0.494,0.467
1985-06-23T09:00,,24.3,81,0.493,0.468
1985-06-23T10:00,,23.0,86,0.506,0.468
1985-06-23T11:00,,22.4,89,0.501,0.47
1985-06-23T12:00,,22.0,91,0.499,0.471
1985-06-23T13:00,,21.6,92,0.498,0.472
1985-06-23T14:00,,21.3,94,0.496,0.473
1985-06-23T15:00,,21.1,95,0.494,0.473
1985-06-23T16:00,,21.0,97,0.494,0.473
1985-06-23T17:00,,20.8,98,0.494,0.474
1985-06-23T18:00,,20.7,99,0.496,0.474
1985-06-23T19:00,,20.9,98,0.494,0.475
1985-06-23T20:00,,20.8,98,0.493,0.475
1985-06-23T21:00,,20.8,99,0.491,0.475
1985-06-23T22:00,,20.7,99,0.492,0.475
1985-06-23T23:00,,20.7,99,0.491,0.475
