time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,20.6,86,0.232,0.224
1985-06-21T01:00,,20.8,86,0.232,0.224
1985-06-21T02:00,,21.4,84,0.233,0.224
1985-06-21T03:00,,22.8,75,0.234,0.224
1985-06-21T04:00,,24.2,67,0.233,0.224
1985-06-21T05:00,,25.3,62,0.233,0.223
1985-06-21T06:00,,26.5,58,0.233,0.223
1985-06-21T07:00,,27.6,54,0.232,0.223
1985-06-21T08:00,,28.1,53,0.231,0.222
1985-06-21T09:00,,28.2,54,0.23,0.222
1985-06-21T10:00,,27.6,54,0.228,0.221
1985-06-21T11:00,,27.1,56,0.228,0.221
1985-06-21T12:00,,25.5,63,0.228,0.221
1985-06-21T13:00,,24.6,66,0.227,0.221
1985-06-21T14:00,,23.7,69,0.227,0.221
1985-06-21T15:00,,22.7,74,0.227,0.221
1985-06-21T16:00,,21.8,78,0.227,0.221
1985-06-21T17:00,,21.4,81,0.227,0.221
1985-06-21T18:00,,21.1,83,0.227,0.221
1985-06-21T19:00,,21.1,84,0.227,0.221
1985-06-21T20:00,,21.1,84,0.227,0.221
1985-06-21T21:00,,21.1,84,0.227,0.221
1985-06-21T22:00,,21.1,85,0.227,0.221
1985-06-21T23:00,,20.9,86,0.226,0.221
1985-06-22T00:00,,20.9,86,0.226,0.221
1985-06-22T01:00,,20.9,86,0.226,0.221
1985-06-22T02:00,,21.6,83,0.227,0.221
1985-06-22T03:00,,22.6,77,0.227,0.22
1985-06-22T04:00,,24.0,68,0.226,0.22
1985-06-22T05:00,,25.0,63,0.225,0.22
1985-06-22T06:00,,26.1,58,0.225,0.22
1985-06-22T07:00,,27.6,53,0.224,0.219
1985-06-22T08:00,,28.1,52,0.223,0.219
1985-06-22T09:00,,26.6,59,0.224,0.219
1985-06-22T10:00,,24.8,68,0.235,0.218
1985-06-22T11:00,,25.7,63,0.236,0.218
1985-06-22T12:00,,25.6,62,0.235,0.218
1985-06-22T13:00,,24.4,66,0.236,0.218
1985-06-22T14:00,,23.6,70,0.236,0.218
1985-06-22T15:00,,23.0,73,0.235,0.218
1985-06-22T16:00,,22.3,77,0.235,0.218
1985-06-22T17:00,,21.9,80,0.235,0.218
1985-06-22T18:00,,21.8,81,0.235,0.218
1985-06-22T19:00,,21.6,83,0.235,0.218
1985-06-22T20:00,,21.3,85,0.235,0.218
1985-06-22T21:00,,21.3,85,0.235,0.218
1985-06-22T22:00,,21.4,84,0.235,0.218
1985-06-22T23:00,,21.4,84,0.235,0.218
1985-06-23T00:00,,21.4,84,0.235,0.218
1985-06-23T01:00,,21.6,84,0.234,0.218
1985-06-23T02:00,,22.0,83,0.235,0.218
1985-06-23T03:00,,23.3,75,0.235,0.218
1985-06-23T04:00,,24.4,69,0.235,0.218
1985-06-23T05:00,,25.3,65,0.234,0.218
1985-06-23T06:00,,26.1,62,0.233,0.217
1985-06-23T07:00,,27.7,57,0.231,0.217
1985-06-23T08:00,,28.5,54,0.23,0.216
1985-06-23T09:00,,27.3,57,0.234,0.216
1985-06-23T10:00,,25.9,63,0.247,0.216
1985-06-23T11:00,,24.0,72,0.262,0.216
1985-06-23T12:00,,24.1,72,0.263,0.216
1985-06-23T13:00,,23.1,76,0.264,0.216
1985-06-23T14:00,,22.0,81,0.269,0.216
1985-06-23T15:00,,21.6,84,0.271,0.216
1985-06-23T16:00,,21.4,85,0.271,0.216
1985-06-23T17:00,,21.2,86,0.271,0.217
1985-06-23T18:00,,21.2,85,0.271,0.217
1985-06-23T19:00,,21.2,86,0.27,0.217
1985-06-23T20:00,,21.3,86,0.27,0.217
1985-06-23T21:00,,21.4,85,0.27,0.217
1985-06-23T22:00,,21.4,85,0.27,0.217
1985-06-23T23:00,,21.3,86,0.27,0.217
