time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.7,98,0.509,0.488
1985-06-21T01:00,,22.8,96,0.508,0.489
1985-06-21T02:00,,23.2,96,0.505,0.49
1985-06-21T03:00,,24.1,93,0.504,0.491
1985-06-21T04:00,,25.2,88,0.508,0.491
1985-06-21T05:00,,25.0,88,0.52,0.494
1985-06-21T06:00,,25.8,85,0.451,0.516
1985-06-21T07:00,,26.6,80,0.407,0.492
1985-06-21T08:00,,25.7,85,0.432,0.457
1985-06-21T09:00,,26.6,80,0.443,0.457
1985-06-21T10:00,,25.4,86,0.462,0.457
1985-06-21T11:00,,24.7,92,0.486,0.458
1985-06-21T12:00,,24.6,91,0.475,0.462
1985-06-21T13:00,,23.8,94,0.487,0.461
1985-06-21T14:00,,23.3,96,0.489,0.462
1985-06-21T15:00,,23.2,96,0.494,0.463
1985-06-21T16:00,,23.1,97,0.497,0.464
1985-06-21T17:00,,23.1,96,0.5,0.465
1985-06-21T18:00,,23.1,96,0.503,0.466
1985-06-21T19:00,,23.2,96,0.504,0.467
1985-06-21T20:00,,23.1,97,0.508,0.469
1985-06-21T21:00,,23.0,98,0.506,0.471
1985-06-21T22:00,,22.9,97,0.503,0.472
1985-06-21T23:00,,23.0,95,0.505,0.474
1985-06-22T00:00,,22.8,97,0.507,0.475
1985-06-22T01:00,,22.8,97,0.508,0.477
1985-06-22T02:00,,23.3,97,0.512,0.479
1985-06-22T03:00,,24.0,94,0.516,0.482
1985-06-22T04:00,,24.7,91,0.518,0.486
1985-06-22T05:00,,24.6,90,0.498,0.5
1985-06-22T06:00,,24.8,88,0.484,0.516
1985-06-22T07:00,,24.9,90,0.467,0.499
1985-06-22T08:00,,26.1,86,0.444,0.471
1985-06-22T09:00,,25.2,88,0.459,0.458
1985-06-22T10:00,,24.9,90,0.477,0.458
1985-06-22T11:00,,24.2,94,0.497,0.459
1985-06-22T12:00,,23.9,96,0.503,0.461
1985-06-22T13:00,,23.6,98,0.506,0.463
1985-06-22T14:00,,23.4,96,0.512,0.466
1985-06-22T15:00,,23.3,96,0.511,0.469
1985-06-22T16:00,,23.2,96,0.512,0.472
1985-06-22T17:00,,23.2,97,0.514,0.475
1985-06-22T18:00,,23.2,96,0.512,0.479
1985-06-22T19:00,,23.1,97,0.511,0.481
1985-06-22T20:00,,22.9,98,0.515,0.484
1985-06-22T21:00,,23.0,98,0.517,0.487
1985-06-22T22:00,,23.2,98,0.514,0.492
1985-06-22T23:00,,23.1,98,0.518,0.495
1985-06-23T00:00,,23.1,98,0.515,0.499
1985-06-23T01:00,,23.2,95,0.52,0.502
1985-06-23T02:00,,23.4,96,0.454,0.52
1985-06-23T03:00,,23.9,94,0.404,0.494
1985-06-23T04:00,,24.0,93,0.428,0.451
1985-06-23T05:00,,24.9,90,0.452,0.451
1985-06-23T06:00,,25.2,89,0.493,0.451
1985-06-23T07:00,,24.6,91,0.52,0.453
1985-06-23T08:00,,24.9,93,0.451,0.489
1985-06-23T09:00,,24.9,91,0.493,0.488
1985-06-23T10:00,,24.5,93,0.52,0.489
1985-06-23T11:00,,23.9,95,0.476,0.52
1985-06-23T12:00,,23.8,98,0.433,0.499
1985-06-23T13:00,,23.2,96,0.471,0.469
1985-06-23T14:00,,23.1,97,0.496,0.469
1985-06-23T15:00,,23.1,98,0.513,0.47
1985-06-23T16:00,,23.2,97,0.503,0.48
1985-06-23T17:00,,23.3,95,0.456,0.493
1985-06-23T18:00,,23.2,95,0.484,0.494
1985-06-23T19:00,,23.0,96,0.492,0.499
1985-06-23T20:00,,23.1,96,0.509,0.499
1985-06-23T21:00,,22.9,97,0.486,0.512
1985-06-23T22:00,,22.8,98,0.449,0.505
1985-06-23T23:00,,23.1,95,0.45,0.498
