time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,20.2,100,0.498,0.493
1985-06-21T01:00,,20.2,100,0.498,0.493
1985-06-21T02:00,,20.5,99,0.499,0.494
1985-06-21T03:00,,21.4,95,0.499,0.494
1985-06-21T04:00,,21.5,100,0.519,0.494
1985-06-21T05:00,,21.7,92,0.484,0.514
1985-06-21T06:00,,23.0,87,0.422,0.503
1985-06-21T07:00,,24.6,82,0.403,0.49
1985-06-21T08:00,,25.4,79,0.406,0.488
1985-06-21T09:00,,25.0,80,0.41,0.485
1985-06-21T10:00,,23.8,83,0.415,0.484
1985-06-21T11:00,,23.2,85,0.421,0.482
1985-06-21T12:00,,22.5,87,0.425,0.481
1985-06-21T13:00,,21.7,90,0.428,0.48
1985-06-21T14:00,,21.3,92,0.43,0.479
1985-06-21T15:00,,21.2,93,0.432,0.478
1985-06-21T16:00,,20.9,95,0.434,0.477
1985-06-21T17:00,,20.7,97,0.437,0.476
1985-06-21T18:00,,20.6,97,0.438,0.475
1985-06-21T19:00,,20.6,98,0.439,0.475
1985-06-21T20:00,,20.5,99,0.441,0.474
1985-06-21T21:00,,20.5,99,0.442,0.473
1985-06-21T22:00,,20.4,99,0.446,0.473
1985-06-21T23:00,,20.3,100,0.448,0.472
1985-06-22T00:00,,20.1,100,0.45,0.472
1985-06-22T01:00,,20.3,98,0.451,0.471
1985-06-22T02:00,,20.6,98,0.452,0.471
1985-06-22T03:00,,21.1,96,0.454,0.471
1985-06-22T04:00,,21.7,95,0.458,0.47
1985-06-22T05:00,,23.2,87,0.461,0.47
1985-06-22T06:00,,22.2,84,0.484,0.47
1985-06-22T07:00,,23.3,81,0.498,0.47
1985-06-22T08:00,,24.0,82,0.497,0.471
1985-06-22T09:00,,23.1,89,0.501,0.472
1985-06-22T10:00,,21.8,90,0.513,0.473
1985-06-22T11:00,,22.2,92,0.503,0.477
1985-06-22T12:00,,21.4,92,0.505,0.478
1985-06-22T13:00,,21.0,94,0.506,0.48
1985-06-22T14:00,,20.8,95,0.503,0.481
1985-06-22T15:00,,20.6,97,0.502,0.482
1985-06-22T16:00,,20.5,99,0.501,0.482
1985-06-22T17:00,,20.4,100,0.502,0.483
1985-06-22T18:00,,20.3,100,0.503,0.484
1985-06-22T19:00,,20.4,100,0.501,0.484
1985-06-22T20:00,,20.3,100,0.499,0.485
1985-06-22T21:00,,20.1,100,0.501,0.485
1985-06-22T22:00,,20.5,97,0.503,0.486
1985-06-22T23:00,,20.4,99,0.502,0.487
1985-06-23T00:00,,20.4,100,0.506,0.487
1985-06-23T01:00,,20.3,100,0.512,0.489
1985-06-23T02:00,,20.5,97,0.508,0.491
1985-06-23T03:00,,21.2,97,0.504,0.491
1985-06-23T04:00,,22.1,91,0.504,0.492
1985-06-23T05:00,,21.9,90,0.519,0.493
1985-06-23T06:00,,23.6,84,0.445,0.517
1985-06-23T07:00,,24.3,80,0.441,0.503
1985-06-23T08:00,,22.6,87,0.474,0.502
1985-06-23T09:00,,22.8,91,0.5,0.502
1985-06-23T10:00,,21.5,91,0.515,0.505
1985-06-23T11:00,,21.0,100,0.479,0.508
1985-06-23T12:00,,20.9,100,0.447,0.493
1985-06-23T13:00,,20.8,100,0.451,0.492
1985-06-23T14:00,,20.5,100,0.459,0.491
1985-06-23T15:00,,20.6,98,0.462,0.49
1985-06-23T16:00,,20.5,98,0.464,0.489
1985-06-23T17:00,,20.6,97,0.467,0.489
1985-06-23T18:00,,20.2,100,0.469,0.488
1985-06-23T19:00,,20.3,100,0.472,0.488
1985-06-23T20:00,,20.3,100,0.476,0.487
1985-06-23T21:00,,20.3,100,0.479,0.487
1985-06-23T22:00,,20.3,100,0.487,0.487
1985-06-23T23:00,,20.2,100,0.488,0.487
