time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.1,89,0.127,0.283
1985-06-21T01:00,,22.2,88,0.127,0.283
1985-06-21T02:00,,23.1,82,0.126,0.283
1985-06-21T03:00,,24.5,74,0.125,0.283
1985-06-21T04:00,,26.4,64,0.122,0.283
1985-06-21T05:00,,27.8,57,0.12,0.283
1985-06-21T06:00,,29.0,52,0.116,0.283
1985-06-21T07:00,,30.6,46,0.111,0.283
1985-06-21T08:00,,31.3,43,0.106,0.283
1985-06-21T09:00,,31.8,42,0.101,0.283
1985-06-21T10:00,,31.8,42,0.096,0.283
1985-06-21T11:00,,30.8,45,0.099,0.283
1985-06-21T12:00,,30.0,50,0.098,0.283
1985-06-21T13:00,,28.6,58,0.097,0.283
1985-06-21T14:00,,26.9,66,0.096,0.283
1985-06-21T15:00,,25.5,73,0.096,0.283
1985-06-21T16:00,,24.5,78,0.095,0.283
1985-06-21T17:00,,23.7,82,0.095,0.283
1985-06-21T18:00,,23.3,83,0.095,0.283
1985-06-21T19:00,,22.8,87,0.095,0.283
1985-06-21T20:00,,22.5,88,0.094,0.283
1985-06-21T21:00,,22.4,88,0.094,0.283
1985-06-21T22:00,,22.4,88,0.094,0.283
1985-06-21T23:00,,22.2,88,0.094,0.283
1985-06-22T00:00,,22.1,89,0.094,0.283
1985-06-22T01:00,,22.2,88,0.094,0.283
1985-06-22T02:00,,23.3,81,0.093,0.283
1985-06-22T03:00,,24.8,72,0.092,0.283
1985-06-22T04:00,,26.4,63,0.091,0.283
1985-06-22T05:00,,28.1,56,0.088,0.283
1985-06-22T06:00,,28.9,53,0.087,0.283
1985-06-22T07:00,,30.4,49,0.084,0.283
1985-06-22T08:00,,31.1,48,0.081,0.283
1985-06-22T09:00,,31.3,47,0.077,0.283
1985-06-22T10:00,,31.4,48,0.074,0.283
1985-06-22T11:00,,30.0,52,0.078,0.283
1985-06-22T12:00,,28.4,60,0.079,0.283
1985-06-22T13:00,,27.5,63,0.079,0.283
1985-06-22T14:00,,26.5,68,0.078,0.283
1985-06-22T15:00,,25.6,72,0.078,0.283
1985-06-22T16:00,,24.8,76,0.078,0.283
1985-06-22T17:00,,24.1,79,0.077,0.283
1985-06-22T18:00,,23.6,82,0.077,0.283
1985-06-22T19:00,,23.3,84,0.077,0.283
1985-06-22T20:00,,22.9,86,0.077,0.283
1985-06-22T21:00,,22.8,87,0.077,0.283
1985-06-22T22:00,,22.7,87,0.076,0.283
1985-06-22T23:00,,22.6,86,0.076,0.283
1985-06-23T00:00,,22.5,87,0.08,0.283
1985-06-23T01:00,,22.7,86,0.08,0.283
1985-06-23T02:00,,23.2,82,0.079,0.283
1985-06-23T03:00,,24.6,73,0.079,0.283
1985-06-23T04:00,,26.3,65,0.078,0.283
1985-06-23T05:00,,28.1,57,0.076,0.283
1985-06-23T06:00,,28.7,55,0.075,0.283
1985-06-23T07:00,,31.5,42,0.072,0.283
1985-06-23T08:00,,31.8,42,0.069,0.283
1985-06-23T09:00,,32.1,42,0.066,0.283
1985-06-23T10:00,,32.2,42,0.064,0.283
1985-06-23T11:00,,31.8,43,0.063,0.283
1985-06-23T12:00,,30.0,50,0.062,0.283
1985-06-23T13:00,,27.4,64,0.062,0.283
1985-06-23T14:00,,26.1,70,0.062,0.283
1985-06-23T15:00,,25.6,72,0.062,0.283
1985-06-23T16:00,,25.1,75,0.062,0.283
1985-06-23T17:00,,24.5,77,0.064,0.283
1985-06-23T18:00,,24.0,79,0.066,0.283
1985-06-23T19:00,,24.1,80,0.066,0.283
1985-06-23T20:00,,23.7,82,0.066,0.283
1985-06-23T21:00,,23.4,84,0.066,0.283
1985-06-23T22:00,,23.3,85,0.066,0.283
1985-06-23T23:00,,23.3,85,0.067,0.283
