time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,23.7,94,0.368,0.372
1985-06-21T01:00,,23.6,95,0.367,0.371
1985-06-21T02:00,,23.9,95,0.365,0.371
1985-06-21T03:00,,24.4,94,0.362,0.37
1985-06-21T04:00,,25.1,91,0.36,0.369
1985-06-21T05:00,,26.0,86,0.359,0.368
1985-06-21T06:00,,25.8,88,0.36,0.367
1985-06-21T07:00,,25.8,87,0.366,0.367
1985-06-21T08:00,,26.9,81,0.359,0.366
1985-06-21T09:00,,25.6,88,0.368,0.365
1985-06-21T10:00,,25.4,89,0.369,0.366
1985-06-21T11:00,,25.0,90,0.375,0.367
1985-06-21T12:00,,25.0,92,0.363,0.37
1985-06-21T13:00,,24.2,92,0.375,0.37
1985-06-21T14:00,,23.9,94,0.375,0.372
1985-06-21T15:00,,23.9,95,0.372,0.372
1985-06-21T16:00,,23.9,95,0.371,0.372
1985-06-21T17:00,,23.9,96,0.37,0.372
1985-06-21T18:00,,23.7,94,0.373,0.372
1985-06-21T19:00,,23.6,95,0.378,0.373
1985-06-21T20:00,,23.8,94,0.368,0.375
1985-06-21T21:00,,23.7,94,0.362,0.372
1985-06-21T22:00,,23.7,95,0.366,0.371
1985-06-21T23:00,,23.8,95,0.372,0.371
1985-06-22T00:00,,23.6,95,0.382,0.371
1985-06-22T01:00,,23.7,95,0.377,0.373
1985-06-22T02:00,,24.2,92,0.373,0.373
1985-06-22T03:00,,24.6,93,0.371,0.372
1985-06-22T04:00,,25.0,92,0.381,0.373
1985-06-22T05:00,,25.0,91,0.375,0.377
1985-06-22T06:00,,24.7,90,0.385,0.379
1985-06-22T07:00,,25.7,88,0.384,0.38
1985-06-22T08:00,,25.8,89,0.387,0.382
1985-06-22T09:00,,25.1,92,0.377,0.383
1985-06-22T10:00,,24.9,92,0.376,0.381
1985-06-22T11:00,,24.7,93,0.379,0.376
1985-06-22T12:00,,24.5,94,0.383,0.376
1985-06-22T13:00,,24.2,93,0.392,0.377
1985-06-22T14:00,,24.0,94,0.386,0.384
1985-06-22T15:00,,23.9,95,0.39,0.385
1985-06-22T16:00,,23.8,94,0.385,0.385
1985-06-22T17:00,,23.7,94,0.383,0.384
1985-06-22T18:00,,23.8,94,0.38,0.384
1985-06-22T19:00,,23.9,94,0.38,0.383
1985-06-22T20:00,,23.7,95,0.382,0.383
1985-06-22T21:00,,23.5,96,0.378,0.385
1985-06-22T22:00,,23.7,94,0.372,0.382
1985-06-22T23:00,,23.6,94,0.379,0.376
1985-06-23T00:00,,23.7,94,0.382,0.376
1985-06-23T01:00,,23.5,95,0.386,0.376
1985-06-23T02:00,,23.7,95,0.386,0.379
1985-06-23T03:00,,24.1,94,0.386,0.38
1985-06-23T04:00,,24.4,94,0.382,0.38
1985-06-23T05:00,,24.4,95,0.387,0.381
1985-06-23T06:00,,23.9,94,0.386,0.386
1985-06-23T07:00,,24.2,93,0.396,0.389
1985-06-23T08:00,,24.6,92,0.385,0.391
1985-06-23T09:00,,24.1,92,0.382,0.388
1985-06-23T10:00,,24.2,94,0.39,0.384
1985-06-23T11:00,,24.3,94,0.393,0.384
1985-06-23T12:00,,24.1,94,0.391,0.39
1985-06-23T13:00,,23.9,94,0.398,0.391
1985-06-23T14:00,,23.9,94,0.387,0.395
1985-06-23T15:00,,23.8,95,0.388,0.393
1985-06-23T16:00,,23.6,96,0.394,0.393
1985-06-23T17:00,,23.6,95,0.387,0.393
1985-06-23T18:00,,23.5,95,0.378,0.39
1985-06-23T19:00,,23.5,95,0.378,0.383
1985-06-23T20:00,,23.6,94,0.378,0.381
1985-06-23T21:00,,23.7,93,0.375,0.379
1985-06-23T22:00,,23.6,94,0.379,0.378
1985-06-23T23:00,,23.5,95,0.386,0.378
